Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.237592019850067e-14,2.3302812807621194e-13,2.41081213259887e-12,3.435371545043261e-12,1.9584505914684986e-13,0.0,,2.855191261985105e-13,0.0,8.237592019850067e-14,2.3302812807621194e-13,2.41081213259887e-12,3.435371545043261e-12,1.9584505914684986e-13,0.0,,2.855191261985105e-13,0.0
2010,8.227720985182609e-14,2.3391418910604114e-13,2.4160499924764773e-12,3.2493534847773282e-12,1.9258925387148727e-13,0.0,,2.9102377719985353e-13,0.0,8.133944304976438e-14,2.336352711130449e-13,2.394870170998432e-12,3.2607934313045297e-12,1.9540980966953773e-13,0.0,,2.8734550082101534e-13,0.0
2020,8.222785838021927e-14,2.7497840405495083e-13,2.3961381173580576e-12,2.287264832352224e-12,2.0330370563291753e-13,0.0,,3.092731310965487e-13,0.0,7.892096922335568e-14,2.390244133145065e-13,2.3311065889902675e-12,2.5220450487223918e-12,1.862711994074242e-13,0.0,,3.0590206873898187e-13,0.0
2030,8.163558149324934e-14,2.901912728075285e-13,2.375608142080396e-12,2.070655670874293e-12,2.1673496108872318e-13,0.0,,3.545709412335195e-13,0.0,7.640379985719452e-14,2.4553785992358105e-13,2.2644934444235128e-12,1.6975523858474841e-12,1.8988830839076048e-13,0.0,,3.299101900353746e-13,0.0
2040,8.030295849756698e-14,2.3849046089398087e-13,2.349686551845269e-12,1.5859278562462971e-12,1.7447911465707433e-13,0.0,,3.0160936431760106e-13,0.0,7.378789793397542e-14,2.1802279314482843e-13,2.1922209757463834e-12,1.4376580895498835e-12,1.6016132434992997e-13,0.0,,3.3499906266206464e-13,0.0
2050,7.758834622767329e-14,1.6043155067961e-13,2.323803814973928e-12,9.637291409466335e-13,1.0464742643460879e-13,0.0,,2.0523135960309422e-13,0.0,7.018488514054902e-14,1.6399419980318942e-13,2.1169425834125035e-12,9.967226356675586e-13,9.644056396069307e-14,0.0,,2.943047542429121e-13,0.0
2060,7.393597455917903e-14,1.2150050978065568e-13,2.295759030554392e-12,6.127242988495602e-13,7.852398083294188e-14,0.0,,1.820771831223348e-13,0.0,6.584151143148802e-14,1.49429045054202e-13,2.031577241872016e-12,9.341129274905887e-13,9.402765753702187e-14,0.0,,3.2528847580328204e-13,0.0
2070,7.043166470896613e-14,9.547637420601144e-14,2.258469277750764e-12,3.452270626093042e-13,6.343711898806698e-14,0.0,,1.6915675167461857e-13,0.0,6.11032926339979e-14,1.3528242276739188e-13,1.9466129902393847e-12,8.612241354848779e-13,8.746632534163582e-14,0.0,,3.5281143467155355e-13,0.0
2080,6.712478295556359e-14,7.735664750949063e-14,2.231881257562419e-12,1.8891928417598896e-13,5.3698695115596776e-14,0.0,,1.6143094389176092e-13,0.0,5.592086617128036e-14,1.176317719618902e-13,1.866369777672791e-12,7.696254350751642e-13,7.861888580061772e-14,0.0,,3.708088339805317e-13,0.0
2090,6.391661154883568e-14,6.540973417742583e-14,2.2334486591160966e-12,1.2471189428949542e-13,4.658449835833807e-14,0.0,,1.546018729296201e-13,0.0,5.063972566015766e-14,1.0381158308133357e-13,1.792778545279134e-12,7.065154898394594e-13,6.399486613252657e-14,0.0,,3.8371508039680494e-13,0.0
2100,6.060972979543314e-14,5.5708823642284037e-14,2.226584406906869e-12,9.668396014739338e-14,3.998862161351947e-14,0.0,,1.4815184436821788e-13,0.0,4.570407506412669e-14,8.460854494123931e-14,1.7159774090688545e-12,6.025611828352882e-13,5.852349739050078e-14,0.0,,3.7888213061297467e-13,0.0
