Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.6066622295269904e-12,8.528516905826995e-14,2.604681586969392e-12,2.273542660490124e-11,5.5418909758248754e-14,0.0,,1.8105081686621326e-14,1.4927744285036849e-12,4.6066622295269904e-12,8.528516905826995e-14,2.604681586969392e-12,2.273542660490124e-11,5.5418909758248754e-14,0.0,,1.8105081686621326e-14,1.4927744285036849e-12
2010,4.723803409728632e-12,8.793587086754273e-14,2.5955997498056524e-12,2.360007539055615e-11,5.63762221736017e-14,0.0,,2.0714824439253122e-14,1.5678298796490603e-12,4.722999887292493e-12,8.694913650748435e-14,2.5930716572910047e-12,2.357821806689009e-11,5.63762221736017e-14,0.0,,2.0388605902393206e-14,1.5678298796490603e-12
2020,4.867779117903536e-12,9.9519086912848e-14,2.500269308832189e-12,2.0638705039155145e-11,5.302367230648931e-14,0.0,,2.702169706191445e-14,1.5601390727179855e-12,4.977849868193295e-12,9.74470253040561e-14,2.5826398173056296e-12,2.54948938543262e-11,6.144012201145338e-14,0.0,,2.6314894234785623e-14,1.742344879189516e-12
2030,4.723241085904871e-12,1.083601097267034e-13,2.0306234507160158e-12,1.6320443990449275e-11,4.781295463681356e-14,0.0,,3.278488074441651e-14,1.3397731628412642e-12,5.219282112169012e-12,1.1417301845401844e-13,2.5730883522554357e-12,2.787669893762708e-11,7.054143093817067e-14,0.0,,3.5938316132039264e-14,1.9667112572279197e-12
2040,4.493056264281289e-12,1.1407942836744445e-13,1.5360538542219986e-12,1.3675746607809359e-11,4.504244052050032e-14,0.0,,3.6427641166205373e-14,1.1266730064586066e-12,5.3837459871808865e-12,1.2844049276995717e-13,2.562631446531911e-12,3.0191950229695864e-11,7.943849695901991e-14,0.0,,4.588795471873696e-14,2.2029979308062253e-12
2050,4.014690366919945e-12,1.0928817015960839e-13,9.46821546736581e-13,9.401369518402736e-12,3.639524118716204e-14,0.0,,3.626453282148332e-14,7.708118843243682e-13,5.383263589956129e-12,1.3476573424833906e-13,2.5284339762119503e-12,3.2224808078145565e-11,8.202309822945303e-14,0.0,,5.154239580992598e-14,2.37492122760975e-12
2060,3.718383073935812e-12,9.717614241392242e-14,7.026666551890267e-13,6.642216300112326e-12,2.8153593969202184e-14,0.0,,3.36004224680267e-14,5.988274602254517e-13,5.2826733639482164e-12,1.3916632312282273e-13,2.4797260446651367e-12,3.3483902669838466e-11,8.237533392362088e-14,0.0,,5.40433941238289e-14,2.5036747021820567e-12
2070,3.5764963349194884e-12,8.733977628218323e-14,6.014657474002639e-13,5.569691672725038e-12,2.398588664097482e-14,0.0,,3.169748438993957e-14,5.46483696066258e-13,5.1096133595665485e-12,1.4673598391261888e-13,2.4118253247113636e-12,3.50187014636338e-11,8.117329433163043e-14,0.0,,5.7196836901115e-14,2.6010846535449883e-12
2080,3.459917478541608e-12,7.968540778118312e-14,5.476944776300146e-13,5.15294587262651e-12,2.1289250684197585e-14,0.0,,3.02295074400254e-14,5.324864912983935e-13,4.8325887132959495e-12,1.4865018753251274e-13,2.3229984969106933e-12,3.6212273269927895e-11,7.797949660268378e-14,0.0,,5.801237862472519e-14,2.6251073259302155e-12
2090,3.3142547988954205e-12,7.47177509190551e-14,5.027303268980817e-13,4.892313746166999e-12,1.9150931506219413e-14,0.0,,2.8761526795279537e-14,5.214167164536604e-13,4.494663309153568e-12,1.5750903421441526e-13,2.2181423660328692e-12,3.919169095279629e-11,7.111534914375847e-14,0.0,,6.176388163782707e-14,2.593302924195816e-12
2100,3.1735731070640808e-12,7.032972447229947e-14,4.643276651824521e-13,4.6927682423923365e-12,1.731758373549818e-14,0.0,,2.7456656342671556e-14,5.109527166533009e-13,4.144043763923236e-12,1.2993484527585268e-13,2.1260253053962804e-12,3.99130847884827e-11,6.63654508818012e-14,0.0,,5.25210458782582e-14,2.5148715201194367e-12
