Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,6.17209693346402e-13,7.898946616286282e-17,6.861202504025798e-14,0.0,2.862257050752142e-15,,,,0.0,6.17209693346402e-13,7.898946616286282e-17,6.861202504025798e-14,0.0,2.862257050752142e-15,,,,0.0
2010,6.287264303333304e-13,7.933828521232942e-17,6.959397665899147e-14,0.0,3.055122258651841e-15,,,,0.0,6.293921532804781e-13,7.933828521232942e-17,6.987442316238347e-14,0.0,3.055122258651841e-15,,,,0.0
2020,6.460347573961675e-13,8.004633400222624e-17,7.084680009801405e-14,0.0,3.620997952533301e-15,,,,0.0,6.457352935911642e-13,8.004633400222624e-17,7.145717330621268e-14,0.0,3.6353102236859426e-15,,,,0.0
2030,6.594821026688994e-13,1.0133525124782546e-16,7.203856567283537e-14,0.0,4.2849586627478214e-15,,,,0.0,6.599813655315725e-13,1.0133525124782546e-16,7.296414772047324e-14,0.0,4.596322496544432e-15,,,,0.0
2040,6.633764821275754e-13,1.0297779747724514e-16,7.301305564197833e-14,0.0,4.888481937220794e-15,,,,0.0,6.744604581120948e-13,1.0297779747724514e-16,7.430028924479611e-14,0.0,5.692915354476504e-15,,,,0.0
2050,6.478655248485113e-13,8.392649095240357e-17,7.384504791363075e-14,0.0,5.291689359586384e-15,,,,0.0,6.829815005322341e-13,1.0490811010802307e-16,7.537103229258074e-14,0.0,6.501678931336672e-15,,,,0.0
2060,6.156785657851875e-13,6.417472333328153e-17,7.453508542001456e-14,0.0,5.562939031354189e-15,,,,0.0,6.833477009790032e-13,1.0695786983381496e-16,7.596086945633099e-14,0.0,7.233490578333213e-15,,,,0.0
2070,5.893165944663431e-13,6.547937708152064e-17,7.500974024657483e-14,0.0,6.006577937621536e-15,,,,0.0,6.780553150703921e-13,1.0913229991250957e-16,7.644356554931335e-14,0.0,7.882557795611899e-15,,,,0.0
2080,5.743715193009672e-13,4.4491194819966716e-17,7.587517420832927e-14,0.0,6.4578504525868995e-15,,,,0.0,6.689351102587448e-13,8.898238963993342e-17,7.695521313618398e-14,0.0,8.381089717438915e-15,,,,0.0
2090,5.653512140181549e-13,4.527751366360551e-17,7.770605905142377e-14,0.0,6.816974438166068e-15,,,,0.0,6.562201071841762e-13,9.055502732721102e-17,7.753349464791345e-14,0.0,8.349892208328526e-15,,,,0.0
2100,5.540674389759654e-13,4.598437306967581e-17,7.933618370007724e-14,0.0,7.150607664214156e-15,,,,0.0,6.406093090716526e-13,6.897656676947652e-17,7.791218253578685e-14,0.0,8.657934709284404e-15,,,,0.0
