Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,7.760461876898614e-14,8.303962270060708e-13,7.629865371103491e-12,1.8137630352606634e-14,0.0,3.686673546993562e-13,3.9483874213446e-13,6.38855872776324e-14,,7.760461876898614e-14,8.303962270060708e-13,7.629865371103491e-12,1.8137630352606634e-14,0.0,3.686673546993562e-13,3.9483874213446e-13,6.38855872776324e-14
2010,,6.807361969915257e-14,8.321825620592796e-13,7.149500541039043e-12,1.776434243926485e-14,0.0,3.567530739352252e-13,3.839378663733248e-13,6.673516704442556e-14,,6.751453891208238e-14,8.24859257468403e-13,7.1536862256455485e-12,1.7869552065337864e-14,0.0,3.570730224262235e-13,3.777295684801639e-13,6.503129165665278e-14
2020,,5.597130463164725e-14,8.256280494946541e-13,7.405261178250475e-12,1.8210031098093026e-14,0.0,3.2765407856873075e-13,3.7883004807248206e-13,7.421096222044499e-14,,4.7599238411052186e-14,8.029264978683653e-13,6.433321170993943e-12,1.8456801129881568e-14,0.0,3.1876378354230474e-13,3.625722508375455e-13,6.908860947728267e-14
2030,,4.625975125033472e-14,8.187946165063955e-13,6.204380094247533e-12,1.959158266639661e-14,0.0,3.396250590654437e-13,4.334588317261987e-13,8.020417824758107e-14,,3.549533123149066e-14,7.800095342145658e-13,5.638269303377055e-12,2.034581273687108e-14,0.0,2.6894532067950157e-13,3.210452434342248e-13,7.516367620533548e-14
2040,,3.225111677703544e-14,8.099086062423695e-13,5.839456858845973e-12,1.813885928702789e-14,0.0,2.0227353730352525e-13,2.994719636604797e-13,8.343204237154213e-14,,2.7611001569235584e-14,7.554074850300251e-13,5.512232019557129e-12,2.3202037920691425e-14,0.0,2.72639783689757e-13,2.4733479869010085e-13,7.913961288805133e-14
2050,,1.9922364122606708e-14,8.00666725917635e-13,5.1585153747791814e-12,1.5069036129640564e-14,0.0,2.929016987244962e-14,1.161925506319584e-13,8.371468995150948e-14,,2.0457660443049367e-14,7.294701160564168e-13,5.1999064143455185e-12,2.420945049271074e-14,0.0,2.4614689233620837e-13,9.850203596949302e-14,7.816559981883308e-14
2060,,1.4222002250941098e-14,7.904407589298886e-13,4.629907172249276e-12,1.549082293109052e-14,0.0,2.91178732665893e-14,9.679943720613396e-14,8.338069125503833e-14,,1.8656060923790387e-14,7.002022540950586e-13,4.186243386479704e-12,2.4305386249479455e-14,0.0,2.1503716949656654e-13,8.951145255737036e-14,7.523118322390257e-14
2070,,1.07352722622945e-14,7.773292685948732e-13,4.243757341308437e-12,1.619561315322085e-14,0.0,2.938213818869121e-14,8.189124474723979e-14,8.306515959103472e-14,,1.7071232596827907e-14,6.711251521035673e-13,3.1600796523546987e-12,2.342193280749449e-14,0.0,1.7385427840504184e-13,7.977336886640251e-14,7.186176052845646e-14
2080,,8.30295700170412e-15,7.681724378690119e-13,3.9880187735581344e-12,1.6866523304164532e-14,0.0,2.944679114463224e-14,6.959925190585051e-14,8.184014308608122e-14,,1.5153500608990558e-14,6.433800829601248e-13,2.1120476648471597e-12,2.1812956836269538e-14,0.0,1.2295284184561684e-13,6.582029690278791e-14,6.737328115439597e-14
2090,,6.680635169510404e-15,7.6863155309495e-13,3.751198664407095e-12,1.7502636268681824e-14,0.0,2.891203775641152e-14,5.867764934029711e-14,8.022357706913214e-14,,1.3459154965673985e-14,6.178497077191492e-13,1.1414522512489981e-12,1.91444027781886e-14,0.0,6.399418105894006e-14,5.3549067550426435e-14,6.306703624693368e-14
2100,,5.432211132292902e-15,7.663627420564163e-13,3.495663886999985e-12,1.8044398251564687e-14,0.0,2.806571647625333e-14,4.9167971365557146e-14,7.840278783059675e-14,,1.200024747824367e-14,5.914257540839416e-13,1.8218478096297168e-13,1.7834406375120378e-14,0.0,7.848092604902298e-15,3.2681750072087965e-14,5.857131166247921e-14
