Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,9.356962957005725e-13,1.8611997307035007e-14,6.536422563113871e-15,6.122395978109172e-12,5.062120978875533e-15,3.908231065406228e-21,,4.506509450436366e-15,3.430737065646187e-13,9.356962957005725e-13,1.8611997307035007e-14,6.536422563113871e-15,6.122395978109172e-12,5.062120978875533e-15,3.908231065406228e-21,,4.506509450436366e-15,3.430737065646187e-13
2010,9.594896931724201e-13,1.9262893703321083e-14,6.527892914224923e-15,6.354501757108946e-12,5.170216782820517e-15,3.908231065406228e-21,,5.156096572733125e-15,3.6095379259648655e-13,9.593265684794085e-13,1.9046742122545185e-14,6.5220108652522315e-15,6.348616046300916e-12,5.170216782820517e-15,3.908231065406228e-21,,5.074897698247068e-15,3.6095379259648655e-13
2020,9.887338022709348e-13,2.2026316593334118e-14,6.326421600334113e-15,5.560131770290866e-12,4.914925463267978e-15,3.908231065406228e-21,,6.725930934686167e-15,3.612297989159692e-13,1.0110912231518697e-12,2.1567714326640014e-14,6.528874224118293e-15,6.8684043690100615e-12,5.695071993285911e-15,3.908231065406228e-21,,6.5500020843619906e-15,4.0341719957563126e-13
2030,9.59375489359987e-13,2.440648890449157e-14,5.2157495618728785e-15,4.4049692975636146e-12,4.519287138205823e-15,3.908231065406228e-21,,8.160436206357367e-15,3.1352187934269875e-13,1.0601305220109973e-12,2.5715757729014512e-14,6.548009767039004e-15,7.524061182225495e-12,6.667586251137803e-15,3.908231065406228e-21,,8.945353710133195e-15,4.602323567115102e-13
2040,9.126209278424924e-13,2.6306087936921244e-14,4.039503426583046e-15,3.7029777995101184e-12,4.374054242385008e-15,3.908231065406228e-21,,9.067151053464358e-15,2.677575111555032e-13,1.0935360461503813e-12,2.961766795097621e-14,6.5733759821839995e-15,8.175065223042081e-12,7.714241053828245e-15,3.908231065406228e-21,,1.1421903564791842e-14,5.235495699050794e-13
2050,8.15456125896943e-13,2.5896360067705866e-14,2.609925847733305e-15,2.556448540019087e-12,3.649666773466135e-15,0.0,,9.026551939020635e-15,1.8673205478676173e-13,1.093438039115978e-12,3.193338886129492e-14,6.54189336576941e-15,8.762665158256433e-12,8.225167796994617e-15,3.908231065406228e-21,,1.2829340823371387e-14,5.753335202289179e-13
2060,7.55270799381586e-13,2.369558669942316e-14,2.0274982510616185e-15,1.8150658167048291e-12,2.9228686393223613e-15,0.0,,8.363431778575971e-15,1.4822892530907858e-13,1.0730063820881034e-12,3.393454055571608e-14,6.474394093873687e-15,9.14988120006155e-12,8.552097643956918e-15,3.908231065406228e-21,,1.3451861869372331e-14,6.197395076138218e-13
2070,7.264509467034975e-13,2.1901091121362305e-14,1.8067758320981808e-15,1.5301906043384061e-12,2.584223759909345e-15,0.0,,7.889774152201999e-15,1.3831901757200484e-13,1.0378546634765682e-12,3.679512345475056e-14,6.3641645865092365e-15,9.620870944393204e-12,8.745557724645869e-15,7.816462130812456e-21,,1.423678066434539e-14,6.583534941207222e-13
2080,7.027717530440823e-13,2.051396826877274e-14,1.7077280927292331e-15,1.4240551011899384e-12,2.385987217874278e-15,0.0,,7.524382122208515e-15,1.3777790263764504e-13,9.815860649625627e-13,3.826805152793748e-14,6.190849119374772e-15,1.0007531007001474e-11,8.739531061583626e-15,7.816462130812456e-21,,1.4439776236563992e-14,6.792318847303703e-13
2090,6.731849498716468e-13,1.9703599976433474e-14,1.6274861567888664e-15,1.360715617426578e-12,2.23822212288947e-15,0.0,,7.158989446616415e-15,1.3778439994209696e-13,9.129472598651378e-13,4.1536247315127685e-14,5.969412668344185e-15,1.0900517555950932e-11,8.311446886974704e-15,7.816462130812456e-21,,1.5373557159966797e-14,6.852804723215453e-13
2100,6.446099908246324e-13,1.895108764949173e-14,1.5665766713464999e-15,1.3141029429900869e-12,2.114545441992782e-15,0.0,,6.8341958854680356e-15,1.3768945046273003e-13,8.417301095059842e-13,3.5012320958787545e-14,5.772611614827479e-15,1.1176751291418873e-11,8.103484079019528e-15,7.816462130812456e-21,,1.3072936801230941e-14,6.776973226486963e-13
