Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.6342817600803832e-13,5.296136959250975e-17,2.13683279734733e-15,0.0,1.9200993708205095e-15,,,,0.0,1.6342817600803832e-13,5.296136959250975e-17,2.13683279734733e-15,0.0,1.9200993708205095e-15,,,,0.0
2010,1.6647763265520748e-13,5.3156905272742896e-17,2.170805326216695e-15,0.0,2.0549365149584373e-15,,,,0.0,1.6665389657121235e-13,5.3156905272742896e-17,2.179551412041007e-15,0.0,2.0549365149584373e-15,,,,0.0
2020,1.7106063908542374e-13,5.369063375195957e-17,2.2183183176180282e-15,0.0,2.458256172330668e-15,,,,0.0,1.7098130792772808e-13,5.369063375195957e-17,2.2364819118252735e-15,0.0,2.467972431472257e-15,,,,0.0
2030,1.7462128587999376e-13,6.83041316178861e-17,2.2682884573444697e-15,0.0,2.9631155797221126e-15,,,,0.0,1.7475348381699741e-13,6.83041316178861e-17,2.295937024989819e-15,0.0,3.1784282050990444e-15,,,,0.0
2040,1.7565244631594678e-13,7.009108301299245e-17,2.3160579127952387e-15,0.0,3.4676973797095142e-15,,,,0.0,1.7858732728588166e-13,7.009108301299245e-17,2.3558045142690937e-15,0.0,4.038331019499914e-15,,,,0.0
2050,1.715453855135927e-13,5.798002120620327e-17,2.3621601098251988e-15,0.0,3.86437996052991e-15,,,,0.0,1.8084357565187319e-13,7.247502650775408e-17,2.411780657902128e-15,0.0,4.7480033592085414e-15,,,,0.0
2060,1.6302276073756483e-13,4.5229004729488845e-17,2.4057804643830624e-15,0.0,4.1861111246525e-15,,,,0.0,1.8094052906933813e-13,7.538167791164087e-17,2.4561229531101626e-15,0.0,5.4432013779899614e-15,,,,0.0
2070,1.5604247621531308e-13,4.725307743430426e-17,2.4470818287192247e-15,0.0,4.655936477653414e-15,,,,0.0,1.795391978824504e-13,7.875513241966657e-17,2.500652310516622e-15,0.0,6.110082795960136e-15,,,,0.0
2080,1.520852356097321e-13,3.297942167007062e-17,2.5033473619310124e-15,0.0,5.15503972780191e-15,,,,0.0,1.7712430786022323e-13,6.595884334014124e-17,2.5473647596365217e-15,0.0,6.690284207210894e-15,,,,0.0
2090,1.49696778977159e-13,3.454253444257826e-17,2.5922947109830044e-15,0.0,5.600404640513354e-15,,,,0.0,1.737575679005831e-13,6.908506888515652e-17,2.5953614657994385e-15,0.0,6.8597551345986364e-15,,,,0.0
2100,1.4670902089833825e-13,3.613715545369548e-17,2.6762783750908047e-15,0.0,6.0376459858640896e-15,,,,0.0,1.6962405304941938e-13,5.4205730658673614e-17,2.6380741087059348e-15,0.0,7.310363599253466e-15,,,,0.0
