Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,5.902938994406758e-14,2.5425176375220973e-14,5.233253023750066e-12,1.190793473420287e-14,2.1563795664102405e-17,2.514265725691979e-13,3.3122770539665973e-13,4.3789502685944487e-14,,5.902938994406758e-14,2.5425176375220973e-14,5.233253023750066e-12,1.190793473420287e-14,2.1563795664102405e-17,2.514265725691979e-13,3.3122770539665973e-13,4.3789502685944487e-14
2010,,5.166949860153796e-14,2.549867390383991e-14,4.904753277220352e-12,1.172591853454673e-14,1.8969615250355043e-17,2.436468097120288e-13,3.220830954214806e-13,4.570659485842071e-14,,5.124513888533353e-14,2.5273223120627103e-14,4.907625065128932e-12,1.1795365577461069e-14,1.9269550026781597e-17,2.438653009421821e-13,3.1687498425960996e-13,4.45396211332253e-14
2020,,4.2390932078730425e-14,2.5341171083559602e-14,5.084194075544441e-12,1.2227604179151458e-14,1.3428697054713972e-17,2.2496779281286832e-13,3.1779815928898096e-13,5.084467148263822e-14,,3.605019045553787e-14,2.4639826320373717e-14,4.416893762204731e-12,1.2393306101830327e-14,1.7227884759733063e-17,2.1886371472961754e-13,3.0415956318528096e-13,4.733516126309056e-14
2030,,3.502038061188546e-14,2.5195536948200144e-14,4.267174051564802e-12,1.3568888238945598e-14,1.0276743396180612e-17,2.358176508137008e-13,3.636259304248661e-13,5.5116845421735083e-14,,2.6871309523529983e-14,2.3995423354947853e-14,3.877821687792238e-12,1.409126144553924e-14,1.1965855077887184e-17,1.8674139272511546e-13,2.6932283471993964e-13,5.165298160659586e-14
2040,,2.4475012741387798e-14,2.500723907402921e-14,4.0274647116463974e-12,1.3057769107392238e-14,8.20876494187e-18,1.4279042324340037e-13,2.512251664607671e-13,5.771469809118653e-14,,2.0953677737625026e-14,2.331912781798747e-14,3.801778145490157e-12,1.6702640697152444e-14,9.271695774863568e-18,1.9246389620351279e-13,2.0748762671607105e-13,5.474538347357222e-14
2050,,1.5209445992272973e-14,2.48176241786856e-14,3.571326090581846e-12,1.128933376298649e-14,4.888425105367081e-18,2.1098080070828853e-14,9.747320182109096e-14,5.852978441819732e-14,,1.5618111206169612e-14,2.261380616733899e-14,3.599982488020433e-12,1.8137098840124814e-14,3.3045541938282973e-18,1.7730269966926006e-13,8.263274900788071e-14,5.465009828292601e-14
2060,,1.09668081897693e-14,2.4601488092276434e-14,3.220338935763848e-12,1.205149133322228e-14,3.57817988103085e-18,2.1444853036792872e-14,8.120444729329201e-14,5.917658126328413e-14,,1.438597850405445e-14,2.1812310982351352e-14,2.9117480043508214e-12,1.8909010114221815e-14,3.0151428639511236e-18,1.5837147579792574e-13,7.509059742941883e-14,5.339274075176232e-14
2070,,8.388273122047737e-15,2.4311268273706766e-14,2.968189809225795e-12,1.304145741280942e-14,2.857281708699441e-18,2.215125800191575e-14,6.869805039103971e-14,6.005464702629364e-14,,1.3339035764382135e-14,2.101970698147653e-14,2.2102382778070793e-12,1.886042623611941e-14,2.573132259713808e-18,1.3106913106852195e-13,6.69213784995158e-14,5.195479121148511e-14
2080,,6.595177847380775e-15,2.4151180476575752e-14,2.807894594172063e-12,1.4022735026248551e-14,2.3152930032701222e-18,2.27521140496261e-14,5.838637888925363e-14,6.047766389738082e-14,,1.2036680009818537e-14,2.025976897927588e-14,1.4870559400738852e-12,1.8135172373860463e-14,1.989047088600525e-18,9.49997327630186e-14,5.52162314547778e-14,4.978704666829768e-14
2090,,5.407620501573322e-15,2.428882468348761e-14,2.6621292111967677e-12,1.49858932689855e-14,1.7838279020070354e-18,2.291425485034981e-14,4.92243170923392e-14,6.074979146039009e-14,,1.089447402985289e-14,1.95584422928512e-14,8.100593759848333e-13,1.6391584828912628e-14,1.2681489950775407e-18,5.071862997401823e-14,4.492197562120457e-14,4.775789923557644e-14
2100,,4.488100851555084e-15,2.434344232623701e-14,2.5039542866056947e-12,1.5864537488353202e-14,1.236576842835629e-18,2.2820593985816576e-14,4.1246701501511084e-14,6.094240193330295e-14,,9.914622543752217e-15,1.882122548827374e-14,1.3049949616978752e-13,1.567991436149349e-14,8.419246836843486e-20,6.381384638342036e-15,2.7416514970708437e-14,4.552741283668029e-14
