Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.228369565428096e-12,5.504279443963912e-11,7.541140483482844e-12,1.0147738021588e-11,0.0,,3.703685922510938e-12,0.0,,2.228369565428096e-12,5.504279443963912e-11,7.541140483482844e-12,1.0147738021588e-11,0.0,,3.703685922510938e-12,0.0
2010,,1.9460418757046144e-12,5.511491588389167e-11,6.42471716708096e-12,1.0441282308189203e-11,0.0,,3.6654614666188954e-12,0.0,,1.9341599928701748e-12,5.4618060510378573e-11,6.4424498357590475e-12,1.0495796943582152e-11,0.0,,3.6070979324653134e-12,0.0
2020,,1.5150907917126134e-12,5.463335059419603e-11,6.02440494134283e-12,1.1216113033391187e-11,0.0,,3.591175911774778e-12,0.0,,1.2782852606051937e-12,5.308374642131425e-11,6.044939686698425e-12,1.08493989731511e-11,0.0,,3.506016294708647e-12,0.0
2030,,1.1780209580171026e-12,5.407351406312884e-11,5.957914405077378e-12,1.4220845120913966e-11,0.0,,4.100412650725331e-12,0.0,,8.636276533398823e-13,5.1450131196416504e-11,5.511346435089519e-12,1.1773935807362545e-11,0.0,,3.1769735100805314e-12,0.0
2040,,7.856505716114675e-13,5.331043276649124e-11,4.716783603494164e-12,9.60210330141672e-12,0.0,,3.0288461127763427e-12,0.0,,5.461187529163397e-13,4.968716222417582e-11,5.784375948102734e-12,1.1125297261009104e-11,0.0,,2.656474766742889e-12,0.0
2050,,4.820390068343148e-13,5.243043297403811e-11,2.8566146761023888e-12,4.283130584282028e-12,0.0,,1.4497074638653568e-12,0.0,,3.117859527338559e-13,4.778617251110341e-11,5.392703584395525e-12,9.325158945127194e-12,0.0,,1.3726479058661173e-12,0.0
2060,,3.189559586135936e-13,5.142637609774112e-11,2.2008258601206877e-12,4.178787896018752e-12,0.0,,1.199000357821254e-12,0.0,,2.5947405257737707e-13,4.564239242530021e-11,5.134216909630714e-12,7.600304395643827e-12,0.0,,1.2405536928646022e-12,0.0
2070,,2.2691345337865414e-13,5.026762770704958e-11,1.8810100321259092e-12,4.065546089571495e-12,0.0,,1.0053804769330577e-12,0.0,,2.2096313841956326e-13,4.349782854182496e-11,4.617217182294825e-12,5.723096159053071e-12,0.0,,1.1237715137836224e-12,0.0
2080,,1.6582274845188546e-13,4.937961810530958e-11,1.7863297227123312e-12,3.920963681017128e-12,0.0,,8.448258356497919e-13,0.0,,1.8662201374598497e-13,4.1441300209950927e-11,3.8776716717147655e-12,3.892643714553766e-12,0.0,,9.761433164630987e-13,0.0
2090,,1.2419935913643806e-13,4.9104266968518784e-11,1.7633164056318404e-12,3.759775689764024e-12,0.0,,7.016359868535931e-13,0.0,,1.609568910530807e-13,3.953832387124055e-11,3.1397715710072664e-12,2.129395514392425e-12,0.0,,8.807759594026309e-13,0.0
2100,,9.371693069439523e-14,4.8671887997349496e-11,1.6846116261729447e-12,3.591832342325104e-12,0.0,,5.766430090226113e-13,0.0,,1.4171550606278675e-13,3.7614582923434226e-11,2.3022909181327817e-12,6.840224893359781e-13,0.0,,6.496526787980811e-13,0.0
