Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.371090395893273e-12,4.018227776996449e-11,4.761996784231655e-13,1.6174787473705762e-11,0.0,,5.478074643301365e-12,0.0,,3.371090395893273e-12,4.018227776996449e-11,4.761996784231655e-13,1.6174787473705762e-11,0.0,,5.478074643301365e-12,0.0
2010,,2.940744481548871e-12,4.021977086437372e-11,4.191517024081831e-13,1.6623255909380628e-11,0.0,,5.42153679463262e-12,0.0,,2.922789471588757e-12,3.9846389860653225e-11,4.2030857780964617e-13,1.6710047047847866e-11,0.0,,5.335212294982781e-12,0.0
2020,,2.283110948426772e-12,3.9874340329305524e-11,4.227136200084312e-13,1.780561558874404e-11,0.0,,5.311661760978556e-12,0.0,,1.9262655949301526e-12,3.869891856592936e-11,4.2415446514880935e-13,1.7223458353257483e-11,0.0,,5.185703794986835e-12,0.0
2030,,1.7666682164393428e-12,3.9434308208029577e-11,4.685568571020387e-13,2.2463318942434552e-11,0.0,,6.064866973628968e-12,0.0,,1.2951752508709883e-12,3.746346146373434e-11,4.334367637400569e-13,1.8598167105387173e-11,0.0,,4.699020677461248e-12,0.0
2040,,1.1700809578581126e-12,3.880345302416341e-11,4.261088891059675e-13,1.506493812829138e-11,0.0,,4.47992730994841e-12,0.0,,8.133426574728311e-13,3.613046120203692e-11,5.22554020779664e-13,1.7454706879630185e-11,0.0,,3.92915774757877e-12,0.0
2050,,7.114417863120104e-13,3.801151817025728e-11,2.9899427781081896e-13,6.6655388174996565e-12,0.0,,2.144243562212549e-12,0.0,,4.601651817221258e-13,3.466120240565961e-11,5.644399743223368e-13,1.4512099064184233e-11,0.0,,2.0302658805731868e-12,0.0
2060,,4.656037213810447e-13,3.708220190325465e-11,2.6615405331593397e-13,6.445149537846987e-12,0.0,,1.77342585061524e-12,0.0,,3.787735812966746e-13,3.3000678758462576e-11,6.208999348058311e-13,1.1722322364376836e-11,0.0,,1.8348871069643797e-12,0.0
2070,,3.270669860448292e-13,3.607771536900461e-11,2.625763452379522e-13,6.208815384678378e-12,0.0,,1.4870453745749253e-12,0.0,,3.1849034060607267e-13,3.132836304710678e-11,6.445324987599582e-13,8.740191069450301e-12,0.0,,1.6621559626657822e-12,0.0
2080,,2.3568093360611704e-13,3.5285404995103406e-11,2.8760454006834587e-13,5.923160177648138e-12,0.0,,1.2495710856369842e-12,0.0,,2.6524257747006946e-13,2.9709650974262216e-11,6.243170056922968e-13,5.880378970171152e-12,0.0,,1.4438010948001036e-12,0.0
2090,,1.7388494213882702e-13,3.491914414501485e-11,3.276487026425764e-13,5.611625844487414e-12,0.0,,1.0377807996948381e-12,0.0,,2.2534721641961863e-13,2.8200480292919237e-11,5.834131680925993e-13,3.178214168526088e-12,0.0,,1.3027443257715158e-12,0.0
2100,,1.2916583461990704e-13,3.445794300440927e-11,3.61228318414509e-13,5.290778983605939e-12,0.0,,8.52905253619567e-13,0.0,,1.9532012737183213e-13,2.6702821876523008e-11,4.936761995170188e-13,1.0075670867585726e-12,0.0,,9.608928506072586e-13,0.0
