Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.850405267609712e-12,3.5340864675381376e-16,4.803715571551034e-13,4.010625399000465e-15,1.2815106093456058e-14,,,,0.0,8.850405267609712e-12,3.5340864675381376e-16,4.803715571551034e-13,4.010625399000465e-15,1.2815106093456058e-14,,,,0.0
2010,9.015548468968814e-12,3.5431384321528235e-16,4.865768697573769e-13,4.428989019229973e-15,1.3668040864339329e-14,,,,0.0,9.025093855902194e-12,3.5431384321528235e-16,4.885360394865316e-13,4.4635909102427596e-15,1.3668040864339329e-14,,,,0.0
2020,9.263739573942387e-12,3.564594680793756e-16,4.947354558266275e-13,5.278331654169338e-15,1.619769373320865e-14,,,,0.0,9.259443183410612e-12,3.564594680793756e-16,4.982716599713312e-13,5.3123852647052614e-15,1.6261716714138096e-14,,,,0.0
2030,9.4565644894475e-12,4.500237561611832e-16,5.013499114995044e-13,5.85051805864416e-15,1.9208114877009724e-14,,,,0.0,9.463724219941644e-12,4.500237561611832e-16,5.06836081451915e-13,6.6150749601695904e-15,2.0603860802294305e-14,,,,0.0
2040,9.512407442046948e-12,4.564900109470489e-16,5.052624985069086e-13,5.984906996446038e-15,2.202087641479937e-14,,,,0.0,9.671346279958175e-12,4.564900109470489e-16,5.13615114745178e-13,8.076406915152908e-15,2.5644566349560483e-14,,,,0.0
2050,9.289990078303284e-12,3.7196181768128887e-16,5.064739646674583e-13,5.095090027058501e-15,2.400643371483879e-14,,,,0.0,9.79353201874457e-12,4.649522369914371e-16,5.172612482266726e-13,8.985885581968937e-15,2.9495709990738044e-14,,,,0.0
2060,8.828449312996297e-12,2.850055733119453e-16,5.056773077416534e-13,4.0829076410805576e-15,2.545719823774591e-14,,,,0.0,9.798781935538321e-12,4.7500925140239e-16,5.166685156854427e-13,8.841404688110962e-15,3.310199696387125e-14,,,,0.0
2070,8.450435055219054e-12,2.9194491662607955e-16,5.035103019613087e-13,3.6011169578825216e-15,2.7746819306767275e-14,,,,0.0,9.72289284202585e-12,4.865748235926137e-16,5.147006597554216e-13,8.310270110225928e-15,3.641273379536161e-14,,,,0.0
2080,8.236130948231513e-12,1.9958832022067798e-16,5.038032742858898e-13,3.4970259093500574e-15,3.0135443651141945e-14,,,,0.0,9.592115242568057e-12,3.991766404413559e-16,5.124256804715939e-13,7.512130130672175e-15,3.911020902645556e-14,,,,0.0
2090,8.106786399343121e-12,2.0472683462326678e-16,5.101322933448708e-13,3.6036275881153066e-15,3.214393345624151e-14,,,,0.0,9.409790160650443e-12,4.0945366924653357e-16,5.101345368007237e-13,6.630674887967028e-15,3.9372064186923584e-14,,,,0.0
2100,7.944984221469522e-12,2.098444093180943e-16,5.151163893823109e-13,3.5809036094004645e-15,3.4062418976371945e-14,,,,0.0,9.185940666729523e-12,3.1476661397714136e-16,5.067973674573257e-13,6.0786944167055206e-15,4.124267493439887e-14,,,,0.0
