Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.534374340502652e-13,5.385665431182472e-13,2.0905996565449872e-12,1.5975570032083676e-13,4.720558716516429e-13,0.0,,9.51635776513229e-13,0.0,5.534374340502652e-13,5.385665431182472e-13,2.0905996565449872e-12,1.5975570032083676e-13,4.720558716516429e-13,0.0,,9.51635776513229e-13,0.0
2010,5.527742339854517e-13,5.406728605415464e-13,2.0936710051320746e-12,1.8780043726232239e-13,4.630260481306068e-13,0.0,,9.632530236889865e-13,0.0,5.464739196564855e-13,5.400281258441372e-13,2.074395692640292e-12,1.8846160958819215e-13,4.698072673552137e-13,0.0,,9.492933785047968e-13,0.0
2020,5.524426627152993e-13,6.348187375885969e-13,2.0759150299732666e-12,1.9207153139124082e-13,4.850952685023383e-13,0.0,,1.0193757179759328e-12,0.0,5.302256043553147e-13,5.518148977480592e-13,2.0163601358539754e-12,2.1178705018851237e-13,4.444546055315351e-13,0.0,,9.81216949948003e-13,0.0
2030,5.484634623264174e-13,6.675991941185811e-13,2.0547128765264147e-12,2.6445063755400657e-13,5.099478697688631e-13,0.0,,1.1759948225352949e-12,0.0,5.133140314648213e-13,5.648718108117596e-13,1.9547555284282875e-12,2.1680035429542166e-13,4.4678135687350593e-13,0.0,,1.0091353199242374e-12,0.0
2040,5.395103477381968e-13,5.451889946978818e-13,2.02606037876571e-12,2.941847398960847e-13,4.029261092880861e-13,0.0,,9.573786208250112e-13,0.0,4.957393735585323e-13,4.983999396265081e-13,1.8877413161717317e-12,2.6668117915459475e-13,3.698619131172229e-13,0.0,,9.511934705631592e-13,0.0
2050,5.212723747180759e-13,3.633165443797127e-13,1.991999886860392e-12,2.433888726714861e-13,2.366385297271108e-13,0.0,,5.976455369741852e-13,0.0,4.71532686241852e-13,3.713845581094673e-13,1.8157864388820682e-12,2.517213265693341e-13,2.180804328141382e-13,0.0,,7.272350252221029e-13,0.0
2060,4.967341448934978e-13,2.717423580341593e-13,1.9531011235480687e-12,1.9852332213365731e-13,1.7380204932128894e-13,0.0,,5.201359205173248e-13,0.0,4.4235205596357847e-13,3.3420595019120507e-13,1.734276970737577e-12,3.026535844048853e-13,2.081173172771811e-13,0.0,,7.907426009316054e-13,0.0
2070,4.731906576416315e-13,2.1035779623670734e-13,1.9085774986920208e-12,1.382348610938593e-13,1.3744333823048702e-13,0.0,,4.709618993008238e-13,0.0,4.1051859666379606e-13,2.9806022359515315e-13,1.6520382068673771e-12,3.448489335194725e-13,1.895052192313397e-13,0.0,,8.480063513800265e-13,0.0
2080,4.5097359928164686e-13,1.6753627846000616e-13,1.8742840325250578e-12,9.095750203686864e-14,1.138969675626045e-13,0.0,,4.3709762349586765e-13,0.0,3.757007945968611e-13,2.547627336494621e-13,1.5735026407916467e-12,3.705455919072577e-13,1.6675364313328173e-13,0.0,,8.813851778531275e-13,0.0
2090,4.2941971222422143e-13,1.3903325813606288e-13,1.8628128400777733e-12,7.07751574675458e-14,9.674466898287263e-14,0.0,,4.0701851791077445e-13,0.0,3.402197924651125e-13,2.2065924217362986e-13,1.5007121624835515e-12,4.009541403556685e-13,1.329017638600252e-13,0.0,,9.078919539018349e-13,0.0
2100,4.072026251019823e-13,1.1610920198818824e-13,1.845808135007131e-12,6.357861128761288e-14,8.136109805452852e-14,0.0,,3.793926025385395e-13,0.0,3.070599617979572e-13,1.763424466898639e-13,1.4271139250194056e-12,3.9623946035635415e-13,1.190722678775565e-13,0.0,,8.79201835112213e-13,0.0
