Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.491785732174744e-13,5.377979236381524e-12,2.8438272807441232e-11,8.724661033931359e-14,0.0,1.5551463398564142e-12,1.6501413937060305e-12,2.6140707330478933e-13,,3.491785732174744e-13,5.377979236381524e-12,2.8438272807441232e-11,8.724661033931359e-14,0.0,1.5551463398564142e-12,1.6501413937060305e-12,2.6140707330478933e-13
2010,,3.057594476974015e-13,5.386978370576981e-12,2.665457860186289e-11,8.515540029020309e-14,0.0,1.505177329924871e-12,1.6045835932263186e-12,2.72923480016186e-13,,3.032482727794229e-13,5.338745680426542e-12,2.667018477106957e-11,8.565974642328087e-14,0.0,1.5065270850051716e-12,1.5786375085673015e-12,2.6595519108815527e-13
2020,,2.507134684085599e-13,5.341470041175052e-12,2.762866642435557e-11,8.687956082820596e-14,0.0,1.3843950741102281e-12,1.583236593065684e-12,3.0338765466484613e-13,,2.1321230618693854e-13,5.191500424714577e-12,2.400240236848245e-11,8.805690776432644e-14,0.0,1.3468321449470166e-12,1.5152907138605882e-12,2.824465474400537e-13
2030,,2.066469045391523e-13,5.289699823816199e-12,2.318308400748521e-11,9.31697220813251e-14,0.0,1.4404394775403603e-12,1.811545617026036e-12,3.2808577386232263e-13,,1.5856117512820187e-13,5.035408359707112e-12,2.1067774352931642e-11,9.67565406034274e-14,0.0,1.1406681011368127e-12,1.341737774425731e-12,3.074669476994713e-13
2040,,1.4378725613731148e-13,5.220263599630691e-12,2.187020904042527e-11,8.626547231299199e-14,0.0,8.633798339475965e-13,1.2515769652674857e-12,3.420224380051477e-13,,1.2309991828418405e-13,4.8666213258468775e-12,2.0644670083982265e-11,1.1034511675143972e-13,0.0,1.163729561765112e-12,1.033681373082046e-12,3.2442600707218393e-13
2050,,8.877290094731883e-14,5.141850330661196e-12,1.937927814767084e-11,7.187834093037623e-14,0.0,1.2607446750367095e-13,4.856010815103968e-13,3.4459729255464224e-13,,9.11581619055551e-14,4.6856584243035195e-12,1.953477471896064e-11,1.1547753254489654e-13,0.0,1.059496647007488e-12,4.116675912075195e-13,3.2175543173963354e-13
2060,,6.346780470205928e-14,5.053446204960256e-12,1.7458333224680566e-11,7.428387208748828e-14,0.0,1.265739528157342e-13,4.045518957250534e-13,3.454563348105097e-13,,8.325543766198607e-14,4.4815784934561244e-12,1.5785376920392016e-11,1.165527662868932e-13,0.0,9.347558996272206e-13,3.740933872405346e-13,3.116919215532605e-13
2070,,4.806380538243953e-14,4.9479674243856715e-12,1.607315777308059e-11,7.814265929780557e-14,0.0,1.291080081071866e-13,3.422463809188713e-13,3.470910950708884e-13,,7.643108943672056e-14,4.277795389075413e-12,1.196874539604031e-11,1.1300914867108593e-13,0.0,7.639328432937425e-13,3.3339519976068346e-13,3.002772756983696e-13
2080,,3.7373504550198406e-14,4.8685412638608625e-12,1.5184194258880975e-11,8.195197543034165e-14,0.0,1.3092399933332087e-13,2.9087472212095744e-13,3.4564711484476714e-13,,6.820937021878985e-14,4.082281547919361e-12,8.041522312749841e-12,1.0598596698029621e-13,0.0,5.466632903402713e-13,2.750814256863558e-13,2.8454719869921167e-13
2090,,3.028521230573006e-14,4.849367654701077e-12,1.4371769635048046e-11,8.565508693804797e-14,0.0,1.3015554379807674e-13,2.452302897306196e-13,3.4306501220713244e-13,,6.101416148369227e-14,3.901740185978307e-12,4.373185751351207e-12,9.368962140353672e-14,0.0,2.880875158463124e-13,2.2379651384808627e-13,2.6969744802426875e-13
2100,,2.483433004433849e-14,4.814110192811489e-12,1.349067639407834e-11,8.891212464034207e-14,0.0,1.2795908546909946e-13,2.0548667833503717e-13,3.3992101016511754e-13,,5.4861289661979666e-14,3.717875288002499e-12,7.030984890442068e-13,8.787740972440596e-14,0.0,3.578154971511496e-14,1.365861655211637e-13,2.539401906945857e-13
