Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.8197910354676167e-12,5.090425749181342e-11,4.609496204468567e-13,1.353030804835752e-11,0.0,,2.8262725313883943e-12,0.0,,2.8197910354676167e-12,5.090425749181342e-11,4.609496204468567e-13,1.353030804835752e-11,0.0,,2.8262725313883943e-12,0.0
2010,,2.4655271428461077e-12,5.108057427295772e-11,4.017924707906369e-13,1.3892618826697886e-11,0.0,,2.8300912859874967e-12,0.0,,2.449172532906625e-12,5.057805939143696e-11,4.0287260051493797e-13,1.396527042215817e-11,0.0,,2.783146993238075e-12,0.0
2020,,1.917464548862206e-12,5.070020787321037e-11,3.966834715461924e-13,1.4857851881877098e-11,0.0,,2.780442632568113e-12,0.0,,1.6114999099281106e-12,4.930969109543222e-11,3.976142559797642e-13,1.4369167540337195e-11,0.0,,2.731954297875981e-12,0.0
2030,,1.479376328793319e-12,5.043770746781265e-11,4.2523174326201316e-13,1.868168260632073e-11,0.0,,3.1972284735792515e-12,0.0,,1.0751730751925145e-12,4.81262377511331e-11,3.931029966857217e-13,1.5467395940543445e-11,0.0,,2.4161317933913006e-12,0.0
2040,,9.67621772559037e-13,5.0262395291627006e-11,3.72363801858702e-13,1.2472662818181214e-11,0.0,,2.3589871724366378e-12,0.0,,6.683941759320767e-13,4.696539088870369e-11,4.566783002835652e-13,1.4455167465398167e-11,0.0,,2.0222995611418382e-12,0.0
2050,,5.787482075977053e-13,5.006378776160001e-11,2.5200818114901643e-13,5.4842966946004595e-12,0.0,,1.128647928051319e-12,0.0,,3.7309727559961213e-13,4.579225340218006e-11,4.761408619654639e-13,1.1957227281742155e-11,0.0,,1.0439960572692456e-12,0.0
2060,,3.757003460776481e-13,4.982438752965169e-11,2.1748851961955228e-13,5.274944914540602e-12,0.0,,9.25069666506995e-13,0.0,,3.025410663257624e-13,4.4434716370044744e-11,5.07355776816861e-13,9.605513090418724e-12,0.0,,9.382204835970691e-13,0.0
2070,,2.609725985887109e-13,4.954848282380558e-11,2.0878332613794033e-13,5.051597193469195e-12,0.0,,7.651014856118008e-13,0.0,,2.50777697044184e-13,4.3075046705097186e-11,5.120837886004212e-13,7.118500855988008e-12,0.0,,8.400644797488359e-13,0.0
2080,,1.8569240267840091e-13,4.9584505087323216e-11,2.2313890675499919e-13,4.7876702490301845e-12,0.0,,6.340716232773137e-13,0.0,,2.0608934788083283e-13,4.1757596281112247e-11,4.839342194775681e-13,4.757208473958732e-12,0.0,,7.203580849936838e-13,0.0
2090,,1.3512914389860795e-13,5.0248129901214047e-11,2.486577563392353e-13,4.502750648830054e-12,0.0,,5.192705710202993e-13,0.0,,1.7286476341565247e-13,4.051916234257567e-11,4.424378904492669e-13,2.552111891508016e-12,0.0,,6.3701960064975e-13,0.0
2100,,9.89778626437093e-14,5.07133997714675e-11,2.689375686398467e-13,4.211099836619421e-12,0.0,,4.237040709983167e-13,0.0,,1.4799878372134673e-13,3.914626059517264e-11,3.672534123127522e-13,8.021738304018431e-13,0.0,,4.670340283183489e-13,0.0
