Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,6.418765516858168e-12,2.83834252465455e-16,6.176450315986052e-13,1.0110774113131796e-15,8.175765407036431e-15,,,,0.0,6.418765516858168e-12,2.83834252465455e-16,6.176450315986052e-13,1.0110774113131796e-15,8.175765407036431e-15,,,,0.0
2010,6.575752981022898e-12,2.820362199916866e-16,6.300588543455702e-13,1.1151426001948032e-15,8.750301898041833e-15,,,,0.0,6.582849797480853e-12,2.811834865520465e-16,6.308570668033477e-13,1.1200718111705477e-15,8.749606747289189e-15,,,,0.0
2020,6.829882156815099e-12,2.783347130433318e-16,6.461972948251994e-13,1.3255982642332116e-15,1.0421332887064481e-14,,,,0.0,6.825542980968664e-12,2.7620993080960294e-16,6.496457358911031e-13,1.3296189440085506e-15,1.0461617293634258e-14,,,,0.0
2030,7.0228990602471645e-12,3.389293950384477e-16,6.674402945541428e-13,1.4881112133408476e-15,1.2405750028547271e-14,,,,0.0,7.0278352584690335e-12,3.359764277519772e-16,6.730477393124504e-13,1.6577630348262179e-15,1.3309673052189322e-14,,,,0.0
2040,7.087622887433682e-12,3.377692483469926e-16,6.937306269285062e-13,1.5478184963330223e-15,1.4272875897171225e-14,,,,0.0,7.206341360848237e-12,3.3527004299176984e-16,6.992091324343075e-13,2.011117202157723e-15,1.6613875942974234e-14,,,,0.0
2050,6.922999708008172e-12,2.739200765505012e-16,7.210795169296209e-13,1.3645406339227893e-15,1.5619265177898096e-14,,,,0.0,7.288186526830188e-12,3.362694973878967e-16,7.259200534382379e-13,2.274939351219258e-15,1.917644688210067e-14,,,,0.0
2060,6.584254091698064e-12,2.0875825586240947e-16,7.484881898954628e-13,1.1112624221592882e-15,1.6619148437190852e-14,,,,0.0,7.271916949524706e-12,3.3876743262140663e-16,7.491279079816374e-13,2.3201858167401103e-15,2.158442105898548e-14,,,,0.0
2070,6.2885299651675565e-12,2.1027738712695183e-16,7.766568644519046e-13,1.0312175123276458e-15,1.815743856802853e-14,,,,0.0,7.1870314183928726e-12,3.435178411180894e-16,7.705433947941079e-13,2.2717118405549554e-15,2.38102559280824e-14,,,,0.0
2080,6.098162348526468e-12,1.4334189621346374e-16,8.100892205073629e-13,1.0429018437346357e-15,1.976587865979779e-14,,,,0.0,7.060413879703374e-12,2.8037271092623153e-16,7.904195039011762e-13,2.1565678617422773e-15,2.564693391343784e-14,,,,0.0
2090,5.96960125802945e-12,1.4478633118209924e-16,8.537006466095623e-13,1.0910589026537792e-15,2.1137324200919343e-14,,,,0.0,6.894160369944956e-12,2.8495653639067636e-16,8.08750943187435e-13,2.0361513887129773e-15,2.591540505834688e-14,,,,0.0
2100,5.830630666223298e-12,1.4668164840947823e-16,8.93637012500496e-13,1.0902789603274761e-15,2.245918839491132e-14,,,,0.0,6.6947792940997856e-12,2.1799585108010798e-16,8.213975741638822e-13,1.971378685140678e-15,2.72220053675666e-14,,,,0.0
