Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.6971486346807337e-12,6.142311968005445e-16,3.1432776516745417e-13,0.0,2.2269208434099412e-14,,,,0.0,1.6971486346807337e-12,6.142311968005445e-16,3.1432776516745417e-13,0.0,2.2269208434099412e-14,,,,0.0
2010,1.7288163903225501e-12,6.186386375538406e-16,3.186644457779213e-13,0.0,2.382073117295257e-14,,,,0.0,1.7306468720412183e-12,6.186386375538406e-16,3.199481637524044e-13,0.0,2.382073117295257e-14,,,,0.0
2020,1.776409397189473e-12,6.301783274844757e-16,3.241907285510935e-13,0.0,2.850218477810714e-14,,,,0.0,1.775585831097807e-12,6.301783274844757e-16,3.2677073135677173e-13,0.0,2.86148400938744e-14,,,,0.0
2030,1.8133856100881204e-12,8.133673514576223e-16,3.2901983707204854e-13,0.0,3.44304487502402e-14,,,,0.0,1.8147585015134687e-12,8.133673514576223e-16,3.329691149414311e-13,0.0,3.693231177511015e-14,,,,0.0
2040,1.82409401855137e-12,8.514947158363264e-16,3.324133102931368e-13,0.0,4.055338975715066e-14,,,,0.0,1.8545717501216223e-12,8.514947158363264e-16,3.3811444415178334e-13,0.0,4.7226737239193486e-14,,,,0.0
2050,1.7814432520521567e-12,7.219853536916658e-16,3.3457872737270836e-13,0.0,4.5776395401975516e-14,,,,0.0,1.8780021572113504e-12,9.024816479695426e-16,3.41582926740632e-13,0.0,5.624355487315428e-14,,,,0.0
2060,1.6929387075458795e-12,5.79268560880474e-16,3.3573912741514034e-13,0.0,5.05508328223728e-14,,,,0.0,1.8790089522929647e-12,9.654476014674566e-16,3.4251995617886945e-13,0.0,6.573126799764927e-14,,,,0.0
2070,1.620450908214295e-12,6.233331387846182e-16,3.3586337957394944e-13,0.0,5.756554600836688e-14,,,,0.0,1.864456471947818e-12,1.0388885254009952e-15,3.4268841835877323e-13,0.0,7.554446120416674e-14,,,,0.0
2080,1.579356021039603e-12,4.483220716867685e-16,3.376340707801079e-13,0.0,6.547848431875255e-14,,,,0.0,1.839378691583983e-12,8.96644143373537e-16,3.427882600764872e-13,0.0,8.497891586937106e-14,,,,0.0
2090,1.5545527225245271e-12,4.836653555682648e-16,3.4354450156888525e-13,0.0,7.318664615106198e-14,,,,0.0,1.8044161893939531e-12,9.673307111365296e-16,3.430234139923707e-13,0.0,8.964395458300212e-14,,,,0.0
2100,1.5235256656205918e-12,5.207463059283779e-16,3.485101578782381e-13,0.0,8.123500213683184e-14,,,,0.0,1.7614909410459808e-12,7.81119400032514e-16,3.424158350998771e-13,0.0,9.835908478092148e-14,,,,0.0
