Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.769216510869986e-13,1.3602806901148503e-12,1.4127729026459223e-12,1.6065521455089467e-12,1.2652277584894943e-12,0.0,,1.4708728866325384e-12,0.0,3.769216510869986e-13,1.3602806901148503e-12,1.4127729026459223e-12,1.6065521455089467e-12,1.2652277584894943e-12,0.0,,1.4708728866325384e-12,0.0
2010,3.764699675176967e-13,1.3649021592047612e-12,1.4154884286041992e-12,1.586913131966506e-12,1.2369482926170771e-12,0.0,,1.4920486127827884e-12,0.0,3.721790640183698e-13,1.3632745553743062e-12,1.402642509318729e-12,1.5925000490699044e-12,1.255064094635179e-12,0.0,,1.471285513496088e-12,0.0
2020,3.762441257330458e-13,1.6033215291072144e-12,1.4040391481855376e-12,1.2347955930759528e-12,1.2882667547039823e-12,0.0,,1.5810431742917911e-12,0.0,3.6111305766124955e-13,1.3936839377094926e-12,1.3644012931171047e-12,1.361543403055453e-12,1.1803374058099606e-12,0.0,,1.5349454124191631e-12,0.0
2030,3.735340544535815e-13,1.6905836122980945e-12,1.3909457492182483e-12,1.3047944917789343e-12,1.3439753592809881e-12,0.0,,1.8204184691220707e-12,0.0,3.495953978711745e-13,1.4304436510910692e-12,1.3240418533553591e-12,1.0696887940506308e-12,1.1774989235557971e-12,0.0,,1.6030246258162645e-12,0.0
2040,3.6743647694974097e-13,1.3880377122751368e-12,1.3734886072008579e-12,1.199377308773424e-12,1.0548783465748984e-12,0.0,,1.5026601027539858e-12,0.0,3.376260545117976e-13,1.2689139159129488e-12,1.280218421320473e-12,1.0872465914671052e-12,9.683148239081992e-13,0.0,,1.549305622870251e-12,0.0
2050,3.550154500210621e-13,9.329190213205555e-13,1.3535542574575125e-12,8.80547896631855e-13,6.178301325724844e-13,0.0,,9.650702242414445e-13,0.0,3.2113993573209566e-13,9.536358914509105e-13,1.2336029170058507e-12,9.106935859305188e-13,5.693774562701531e-13,0.0,,1.2454085295918076e-12,0.0
2060,3.383035497294033e-13,7.061537384511871e-13,1.3309650160861162e-12,6.712015428918411e-13,4.549816911209778e-13,0.0,,8.454304936180842e-13,0.0,3.0126628059167067e-13,8.684726240126632e-13,1.1807137485116853e-12,1.0232629076315282e-12,5.448125965327873e-13,0.0,,1.3625911835690296e-12,0.0
2070,3.2226914465535045e-13,5.547372791551463e-13,1.3041044899773106e-12,4.494985033240601e-13,3.623535902504372e-13,0.0,,7.723493698861516e-13,0.0,2.7958598158307926e-13,7.860184333544288e-13,1.1275050141936023e-12,1.1213459886781655e-12,4.996087088494482e-13,0.0,,1.4675920028039585e-12,0.0
2080,3.071380765835543e-13,4.496016299036005e-13,1.2839841387000891e-12,2.8986404301072465e-13,3.037253161003661e-13,0.0,,7.238900033147794e-13,0.0,2.558731065126292e-13,6.836832945597876e-13,1.0768080841278662e-12,1.1808575591597175e-12,4.4467644670831033e-13,0.0,,1.5319130931808953e-12,0.0
2090,2.9245869208106e-13,3.8056224235374177e-13,1.2796070151119065e-12,2.234926563998749e-13,2.618008355646025e-13,0.0,,6.809002631841612e-13,0.0,2.3170856294105085e-13,6.039890508353538e-13,1.0299089365149874e-12,1.2661266654487378e-12,3.59645628515265e-13,0.0,,1.5807818318903377e-12,0.0
2100,2.773275938729168e-13,3.248096989827649e-13,1.2711001270719717e-12,2.004666037464369e-13,2.2405546774885392e-13,0.0,,6.411328218234943e-13,0.0,2.0912488172568205e-13,4.933092178204994e-13,9.819858763753804e-13,1.2493631415946147e-12,3.2790599768577965e-13,0.0,,1.5424574393709073e-12,0.0
