Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.4149684543802032e-12,8.360833599726117e-11,2.477582973594454e-13,6.448965032097301e-12,0.0,,6.352363319786749e-12,0.0,,1.4149684543802032e-12,8.360833599726117e-11,2.477582973594454e-13,6.448965032097301e-12,0.0,,6.352363319786749e-12,0.0
2010,,1.2347265838353596e-12,8.378421194973178e-11,2.1679338589898207e-13,6.629701347539936e-12,0.0,,6.2868024521168885e-12,0.0,,1.2271878577724672e-12,8.305175441857931e-11,2.173917993064416e-13,6.664316007290568e-12,0.0,,6.186700459986727e-12,0.0
2020,,9.58984831389932e-13,8.309947178819179e-11,2.1546589406682006e-13,7.103971998289817e-12,0.0,,6.1593913714708505e-12,0.0,,8.090976093254936e-13,8.083566933176413e-11,2.1620034776138628e-13,6.871706627446508e-12,0.0,,6.01333046232303e-12,0.0
2030,,7.42182653227976e-13,8.239041254698439e-11,2.3321859202660023e-13,8.964348342106854e-12,0.0,,7.03280710205966e-12,0.0,,5.441069960798331e-13,7.851310002905559e-11,2.1573797464103344e-13,7.421897030242877e-12,0.0,,5.448974604860268e-12,0.0
2040,,4.91383311929985e-13,8.147179691146156e-11,2.0617680828754856e-13,6.011453074389093e-12,0.0,,5.194914013401064e-12,0.0,,3.4156870596474486e-13,7.600786139192477e-11,2.5284266321314715e-13,6.96505680104995e-12,0.0,,4.556242752095576e-12,0.0
2050,,2.984521077600048e-13,8.054008559988731e-11,1.406291390033585e-13,2.658710784528422e-12,0.0,,2.4864602817303046e-12,0.0,,1.930407477736697e-13,7.337200361717767e-11,2.654790234538656e-13,5.7885004684878386e-12,0.0,,2.354291947378028e-12,0.0
2060,,1.9492876635283968e-13,7.951850009591153e-11,1.2197593347329882e-13,2.568924834475309e-12,0.0,,2.0564607532257293e-12,0.0,,1.5857661556163633e-13,7.039733103308861e-11,2.845526989782406e-13,4.672313412098432e-12,0.0,,2.12773083689292e-12,0.0
2070,,1.3653103525755647e-13,7.818350846343267e-11,1.1751752678730567e-13,2.4722123396512853e-12,0.0,,1.724374742667427e-12,0.0,,1.329508057921305e-13,6.744035807366284e-11,2.8846411700396417e-13,3.480150013460846e-12,0.0,,1.9274325356297837e-12,0.0
2080,,9.799949229046658e-14,7.722974423800771e-11,1.2594884738380072e-13,2.355260375179781e-12,0.0,,1.4489999473066684e-12,0.0,,1.1029164542696096e-13,6.462933028523228e-11,2.734032103185038e-13,2.338249424496353e-12,0.0,,1.6742287901622262e-12,0.0
2090,,7.19536471441901e-14,7.725013973035814e-11,1.406356232973018e-13,2.227512630791501e-12,0.0,,1.2034083832626685e-12,0.0,,9.324875285179608e-14,6.204478607551334e-11,2.504165981048005e-13,1.2615795137622129e-12,0.0,,1.5106594481059764e-12,0.0
2100,,5.314492846277792e-14,7.698315675035773e-11,1.5224586650170754e-13,2.095754015893813e-12,0.0,,9.890271946754332e-13,0.0,,8.036392126119113e-14,5.93615945935381e-11,2.080683237894923e-13,3.99111829098956e-13,0.0,,1.1142494014892649e-12,0.0
