Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.3622839545620608e-12,1.655627844269669e-16,2.0221945868075223e-12,2.860367305583694e-15,5.841400302629007e-15,,,,0.0,2.3622839545620608e-12,1.655627844269669e-16,2.0221945868075223e-12,2.860367305583694e-15,5.841400302629007e-15,,,,0.0
2010,2.4063626061778987e-12,1.6585980820787766e-16,2.051942489213058e-12,3.1582651610752675e-15,6.2238880955670346e-15,,,,0.0,2.408910603987762e-12,1.6585980820787766e-16,2.0602190459987946e-12,3.182938761271285e-15,6.2238880955670346e-15,,,,0.0
2020,2.472607831625788e-12,1.6652947282186586e-16,2.086649227935926e-12,3.762984581861673e-15,7.35025816109997e-15,,,,0.0,2.4714613205339788e-12,1.6652947282186586e-16,2.1078293098622954e-12,3.787261655993165e-15,7.379310720394361e-15,,,,0.0
2030,2.524075501044969e-12,2.094575562910268e-16,2.1210810086166983e-12,4.169713855252959e-15,8.654969414742532e-15,,,,0.0,2.5259864594375352e-12,2.094575562910268e-16,2.1526843982284e-12,4.7146193486701574e-15,9.283877237690096e-15,,,,0.0
2040,2.5389806248164634e-12,2.1123802076578516e-16,2.150627488270466e-12,4.263988707656453e-15,9.82393075075872e-15,,,,0.0,2.581403293665981e-12,2.1123802076578516e-16,2.1911956290697784e-12,5.7540921321764625e-15,1.1440527550987846e-14,,,,0.0
2050,2.4796146257787534e-12,1.707579003227153e-16,2.180416314663662e-12,3.62827562321098e-15,1.058711353926273e-14,,,,0.0,2.614016354785752e-12,2.1344736564635518e-16,2.2238376247276994e-12,6.3989590364327145e-15,1.3007947001359665e-14,,,,0.0
2060,2.3564236715009043e-12,1.29531102956915e-16,2.2084406138076427e-12,2.9053895618451963e-15,1.109361282941626e-14,,,,0.0,2.6154175217851524e-12,2.158851813518973e-16,2.2433849034901348e-12,6.29152607541725e-15,1.4425028746084118e-14,,,,0.0
2070,2.255526858797893e-12,1.3114362927659042e-16,2.226734275729313e-12,2.5599641547049285e-15,1.1945894087942878e-14,,,,0.0,2.5951617464863397e-12,2.185727187133304e-16,2.2596521885852905e-12,5.9076095397459496e-15,1.567684592052128e-14,,,,0.0
2080,2.1983266339196675e-12,8.84968217274116e-17,2.2556694533173985e-12,2.4827225945746842e-15,1.281662785860597e-14,,,,0.0,2.560255663182952e-12,1.769936434548232e-16,2.277603431828956e-12,5.333255585420333e-15,1.6633602742517557e-14,,,,0.0
2090,2.1638027742666585e-12,8.95190374311984e-17,2.3138587278505343e-12,2.554170190784176e-15,1.350413911163757e-14,,,,0.0,2.5115908073405533e-12,1.790380748623968e-16,2.2994104820350347e-12,4.699673750515359e-15,1.6540784420894384e-14,,,,0.0
2100,2.1206158179757106e-12,9.044482431865443e-17,2.3648214016563553e-12,2.532788693599445e-15,1.41390454060431e-14,,,,0.0,2.4518427445117917e-12,1.3566723647798164e-16,2.3131949919256613e-12,4.299487157188704e-15,1.7119512650939664e-14,,,,0.0
