Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.1655841267100213e-13,2.3934014517499546e-13,4.09707752885367e-12,2.363211818059639e-13,2.0142976559581035e-13,0.0,,9.340490943693896e-13,0.0,2.1655841267100213e-13,2.3934014517499546e-13,4.09707752885367e-12,2.363211818059639e-13,2.0142976559581035e-13,0.0,,9.340490943693896e-13,0.0
2010,2.162989010363584e-13,2.402548802253602e-13,4.105889614384186e-12,2.383914200352699e-13,1.975958793435847e-13,0.0,,9.506679101241782e-13,0.0,2.1383359046328242e-13,2.39968392329319e-13,4.069777392460094e-12,2.392307214658009e-13,2.004897727718112e-13,0.0,,9.38283927795645e-13,0.0
2020,2.1616913522782857e-13,2.8194667223274897e-13,4.0722030978849554e-12,1.9115075093533054e-13,2.068564701978541e-13,0.0,,1.0093984683378587e-12,0.0,2.074756653177976e-13,2.4508155284426073e-13,3.9612645617096825e-12,2.1077178479466839e-13,1.8952634038605359e-13,0.0,,9.928134628306883e-13,0.0
2030,2.1461210538479777e-13,2.9611638315371583e-13,4.037212129279037e-12,2.0722410668466213e-13,2.1689943257989803e-13,0.0,,1.158750321516845e-12,0.0,2.0085824852008486e-13,2.505512596052136e-13,3.847872824305338e-12,1.6988524418120238e-13,1.9003243503228617e-13,0.0,,1.0606001318372453e-12,0.0
2040,2.111087482731467e-13,2.4122794394759105e-13,3.99281024210441e-12,1.925064179738411e-13,1.7063236672741747e-13,0.0,,9.768030716737002e-13,0.0,1.939813200877285e-13,2.2052534184795696e-13,3.724889847011656e-12,1.7450885549023527e-13,1.566302483281844e-13,0.0,,1.0617878866353683e-12,0.0
2050,2.0397234817097824e-13,1.6014457578613708e-13,3.947833820509264e-12,1.4042295044541041e-13,9.964881092110055e-14,0.0,,6.535640359439877e-13,0.0,1.8450931527376623e-13,1.6370084633495886e-13,3.5965550991753686e-12,1.4523035002422354e-13,9.18339678359934e-14,0.0,,9.104300386940344e-13,0.0
2060,1.943705775484861e-13,1.1914712277349572e-13,3.8988126382274285e-12,1.0494213289734566e-13,7.272357462249397e-14,0.0,,5.777477928115996e-13,0.0,1.7309102315601545e-13,1.4653469222762335e-13,3.450985917316784e-12,1.599867946305856e-13,8.70820294523719e-14,0.0,,1.0035836652551766e-12,0.0
2070,1.8515810435158352e-13,9.16225738587164e-14,3.8344165056126334e-12,6.84799089684327e-14,5.711662844151692e-14,0.0,,5.342186975964684e-13,0.0,1.6063470448210552e-13,1.2982187918867646e-13,3.3059503458910577e-12,1.7083408921542307e-13,7.875171996799852e-14,0.0,,1.0865077336350675e-12,0.0
2080,1.764646144591367e-13,7.239455415431604e-14,3.788348564534097e-12,4.2848409206013585e-14,4.6984859207831775e-14,0.0,,5.07269692214208e-13,0.0,1.4701059344350662e-13,1.1008622619202313e-13,3.168846674542489e-12,1.745572329190081e-13,6.878932668666179e-14,0.0,,1.1398929956088774e-12,0.0
2090,1.680306362013336e-13,5.953646403172234e-14,3.789914866218083e-12,3.201981816241171e-14,3.960053727221254e-14,0.0,,4.834186007260026e-13,0.0,1.3312698076147188e-13,9.449012047164468e-14,3.042975998369493e-12,1.8139809309075528e-13,5.44007383736821e-14,0.0,,1.1787070000152148e-12,0.0
2100,1.593371662913026e-13,4.9229229204458473e-14,3.777339692134697e-12,2.7834044064869822e-14,3.3039870535513816e-14,0.0,,4.610531618914121e-13,0.0,1.2015163881827445e-13,7.476756594858099e-14,2.911833801035945e-12,1.7346945014738252e-13,4.835396941660537e-14,0.0,,1.1602995182528622e-12,0.0
