Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.5925383961720815e-13,1.3301132373747712e-11,1.2223635750505027e-11,4.106614756272966e-14,0.0,7.011858496438498e-13,9.501603567615885e-13,1.1665692410147854e-13,,1.5925383961720815e-13,1.3301132373747712e-11,1.2223635750505027e-11,4.106614756272966e-14,0.0,7.011858496438498e-13,9.501603567615885e-13,1.1665692410147854e-13
2010,,1.3939487513234454e-13,1.3329707548131846e-11,1.1456949140298196e-11,3.9982198917145256e-14,0.0,6.782904771409175e-13,9.239280007413725e-13,1.2177770790806695e-13,,1.382500325722593e-13,1.3214005204017935e-11,1.1463656837650718e-11,4.021899554057154e-14,0.0,6.788987418793912e-13,9.089879477069726e-13,1.1866849395784895e-13
2020,,1.1415776331595262e-13,1.3219366246401496e-11,1.1873936439319912e-11,4.049763284498571e-14,0.0,6.225957674376618e-13,9.116362572444028e-13,1.352763493575438e-13,,9.708228941174436e-14,1.2862030774893806e-11,1.0315481929968657e-11,4.1046434909493664e-14,0.0,6.057028329022428e-13,8.725125253923907e-13,1.259390060439946e-13
2030,,9.38534507290404e-14,1.3106196074024098e-11,9.958902273358076e-12,4.286269663334633e-14,0.0,6.449545321453584e-13,1.043097773583234e-12,1.4604301489442658e-13,,7.201420885102744e-14,1.24930498711474e-11,9.050215820341445e-12,4.451280956501033e-14,0.0,5.107323651271885e-13,7.725798242893094e-13,1.3686482153191454e-13
2040,,6.502940035110091e-14,1.29614428141695e-11,9.387374487057763e-12,3.9024873845198234e-14,0.0,3.84043409025136e-13,7.206647885440783e-13,1.5178695033929678e-13,,5.567331852708837e-14,1.20943607101085e-11,8.861334991917011e-12,4.991805305243122e-14,0.0,5.176432037192424e-13,5.951992758348571e-13,1.4397778226029102e-13
2050,,3.990660294018278e-14,1.2818689714211823e-11,8.308740944282878e-12,3.1944392035983965e-14,0.0,5.563080593736754e-14,2.7961172694067825e-13,1.5223375715770246e-13,,4.0978854379089005e-14,1.1676409139627525e-11,8.3754086779315e-12,5.132087859234771e-14,0.0,4.675066429494916e-13,2.370404088996524e-13,1.4214282698641068e-13
2060,,2.830676058322697e-14,1.2664616016167485e-11,7.474467729016979e-12,3.245750550578383e-14,0.0,5.536143298050182e-14,2.3294317438893984e-13,1.5167021306590117e-13,,3.7132084464244086e-14,1.1205703991302591e-11,6.7582218519139656e-12,5.092642070786505e-14,0.0,4.088473420307321e-13,2.154049876633093e-13,1.3684617793792653e-13
2070,,2.123568299847209e-14,1.2457279748182658e-11,6.869480106742839e-12,3.3600524670422784e-14,0.0,5.594091304894345e-14,1.9706732446193674e-13,1.512346363652032e-13,,3.3768991422850034e-14,1.0738089882920658e-11,5.115302470061457e-12,4.8592744299200795e-14,0.0,3.310027038478277e-13,1.9197074935215056e-13,1.308369059841923e-13
2080,,1.633599338315483e-14,1.2309702733179467e-11,6.475852731427732e-12,3.4707223296452394e-14,0.0,5.616367702083909e-14,1.6748723438470914e-13,1.4927248302322981e-13,,2.981437890746474e-14,1.0294092112605524e-11,3.42960025629615e-12,4.488578635245426e-14,0.0,2.3450719807751813e-13,1.5839336681708406e-13,1.2288564294607726e-13
2090,,1.3083058404737775e-14,1.231789648283392e-11,6.113688229376072e-12,3.575713939004229e-14,0.0,5.5249256693523966e-14,1.412049323160758e-13,1.4669276312820468e-13,,2.6357810622526438e-14,9.886542908238073e-12,1.8603341409547626e-12,3.911119288606622e-14,0.0,1.2228923777141073e-13,1.288632427706893e-13,1.153211995139863e-13
2100,,1.0596317939563631e-14,1.2279127398898414e-11,5.721390244222634e-12,3.662308237650534e-14,0.0,5.3732306581084254e-14,1.1832034032649467e-13,1.4380650298283287e-13,,2.3408228699128007e-14,9.462654162359748e-12,2.981837638975553e-13,3.619688242444498e-14,0.0,1.5025313007227573e-14,7.864704707817234e-14,1.0743158222876848e-13
