Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,6.699963363353835e-12,6.663704817105324e-14,1.006438653710604e-12,2.180243828727725e-11,4.7666554691427896e-14,0.0,,1.6401139156363848e-14,1.2208872630743652e-12,6.699963363353835e-12,6.663704817105324e-14,1.006438653710604e-12,2.180243828727725e-11,4.7666554691427896e-14,0.0,,1.6401139156363848e-14,1.2208872630743652e-12
2010,6.870333482226463e-12,6.964274876516694e-14,1.0030115114310707e-12,2.265533172965296e-11,4.84829610251501e-14,0.0,,1.876526669077392e-14,1.2913312557441389e-12,6.8691656486842895e-12,6.886127185911314e-14,1.0020295938641726e-12,2.263434978387183e-11,4.84829610251501e-14,0.0,,1.8469750367547092e-14,1.2913312557441389e-12
2020,7.0797334573540575e-12,8.139454369958928e-14,9.661287698716607e-13,1.988844894500368e-11,4.560292032103501e-14,0.0,,2.44785776960524e-14,1.3083150316073889e-12,7.2398211729386344e-12,7.969984854825249e-14,9.98037380287937e-13,2.45681055876512e-11,5.2841477406926935e-14,0.0,,2.383829385476321e-14,1.4611107203444749e-12
2030,6.869515608167161e-12,9.328875988909996e-14,7.842334228510511e-13,1.5857976516998745e-11,4.1154286809238784e-14,0.0,,2.9699359970250576e-14,1.158457088685507e-12,7.590961769065496e-12,9.829317317080113e-14,9.944449251165224e-13,2.7086763985882198e-11,6.071748205359632e-14,0.0,,3.255601165863415e-14,1.7005496004815268e-12
2040,6.534734055545453e-12,1.0489172561891846e-13,5.927364042764439e-13,1.346519104562509e-11,3.885476971437194e-14,0.0,,3.299928614347439e-14,1.0161177088835122e-12,7.830159075608625e-12,1.1809619050288236e-13,9.905796499687838e-13,2.972710829572904e-11,6.852567838877377e-14,0.0,,4.1569253414243245e-14,1.986827393704801e-12
2050,5.838995074606581e-12,1.0807352276852664e-13,3.646585134898875e-13,9.425413444941649e-12,3.152956494541259e-14,0.0,,3.285153103326552e-14,7.308602565129931e-13,7.82945759432376e-12,1.3326792029933532e-13,9.776313443924034e-13,3.230722207886298e-11,7.105744093391339e-14,0.0,,4.6691533298770336e-14,2.251827572253491e-12
2060,5.4080434062363024e-12,1.0342951697881245e-13,2.7029773416089277e-13,6.8097279989247774e-12,2.455555090105373e-14,0.0,,3.043815077831764e-14,5.993855856285425e-13,7.683158907291995e-12,1.4812180359420236e-13,9.591378800345424e-13,3.432834120551168e-11,7.184771809063507e-14,0.0,,4.89571553921048e-14,2.506007909736864e-12
2070,5.201682532376823e-12,9.964229675898158e-14,2.3125196177989154e-13,5.862746231027849e-12,2.1120337656535444e-14,0.0,,2.871430861089902e-14,5.774753781777904e-13,7.431458360831787e-12,1.6740492262226086e-13,9.331548531054589e-13,3.686124170484029e-11,7.147567254176622e-14,0.0,,5.181381318329744e-14,2.7485946676107548e-12
2080,5.032129115824156e-12,9.688637193417227e-14,2.1053978457055373e-13,5.5919131340447696e-12,1.8984662676565885e-14,0.0,,2.7384482104973774e-14,5.929005454289851e-13,7.028551882984003e-12,1.8073793707631439e-13,8.990629017190316e-13,3.929711281290432e-11,6.953809779536552e-14,0.0,,5.255259483715091e-14,2.9229430368324832e-12
2090,4.820275909098436e-12,9.619453308762653e-14,1.932278484584024e-13,5.4949142080030605e-12,1.7355449140766016e-14,0.0,,2.60546617018576e-14,6.096926442652043e-13,6.53707089436914e-12,2.027832485140892e-13,8.587077106256098e-13,4.401904737325723e-11,6.444798886881066e-14,0.0,,5.595102950285486e-14,3.032349901324955e-12
2100,4.615667566711776e-12,9.528896776490772e-14,1.7841017923251146e-13,5.4732940548614236e-12,1.6006975501750717e-14,0.0,,2.4872596408950298e-14,6.249532309616054e-13,6.027127199554091e-12,1.7604730582536375e-13,8.232359385214184e-13,4.655164165803832e-11,6.134286130945296e-14,0.0,,4.757807616564174e-14,3.075973756952179e-12
