Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.318466927286369e-12,2.8241092841583088e-11,4.484880657997417e-13,1.1403261018924669e-11,0.0,,2.2734016369810877e-12,0.0,,2.318466927286369e-12,2.8241092841583088e-11,4.484880657997417e-13,1.1403261018924669e-11,0.0,,2.2734016369810877e-12,0.0
2010,,2.0232905549355547e-12,2.8292824352283368e-11,3.908683940374374e-13,1.17209656424056e-11,0.0,,2.249938728437453e-12,0.0,,2.0109372976539918e-12,2.8041287849330762e-11,3.919472974459544e-13,1.1782163244653753e-11,0.0,,2.2141139698570942e-12,0.0
2020,,1.5741421651952657e-12,2.805709539418657e-11,3.871946006268395e-13,1.2565442090522504e-11,0.0,,2.204340492022373e-12,0.0,,1.3281070760887759e-12,2.727558275008293e-11,3.8851439411466633e-13,1.2154613873576936e-11,0.0,,2.152067833036913e-12,0.0
2030,,1.2241458701788326e-12,2.7793394674565912e-11,4.1976844164214927e-13,1.588771994840464e-11,0.0,,2.516920904079709e-12,0.0,,8.974426791466829e-13,2.6463342413527827e-11,3.883052386424809e-13,1.3153998949395731e-11,0.0,,1.9500943418460727e-12,0.0
2040,,8.1780590313009e-13,2.7437504628314352e-11,3.739216500195777e-13,1.0698369972581042e-11,0.0,,1.859170493702347e-12,0.0,,5.684704637051468e-13,2.5583937978005428e-11,4.58554722581819e-13,1.2395464894908545e-11,0.0,,1.6306010582626721e-12,0.0
2050,,5.035873994754713e-13,2.704372521876541e-11,2.582008680936572e-13,4.763285241660572e-12,0.0,,8.898615256170526e-13,0.0,,3.2572359253269503e-13,2.4642996916985843e-11,4.874303833615175e-13,1.0370544645840976e-11,0.0,,8.425606542960459e-13,0.0
2060,,3.351673233881587e-13,2.6599307921900145e-11,2.274411969226981e-13,4.6459624967670174e-12,0.0,,7.359720182061012e-13,0.0,,2.7266218209277857e-13,2.3580160593588345e-11,5.30588277311212e-13,8.449992782103994e-12,0.0,,7.614783913361779e-13,0.0
2070,,2.403295973253221e-13,2.6059820381946768e-11,2.228777360069889e-13,4.5264107130690525e-12,0.0,,6.171240592716806e-13,0.0,,2.340274216965094e-13,2.2516741525159108e-11,5.470863672180429e-13,6.371857990911518e-12,0.0,,6.897949913795469e-13,0.0
2080,,1.7738565185273998e-13,2.5651951978573982e-11,2.4331367566692785e-13,4.38042175580282e-12,0.0,,5.185721880247259e-13,0.0,,1.9963527313230465e-13,2.14986890793354e-11,5.28172736661856e-13,4.348784012463967e-12,0.0,,5.991776995406422e-13,0.0
2090,,1.3444053844381413e-13,2.5562979467011088e-11,2.77004403974359e-13,4.224135553216896e-12,0.0,,4.3067919015126015e-13,0.0,,1.7422902268770502e-13,2.0557651154530385e-11,4.932357170989455e-13,2.392391962245316e-12,0.0,,5.406391156121996e-13,0.0
2100,,1.0282477742320473e-13,2.538466573657301e-11,3.058055860722608e-13,4.0681129919824685e-12,0.0,,3.539558707698033e-13,0.0,,1.5548807721674688e-13,1.9595621910029508e-11,4.1793222845146527e-13,7.747245628172741e-13,0.0,,3.9877070179116543e-13,0.0
