Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.0131228364298165e-12,7.896416817329275e-14,1.6102646005525093e-12,2.2320988844170342e-11,4.396296063896962e-14,4.1320795296348654e-22,,1.7130203959911584e-14,1.3542927222745805e-12,5.0131228364298165e-12,7.896416817329275e-14,1.6102646005525093e-12,2.2320988844170342e-11,4.396296063896962e-14,4.1320795296348654e-22,,1.7130203959911584e-14,1.3542927222745805e-12
2010,5.1403366542544015e-12,8.134821965140621e-14,1.6047449261167285e-12,2.316739267865977e-11,4.4747853274405134e-14,4.1320795296348654e-22,,1.96120829640496e-14,1.4254291205310988e-12,5.1393445881138565e-12,8.039911965052882e-14,1.6026492535877505e-12,2.314596978381992e-11,4.474798392730594e-14,4.1320795296348654e-22,,1.9302821715115718e-14,1.4254291205310988e-12
2020,5.2957720959241485e-12,9.191790867395996e-14,1.5454471738495214e-12,2.0273450337026775e-11,4.215883072579737e-14,4.1320795296348654e-22,,2.5605308838813203e-14,1.427153141551375e-12,5.413913376316549e-12,8.987233220009255e-14,1.5954107842477256e-12,2.503443606980561e-11,4.8845949490582965e-14,4.1320795296348654e-22,,2.4932969011249667e-14,1.592293928646024e-12
2030,5.13322017739433e-12,1.0060418013725048e-13,1.252797517350862e-12,1.604091392841001e-11,3.8132077992723846e-14,4.1320795296348654e-22,,3.1072346487180825e-14,1.2346878307579166e-12,5.67269391866787e-12,1.0565905687840328e-13,1.590260670874233e-12,2.740483745545413e-11,5.625420227520924e-14,4.1320795296348654e-22,,3.406159853345453e-14,1.8123818010697382e-12
2040,4.877803760591841e-12,1.0705510178824841e-13,9.452380504470721e-13,1.347046159920585e-11,3.608751874501274e-14,4.1320795296348654e-22,,3.451798311450573e-14,1.0498899787719386e-12,5.8466495210155066e-12,1.2007603520933177e-13,1.5862083405027387e-12,2.9745403989897104e-11,6.363605850769706e-14,4.1320795296348654e-22,,4.3483114529873114e-14,2.053254683542165e-12
2050,4.353766771537095e-12,1.0416421037849631e-13,5.784576551817513e-13,9.291561267382033e-12,2.933673235504537e-14,0.0,,3.4356724771682135e-14,7.283930576802397e-13,5.841965129239298e-12,1.2789145842697944e-13,1.5690742951142346e-12,3.185408387372649e-11,6.609973826267863e-14,4.1320795296348654e-22,,4.882077547630207e-14,2.244671486141932e-12
2060,4.029384138489927e-12,9.428552588362164e-14,4.2802442780178e-13,6.592831979034709e-12,2.2858560241878704e-14,0.0,,3.182044399942598e-14,5.748902337192598e-13,5.729554061099982e-12,1.344040202501091e-13,1.5439445908314164e-12,3.3245843368425094e-11,6.685996083073636e-14,4.1320795296348654e-22,,5.116305068938182e-14,2.4041810585529088e-12
2070,3.873391144898325e-12,8.626265385653929e-14,3.670869443000191e-13,5.558487455695037e-12,1.963826487213673e-14,0.0,,3.000339811377376e-14,5.33403420854949e-13,5.538983590662257e-12,1.4429471547950808e-13,1.5069687746792404e-12,3.4956812835839626e-11,6.643827392720003e-14,8.264159059269731e-22,,5.4115362961039286e-14,2.5395068536829257e-12
2080,3.7455119678440215e-12,8.007275803665781e-14,3.3587097994471144e-13,5.17609224697182e-12,1.7599215210590983e-14,0.0,,2.859915473440285e-14,5.285359283706066e-13,5.236543179070968e-12,1.4881720031456397e-13,1.4569971011305864e-12,3.6380822543256345e-11,6.444535057235868e-14,8.264159059269731e-22,,5.4854102459263984e-14,2.6064133829404503e-12
2090,3.586637741824979e-12,7.631552124016578e-14,3.101940453192047e-13,4.950786620301394e-12,1.6006494522909167e-14,0.0,,2.71960825649642e-14,5.261066803211632e-13,4.868693893759428e-12,1.603442391354462e-13,1.3963902814560732e-12,3.966444320891525e-11,5.942596009230064e-14,8.264159059269731e-22,,5.835308513260677e-14,2.617422569656626e-12
2100,3.433492533518213e-12,7.295476466970398e-14,2.883214805241569e-13,4.788188114680088e-12,1.465446330902409e-14,0.0,,2.595231361101205e-14,5.237062878980986e-13,4.487356749556364e-12,1.3444387871720588e-13,1.343031487448044e-12,4.073078828594429e-11,5.614695024217007e-14,8.264159059269731e-22,,4.960108126168418e-14,2.5782708974237757e-12
