Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.534714953234052e-12,2.226240126274474e-16,5.809796294613687e-13,1.0147726231418837e-15,7.54628290815604e-15,,,,0.0,2.534714953234052e-12,2.226240126274474e-16,5.809796294613687e-13,1.0147726231418837e-15,7.54628290815604e-15,,,,0.0
2010,2.58669778554956e-12,2.2280027009826554e-16,5.89667263447768e-13,1.1214065338076922e-15,8.069235142169471e-15,,,,0.0,2.5894535911922258e-12,2.2259592444104304e-16,5.918632400751666e-13,1.1292369587780585e-15,8.069065993324672e-15,,,,0.0
2020,2.6671130781627397e-12,2.235090365670101e-16,6.002110272018611e-13,1.3388365832650855e-15,9.619839517312352e-15,,,,0.0,2.6657286053669657e-12,2.22999676171766e-16,6.056153537909278e-13,1.3463588948655742e-15,9.657644284124586e-15,,,,0.0
2030,2.7290329968197844e-12,2.8074829478387167e-16,6.108696535204654e-13,1.4947749032838723e-15,1.1514148512364906e-14,,,,0.0,2.7310511735138816e-12,2.8003994754178993e-16,6.190316148928093e-13,1.6840063821338305e-15,1.2351416629412265e-14,,,,0.0
2040,2.7480766650065134e-12,2.857135789230181e-16,6.204471457495751e-13,1.544489352767515e-15,1.3359054962570906e-14,,,,0.0,2.7940297539614813e-12,2.851134286144188e-16,6.310718023139693e-13,2.065120747975947e-15,1.5555506373278886e-14,,,,0.0
2050,2.6839596871694634e-12,2.3505142200010844e-16,6.295301727432225e-13,1.3365608022127113e-15,1.4766247364560077e-14,,,,0.0,2.8281706261425024e-12,2.923399484634666e-16,6.412582490490497e-13,2.324779389808907e-15,1.8139191984197342e-14,,,,0.0
2060,2.551271288824578e-12,1.8220768243322041e-16,6.3778960117957e-13,1.0854312721517096e-15,1.5888983904068972e-14,,,,0.0,2.82714630740016e-12,3.0147150717704584e-16,6.474718023763277e-13,2.3292071524574196e-15,2.06542311611782e-14,,,,0.0
2070,2.44029366965414e-12,1.8852619378523896e-16,6.438895984713444e-13,9.805777259863787e-16,1.7576867731833843e-14,,,,0.0,2.8016536120294933e-12,3.1253260217405835e-16,6.525282189552401e-13,2.236209117587771e-15,2.3062047468713813e-14,,,,0.0
2080,2.374517922588417e-12,1.308116236690472e-16,6.532513640965182e-13,9.74827029808189e-16,1.9382431327283713e-14,,,,0.0,2.7601985664847797e-12,2.600937079726656e-16,6.576879633139922e-13,2.0733772530536386e-15,2.5153445781364982e-14,,,,0.0
2090,2.3330976680447186e-12,1.3580076727347807e-16,6.709399750548564e-13,1.0237912458379669e-15,2.0995648188779952e-14,,,,0.0,2.703697383565291e-12,2.7047844454468886e-16,6.634461726172505e-13,1.8908557338952327e-15,2.5723057432579862e-14,,,,0.0
2100,2.2840356373208976e-12,1.410302918008819e-16,6.865029006464314e-13,1.0367632124182966e-15,2.2592912564396155e-14,,,,0.0,2.6349243842962087e-12,2.1105009405841166e-16,6.6678237577471e-13,1.7898471888626967e-15,2.736249236501971e-14,,,,0.0
