Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.32197175229402e-13,3.471767487457234e-13,2.405732468426516e-12,2.845234940211375e-12,3.115388182978324e-13,1.6746852965141948e-16,,6.07964642265076e-13,0.0,2.32197175229402e-13,3.471767487457234e-13,2.405732468426516e-12,2.845234940211375e-12,3.115388182978324e-13,1.6746852965141948e-16,,6.07964642265076e-13,0.0
2010,2.321479564151972e-13,3.4852885695149654e-13,2.4108041900595228e-12,2.7003042904018786e-12,3.0562908895903584e-13,1.575754730458199e-16,,6.240294616427589e-13,0.0,2.2950111529180643e-13,3.481097597751012e-13,2.3892019647809492e-12,2.7097823744381727e-12,3.1011205129159694e-13,1.6009420506288223e-16,,6.160590747524018e-13,0.0
2020,2.3234826597683764e-13,4.0939145767639367e-13,2.3907197781943486e-12,1.916248617448943e-12,3.203556120090311e-13,1.121140780558e-16,,6.641432618371672e-13,0.0,2.2301195900262173e-13,3.5589159586489097e-13,2.32505915499894e-12,2.1120825333192622e-12,2.9347364701466215e-13,1.4082164451355468e-16,,6.591868880508745e-13,0.0
2030,2.3087239214459816e-13,4.312608494724219e-13,2.3698096399960605e-12,1.7562663055134381e-12,3.370429364649689e-13,7.801417219390084e-17,,7.594351416892708e-13,0.0,2.1608444356652243e-13,3.6489750031766084e-13,2.2583631635587184e-12,1.4397197108451946e-12,2.9529657228085074e-13,8.680527328920967e-17,,7.110023353357465e-13,0.0
2040,2.271122763181133e-13,3.5332210125877906e-13,2.3437084754016267e-12,1.3661128528813778e-12,2.668576726616403e-13,6.421910418618359e-17,,6.514101287595162e-13,0.0,2.0872482165804727e-13,3.2297094711862683e-13,2.1864020841922926e-12,1.2385334309109304e-12,2.450029513199029e-13,6.490814421772105e-17,,7.284070935347268e-13,0.0
2050,2.192800082086113e-13,2.3659437326493213e-13,2.3162122364617534e-12,8.450770729464162e-13,1.5728195911688278e-13,4.1226476606372906e-17,,4.502585651674669e-13,0.0,1.9846530262201434e-13,2.417926415647228e-13,2.1111363076822026e-12,8.742969596125631e-13,1.4502393598067386e-13,2.2489398374509327e-17,,6.478176965988697e-13,0.0
2060,2.087515868380131e-13,1.78082498196092e-13,2.285930477676632e-12,5.476849027953885e-13,1.1609012317319859e-13,2.940564036819328e-17,,3.98212347530366e-13,0.0,1.8608349519463888e-13,2.1894913906966235e-13,2.0256943873514958e-12,8.351820195095403e-13,1.3903546960443972e-13,2.0464848013412552e-17,,7.127119472075332e-13,0.0
2070,1.9861699063985368e-13,1.3890200766626323e-13,2.247598260437656e-12,3.1500085886347135e-13,9.233840570286394e-14,2.2756498162015422e-17,,3.683801467122274e-13,0.0,1.7258044323722e-13,1.9675242442770722e-13,1.940341609628541e-12,7.859107948268237e-13,1.2733337456117344e-13,1.750609090647324e-17,,7.697887494785866e-13,0.0
2080,1.8907384145895688e-13,1.1159323697435125e-13,2.220478749804916e-12,1.761741072680741e-13,7.704000557367718e-14,1.776931854336331e-17,,3.503905487998252e-13,0.0,1.5787301417544293e-13,1.6965131718928113e-13,1.8594555186196462e-12,7.176636174893969e-13,1.1281051138648926e-13,1.3730545834551574e-17,,8.065956874241165e-13,0.0
2090,1.7986688085654197e-13,9.350242972557224e-14,2.2212160801182817e-12,1.1898692196053728e-13,6.593699141002078e-14,1.3041501246202572e-17,,3.347040255640849e-13,0.0,1.429103920013355e-13,1.4837209387855762e-13,1.7849856049224851e-12,6.739227434509273e-13,9.06090279136546e-14,9.202729844400236e-18,,8.323714143073353e-13,0.0
2100,1.7045486985865722e-13,7.889860841413677e-14,2.213903997201001e-12,9.44551226812219e-14,5.59169218117706e-14,8.414330815384704e-18,,3.2066014525611697e-13,0.0,1.289118669146484e-13,1.1981746378628048e-13,1.707532474876449e-12,5.885023621841539e-13,8.185084136081874e-14,3.0632755542967597e-18,,8.214904914103543e-13,0.0
