Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.3767711251863696e-13,6.5373533230463526e-12,1.860929970201737e-11,4.8674714865547575e-14,2.2798888755876867e-18,9.452050512572678e-13,9.832645398981547e-13,1.6235621914910555e-13,,2.3767711251863696e-13,6.5373533230463526e-12,1.860929970201737e-11,4.8674714865547575e-14,2.2798888755876867e-18,9.452050512572678e-13,9.832645398981547e-13,1.6235621914910555e-13
2010,,2.085637266313497e-13,6.552314946659003e-12,1.7443789819862248e-11,4.7754531151324256e-14,2.00561239468846e-18,9.156643557255344e-13,9.573627889597555e-13,1.6964525116174356e-13,,2.0675890612427324e-13,6.494251901633843e-12,1.745397805840854e-11,4.8040287710093833e-14,2.037323815877878e-18,9.164811230025923e-13,9.418466744360708e-13,1.6531423815282337e-13
2020,,1.712946133815574e-13,6.49884252195667e-12,1.8083662326915922e-11,4.9323597831240836e-14,1.4197841447960174e-18,8.458136566717776e-13,9.465750402457515e-13,1.8898891707343093e-13,,1.4493420543486816e-13,6.3221341003183876e-12,1.571232919943762e-11,5.000600259834169e-14,1.8214630958643835e-18,8.2307557240297e-13,9.054050420012027e-13,1.7594615528556244e-13
2030,,1.4122786260941632e-13,6.4455152339624376e-12,1.5181481237334298e-11,5.387473298097416e-14,1.0865356160008548e-18,8.849860840511563e-13,1.0833958031962263e-12,2.0512137732433276e-13,,1.0711534210787145e-13,6.144010745093742e-12,1.3798599569916274e-11,5.6017347230742486e-14,1.2651214039212623e-18,7.025986660969058e-13,8.024221858194721e-13,1.92249266889621e-13
2040,,9.84910281166146e-14,6.379694243663634e-12,1.4324234555936115e-11,5.1008996920802826e-14,8.678932473357959e-19,5.352954615056655e-13,7.488301577187985e-13,2.1501357506209106e-13,,8.26503064608695e-14,5.9535471860582805e-12,1.3529271232235636e-11,6.530384278652494e-14,9.802742594250818e-19,7.225565312952967e-13,6.197882071766944e-13,2.039742635199291e-13
2050,,6.118137047199617e-14,6.313010197631488e-12,1.2698351035691687e-11,4.3484911007259244e-14,5.168415762091254e-19,8.128780201713208e-14,2.9112482515801683e-13,2.182674482273409e-13,,6.096814960405077e-14,5.754090526554326e-12,1.281341159534181e-11,6.991096270425496e-14,3.4938266769569587e-19,6.646001736959967e-13,2.494708699041709e-13,2.038152776043445e-13
2060,,4.381601812113466e-14,6.240180239145281e-12,1.1453367159079613e-11,4.591499896820779e-14,3.783124402335497e-19,8.254525219626894e-14,2.422762439447176e-13,2.2086729163584068e-13,,5.590953059052484e-14,5.528745778672459e-12,1.0365980245728273e-11,7.20894131782452e-14,3.187838561267773e-19,5.916411301437913e-13,2.2609137321589129e-13,1.9928735200920496e-13
2070,,3.321222635838222e-14,6.144521411288905e-12,1.0561850296458011e-11,4.9300593588348394e-14,3.0209360821649086e-19,8.513004252412549e-14,2.0465649563855386e-13,2.2431320590057984e-13,,5.1628515647039264e-14,5.3045233018791395e-12,7.871442776645423e-12,7.133996480832919e-14,2.720511548579573e-19,4.883999918418612e-13,2.0080492278150266e-13,1.9405907087162835e-13
2080,,2.5873184614872043e-14,6.079926617128898e-12,9.998679851917732e-12,5.2729858940584416e-14,2.447904213511682e-19,8.732996673559872e-14,1.736942592166174e-13,2.2606035248429921e-13,,4.6415637553233033e-14,5.0908235350581866e-12,5.299014079675424e-12,6.82238884578576e-14,2.1029720910982535e-19,3.534618998626448e-13,1.6514207495895725e-13,1.8609622452011769e-13
2090,,2.102644027779564e-14,6.092105557930714e-12,9.488425176063534e-12,5.6149376653185095e-14,1.8859987970643496e-19,8.791578634577646e-14,1.4624027715780614e-13,2.272427799013215e-13,,4.186954187253093e-14,4.894033389271545e-12,2.8887598263401067e-12,6.143910664971722e-14,1.340783859927891e-19,1.8871674841634555e-13,1.338413542004247e-13,1.7863721308352712e-13
2100,,1.7322094575256138e-14,6.081247779261878e-12,8.935414898360565e-12,5.93146438208113e-14,1.3074031683068213e-19,8.759252307212462e-14,1.2245896680543823e-13,2.281509108854452e-13,,3.7993079637875584e-14,4.688352276255445e-12,4.655430880921178e-13,5.863210373463461e-14,8.90146937174577e-21,2.40003266096992e-14,8.154569217862908e-14,1.7043133367181146e-13
