Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.395733772395144e-12,3.998068381996748e-12,2.557125958242681e-13,2.650904857944788e-12,0.0,6.672113546037949e-13,2.784614326562687e-13,5.695417718361115e-14,,2.395733772395144e-12,3.998068381996748e-12,2.557125958242681e-13,2.650904857944788e-12,0.0,6.672113546037949e-13,2.784614326562687e-13,5.695417718361115e-14
2010,,2.264131716250437e-12,3.946078166321485e-12,2.43714594600494e-13,2.758124646547962e-12,0.0,7.071204531739571e-13,2.589552465374277e-13,6.043489983815861e-14,,2.2106364645437835e-12,3.894697366545608e-12,2.439483548741119e-13,2.756244709118402e-12,0.0,7.069712166731833e-13,2.541118734515805e-13,5.891584145867163e-14
2020,,2.033307298699688e-12,3.820752892813101e-12,2.359435111055968e-13,2.8833384954991645e-12,0.0,7.693776674531696e-13,2.3563234193947846e-13,6.992520743188858e-14,,1.6526719606362217e-12,3.67899390501195e-12,2.1709347785631408e-13,2.9936793784675806e-12,0.0,8.036326736921247e-13,2.42239099150036e-13,6.508800644188706e-14
2030,,1.7813307190015149e-12,3.658453170037508e-12,1.9203030620954087e-13,3.156075843503109e-12,0.0,9.204727358746678e-13,2.621197089895686e-13,7.981103826337121e-14,,1.1777482169871112e-12,3.5353097261253437e-12,1.8887597554813645e-13,3.313489780460912e-12,0.0,9.6121842369681e-13,2.0523169013678397e-13,7.3888434621957e-14
2040,,1.4558925723610758e-12,3.6297502845584764e-12,2.3240243767272933e-13,1.8557377856609488e-12,0.0,5.695554233556398e-13,2.2747956899802646e-13,8.942274507426962e-14,,7.408135095703758e-13,3.464679026768512e-12,2.497750899025584e-13,3.785714495508762e-12,0.0,1.225154539011246e-12,1.8706616871475368e-13,8.356788364163828e-14
2050,,1.157942401384405e-12,3.595768208146408e-12,2.7165706781496945e-13,2.8433495493672683e-13,0.0,3.486274712455087e-14,1.5790955248307417e-13,9.960149276399294e-14,,4.137859288303024e-13,3.441488237704856e-12,3.276380274171777e-13,4.162227326083869e-12,0.0,1.5319759349985418e-12,1.2717067988440414e-13,9.218006289841482e-14
2060,,8.756221392081259e-13,3.5854306641211027e-12,3.220437201935921e-13,2.5598017063520745e-13,0.0,4.0627248948296765e-14,1.3195363933963142e-13,1.1061530868003956e-13,,3.1621059937148033e-13,3.425698533217317e-12,3.606131345628214e-13,3.657419375409506e-12,0.0,1.5120895678883426e-12,1.2467054110080247e-13,1.0002705311584598e-13
2070,,6.501122607238513e-13,3.625344790875254e-12,3.881757536178978e-13,2.440298365956429e-13,0.0,4.7045857799240636e-14,1.0677072149117596e-13,1.2235406930783488e-13,,2.381109098137701e-13,3.4281647568999163e-12,3.6939752283596865e-13,3.0133160459609187e-12,0.0,1.3781190359577686e-12,1.0867908073073006e-13,1.0696610415050284e-13
2080,,4.740123350193846e-13,3.72821741272947e-12,4.763112207388529e-13,2.370120253440387e-13,0.0,5.3691526868637916e-14,8.436578101782782e-14,1.3488837663580514e-13,,1.7645959170515263e-13,3.4367255418311026e-12,3.30648803425715e-13,2.2055354724512943e-12,0.0,1.0953317560526523e-12,8.4148381197862e-14,1.1302380881045376e-13
2090,,3.39034029312948e-13,3.86467790137107e-12,5.660890938777592e-13,2.299270375543504e-13,0.0,6.010258715836933e-14,6.397788398094167e-14,1.4800446999214614e-13,,1.2872110784674834e-13,3.4500204625509885e-12,2.3273751585371216e-13,1.2627916023644374e-12,0.0,6.380119862377547e-13,5.1489094288525834e-14,1.1822042439194167e-13
2100,,2.372861367941629e-13,4.047164777223044e-12,6.542802229954651e-13,2.22811830378892e-13,0.0,6.611770309993896e-14,4.6210952988896964e-14,1.614154537689432e-13,,9.391329048965507e-14,3.4483587483065223e-12,6.179276720943942e-14,2.323120560655389e-13,0.0,1.402032268211639e-14,2.2984691658511108e-14,1.2238542003500216e-13
