Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.9827608496672997e-11,2.0635459582140918e-16,2.2027930710125147e-13,1.1076941047192413e-12,1.190606218730217e-15,,,,0.0,2.9827608496672997e-11,2.0635459582140918e-16,2.2027930710125147e-13,1.1076941047192413e-12,1.190606218730217e-15,,,,0.0
2010,3.11959890961939e-11,1.9826443727518256e-16,2.1820207825073684e-13,1.0833098984978526e-12,1.2479623551870524e-15,,,,0.0,3.1226864767797346e-11,1.9422050895978958e-16,2.1716182363399768e-13,1.0883292380066356e-12,1.220447866848561e-15,,,,0.0
2020,3.367979607558289e-11,1.8178832404862243e-16,2.0974140093982747e-13,1.091377440571415e-12,1.4396657963431465e-15,,,,0.0,3.351347979502713e-11,1.6563492018419468e-16,2.0955840664227966e-13,1.1036765588101729e-12,1.3582356910957374e-15,,,,0.0
2030,3.577221368851012e-11,1.6181088234125742e-16,2.0176062204920505e-13,1.0200155574312571e-12,1.5860165158375182e-15,,,,0.0,3.529616514138388e-11,1.4170960717450676e-16,2.0352279663411528e-13,1.1322034762115584e-12,1.5447559092544101e-15,,,,0.0
2040,3.710972615934408e-11,1.4432952264182167e-16,1.9737940542042865e-13,9.628733290755696e-13,1.6728532066105946e-15,,,,0.0,3.644644482416461e-11,1.204236608176061e-16,1.9983845513351686e-13,1.1669256423776753e-12,1.7276710209111676e-15,,,,0.0
2050,3.750012237513131e-11,1.1775270996671201e-16,1.9201804179089588e-13,8.440875583615225e-13,1.6932487912577305e-15,,,,0.0,3.678904157799311e-11,9.903933634956624e-17,1.9775109048893456e-13,1.1739125830883452e-12,1.822525743546668e-15,,,,0.0
2060,3.722624410506453e-11,9.914929117710847e-17,1.875088116544853e-13,6.956091753562571e-13,1.6462403018196405e-15,,,,0.0,3.6339881013939134e-11,7.779724148180757e-17,1.9552463367808603e-13,1.1883110678518703e-12,1.8622680067052078e-15,,,,0.0
2070,3.6587866965913706e-11,7.787953495880621e-17,1.8461378529540347e-13,6.18829513856794e-13,1.581625842326268e-15,,,,0.0,3.532504696872173e-11,6.075009017365445e-17,1.9415233359057075e-13,1.1969813360982493e-12,1.8540807073273915e-15,,,,0.0
2080,3.573038318782065e-11,6.375542301622731e-17,1.839217816341416e-13,5.932726984054335e-13,1.5151766027657707e-15,,,,0.0,3.386802704292169e-11,4.7072559417851006e-17,1.9344113870682025e-13,1.1754296521725252e-12,1.81690078297621e-15,,,,0.0
2090,3.467272297693377e-11,4.7436885492885175e-17,1.8480375286212587e-13,5.553817215823367e-13,1.4374237307040794e-15,,,,0.0,3.2133143672829164e-11,3.478746210767603e-17,1.9343365471934e-13,1.1710294603943895e-12,1.7525538060570256e-15,,,,0.0
2100,3.352543280339869e-11,3.8789802484110316e-17,1.8731949230715095e-13,5.100455718702531e-13,1.3511342819617296e-15,,,,0.0,3.0191114215082486e-11,2.5871287581732823e-17,1.9314238814097588e-13,1.1508033654742172e-12,1.6823285044078975e-15,,,,0.0
