Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.7691207145368764e-14,2.6427067017687983e-14,2.476519970012792e-13,2.2197524383067082e-14,1.2423667409618513e-13,0.0,,4.0722093968684526e-13,0.0,4.7691207145368764e-14,2.6427067017687983e-14,2.476519970012792e-13,2.2197524383067082e-14,1.2423667409618513e-13,0.0,,4.0722093968684526e-13,0.0
2010,4.9004735306229826e-14,2.6617975703016913e-14,2.4540038718775423e-13,2.1543689562823917e-14,1.210692416660587e-13,0.0,,3.8636313695378607e-13,0.0,4.8447351668144545e-14,2.638700409413686e-14,2.433483012031129e-13,2.159591364974796e-14,1.2166803591013875e-13,0.0,,3.793264079871953e-13,0.0
2020,5.124066856571029e-14,2.935654996248041e-14,2.386197847126789e-13,1.6790096154854347e-14,1.2538561236191781e-13,0.0,,3.6193546821991685e-13,0.0,4.9107303964273314e-14,2.6011332044043166e-14,2.328629085526659e-13,1.782664355217195e-14,1.1165963374176024e-13,0.0,,3.63066541339868e-13,0.0
2030,5.274321754269208e-14,3.046931799072844e-14,2.3423028275297865e-13,1.5786999962157372e-14,1.1567617293859334e-13,0.0,,4.005035112185485e-13,0.0,4.899070715715765e-14,2.5321883879887096e-14,2.246073400392173e-13,1.3347342504028268e-14,9.958960043292087e-14,0.0,,3.18481686537677e-13,0.0
2040,5.310497003796007e-14,2.4801405578801157e-14,2.31587845030805e-13,1.269056867796023e-14,9.011275317877023e-14,0.0,,3.616813910967453e-13,0.0,4.8020141902454e-14,2.186152682325824e-14,2.1838227231556907e-13,1.2028234269578349e-14,7.979166083879425e-14,0.0,,2.9352245175170837e-13,0.0
2050,5.214744166177089e-14,1.703696289850586e-14,2.287268822710797e-13,8.310773373215436e-15,6.156325338045857e-14,0.0,,2.7795482608979955e-13,0.0,4.595685400361717e-14,1.5805399725767734e-14,2.1352544754620567e-13,9.151668048089829e-15,5.142114106550479e-14,0.0,,2.1280574056982896e-13,0.0
2060,5.030741518031337e-14,1.3978902973635678e-14,2.2672652056138195e-13,5.730842777768057e-15,4.714337980097457e-14,0.0,,2.372981426124776e-13,0.0,4.303143638189847e-14,1.4058505340780505e-14,2.0804396639529045e-13,9.43062021487726e-15,4.654236076707544e-14,0.0,,2.277212215834849e-13,0.0
2070,4.812271056049746e-14,1.1455435817427236e-14,2.246758379485415e-13,3.58868691518415e-15,3.727047540753667e-14,0.0,,2.0171415812866912e-13,0.0,3.964724705131072e-14,1.2052424334100895e-14,2.0290475203356812e-13,9.611416409060315e-15,4.237207717742362e-14,0.0,,2.339953182171892e-13,0.0
2080,4.575712690857971e-14,9.429186910046991e-15,2.243566265532189e-13,2.2146613172738404e-15,2.9919574932447444e-14,0.0,,1.7135918152609079e-13,0.0,3.5965623648523354e-14,9.910601215426105e-15,1.9765293379163943e-13,9.422849461200563e-15,3.563629349700219e-14,0.0,,2.3107456736360173e-13,0.0
2090,4.327012375121502e-14,7.801541537810834e-15,2.257977111866875e-13,1.6041709159532939e-15,2.375809888575654e-14,0.0,,1.4331614858660005e-13,0.0,3.2250594984835015e-14,7.752111664383001e-15,1.926290409507534e-13,9.211605110982503e-15,2.8239750024772974e-14,0.0,,2.1771785373299494e-13,0.0
2100,4.073423090718709e-14,6.4342104967498315e-15,2.2805778578250297e-13,1.3000762226063914e-15,1.863825328245932e-14,0.0,,1.1822500798922858e-13,0.0,2.866024643845618e-14,5.7326398037123716e-15,1.8683897393386446e-13,8.462879802816262e-15,2.17076390303448e-14,0.0,,1.959871537398443e-13,0.0
