Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.7134533235853115e-12,3.092293575091806e-14,7.443434515041358e-13,1.9458674522892434e-13,3.002415029887224e-16,0.0,,8.267564728259e-16,9.73579942202805e-14,5.7134533235853115e-12,3.092293575091806e-14,7.443434515041358e-13,1.9458674522892434e-13,3.002415029887224e-16,0.0,,8.267564728259e-16,9.73579942202805e-14
2010,5.9658647098948044e-12,2.989182823713615e-14,7.670063840084091e-13,1.968363002916114e-13,3.1821223290612476e-16,0.0,,9.631114667915145e-16,1.088933346695793e-13,5.934451377665004e-12,2.919846406142228e-14,7.675419413742907e-13,1.968294523002477e-13,3.0763362733136434e-16,0.0,,9.452514848907846e-16,1.088931427642166e-13
2020,6.564782035138838e-12,2.772384052880784e-14,8.105925764026778e-13,2.082814957218529e-13,3.8641281061203605e-16,0.0,,1.3548168253011449e-15,1.332443778472581e-13,6.432520374353115e-12,2.5631435757606773e-14,8.085840746761053e-13,2.0918621840387414e-13,3.4975399401230674e-16,0.0,,1.2814294370274154e-15,1.3221972441383226e-13
2030,6.052412331624652e-12,2.5095797589467026e-14,6.83326192007446e-13,1.293004600364545e-13,4.1639829971335293e-16,0.0,,1.7173869727669267e-15,1.1073315158233942e-13,6.7607378534258215e-12,2.2346763369085588e-14,8.366290839798134e-13,2.247979014645211e-13,4.2521620120330913e-16,0.0,,1.7758167899338393e-15,1.5593848992282895e-13
2040,5.3746581825251486e-12,2.2110192033218355e-14,5.407683034988073e-13,1.019644602456614e-13,4.642577375119447e-16,0.0,,1.963559889445519e-15,9.188529768852287e-14,6.838361027366455e-12,1.936369550875156e-14,8.481958464071835e-13,2.410301054653143e-13,5.11643330037918e-16,0.0,,2.323430736480705e-15,1.7557708481350574e-13
2050,4.330417635347205e-12,1.8820894977963185e-14,3.6488352368691936e-13,6.856865471663863e-14,4.908210063716598e-16,0.0,,2.0651663615998827e-15,6.192153776629192e-14,6.682094631780467e-12,1.6363193298723372e-14,8.398522860505771e-13,2.544392603774177e-13,5.785309894143608e-16,0.0,,2.7108248526398324e-15,1.8733965131252246e-13
2060,3.751735457964224e-12,1.5397620203767898e-14,2.827368575395667e-13,4.593640181969148e-14,4.979290800032096e-16,0.0,,1.9814167150080463e-15,4.61729554800648e-14,6.4651269943287425e-12,1.3789402762938741e-14,8.166448271297865e-13,2.661178329292657e-13,6.306685280123317e-16,0.0,,2.972746950046375e-15,1.912777311601871e-13
2070,3.440116055516436e-12,1.235365395415894e-14,2.4324200667578327e-13,3.8505588819352024e-14,5.012541244824086e-16,0.0,,1.872338085610499e-15,3.9534567698650326e-14,6.1178388895369725e-12,1.1289580381657059e-14,7.818683433184022e-13,2.7736393159584807e-13,6.655895042521096e-16,0.0,,3.046984971465621e-15,1.885741078087896e-13
2080,3.228265463457977e-12,9.801561349712113e-15,2.1831473229561285e-13,3.5993966783334915e-14,4.937646468333402e-16,0.0,,1.7642636452120083e-15,3.584793185246206e-14,5.692452493527656e-12,8.924783623598646e-15,7.399287393372201e-13,2.8601920686317103e-13,6.720066554511787e-16,0.0,,2.951378224783073e-15,1.8009875896942043e-13
2090,3.028839673004364e-12,7.708828319338006e-15,1.9648602250327445e-13,3.346339156768072e-14,4.758671439622307e-16,0.0,,1.635628975580733e-15,3.251023298214246e-14,5.212287014744366e-12,6.28309078406822e-15,6.941034355721079e-13,2.926802016013255e-13,6.4644927212230505e-16,0.0,,2.4668304405884585e-15,1.6749411173888034e-13
2100,2.843897525688886e-12,6.042869458703857e-15,1.7645435492837878e-13,3.090217714582927e-14,4.492328969471918e-16,0.0,,1.503260357856152e-15,2.940866356034178e-14,4.7137823322812346e-12,4.0864548876806755e-15,6.475004100739524e-13,2.969496919100892e-13,6.1056364001945335e-16,0.0,,1.8100903617541006e-15,1.517249450774332e-13
