Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.3042478789655452e-13,3.362629468822305e-11,3.6667877565020216e-14,1.3151798546249166e-13,0.0,,4.8317786869789e-12,0.0,,1.3042478789655452e-13,3.362629468822305e-11,3.6667877565020216e-14,1.3151798546249166e-13,0.0,,4.8317786869789e-12,0.0
2010,,1.2376722185641706e-13,3.3432487469199645e-11,3.363599828213553e-14,1.2382585519131488e-13,0.0,,4.570779016984872e-12,0.0,,1.2152021813059058e-13,3.314276024321194e-11,3.3743809195683844e-14,1.2405771237347781e-13,0.0,,4.483210252379204e-12,0.0
2020,,1.0742712708584957e-13,3.27635496531326e-11,3.698381387896364e-14,1.3482139596141678e-13,0.0,,3.797613585704647e-12,0.0,,8.554759033598724e-14,3.189843614225628e-11,3.000018672927828e-14,1.259956581471325e-13,0.0,,4.1632233830136406e-12,0.0
2030,,8.843597979217859e-14,3.218545560667059e-11,3.6186452773140816e-14,1.4929657856891422e-13,0.0,,4.290294474138828e-12,0.0,,5.669619197141988e-14,3.071796954134545e-11,2.6031505794938915e-14,1.294379994474174e-13,0.0,,3.0841098474167963e-12,0.0
2040,,5.4860347975466015e-14,3.1598122547225704e-11,2.6081266393600584e-14,9.073304040552492e-14,0.0,,3.697387259129708e-12,0.0,,3.296324416362658e-14,2.964814925552205e-11,2.2679580384917046e-14,1.124573090501068e-13,0.0,,2.638927338051942e-12,0.0
2050,,2.9858047724906005e-14,3.068477499434656e-11,1.3392729495045524e-14,2.816363864904859e-14,0.0,,2.5966772860081166e-12,0.0,,1.6030890266917483e-14,2.8549098194159572e-11,1.652648276365945e-14,8.397751425989742e-14,0.0,,1.5039937461949493e-12,0.0
2060,,2.09101847407326e-14,2.973053697934613e-11,1.0805721560878405e-14,2.7183269791838195e-14,0.0,,2.1816251488737325e-12,0.0,,1.0900192307530878e-14,2.7262859248993395e-11,1.6381395207263263e-14,6.692494992022127e-14,0.0,,1.5206137542889317e-12,0.0
2070,,1.463861936473819e-14,2.874489219245791e-11,9.49506708846509e-15,2.6515316827192055e-14,0.0,,1.7887083509085551e-12,0.0,,7.425327729735394e-15,2.597442473329845e-11,1.5614097862838164e-14,5.0915191739283894e-14,0.0,,1.4315068873166404e-12,0.0
2080,,1.0125488538127306e-14,2.7960587421548426e-11,8.94154215519941e-15,2.5866998574726716e-14,0.0,,1.4465090690398445e-12,0.0,,5.020770014158245e-15,2.469336478993678e-11,1.3618675236602942e-14,3.537655514412613e-14,0.0,,1.2664285496219923e-12,0.0
2090,,6.8848801264752535e-15,2.736703955993813e-11,8.170409781602208e-15,2.5166769239951803e-14,0.0,,1.137482924910599e-12,0.0,,3.414558644504824e-15,2.347986512901246e-11,1.0830251411022176e-14,2.1016761117371933e-14,0.0,,9.884824313021322e-13,0.0
2100,,4.588942145240655e-15,2.6988370522173447e-11,7.117451747094491e-15,2.4513511246899687e-14,0.0,,8.759805451154305e-13,0.0,,2.3510608506960946e-15,2.2263398348629127e-11,6.742467134556722e-15,8.518960967730099e-15,0.0,,6.908137973506042e-13,0.0
