Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.326167271227227e-12,7.467927813114534e-14,3.087164772990496e-13,4.4016521503533897e-13,5.4595530317750585e-16,0.0,,1.8033654242396517e-15,2.1735392307336082e-13,5.326167271227227e-12,7.467927813114534e-14,3.087164772990496e-13,4.4016521503533897e-13,5.4595530317750585e-16,0.0,,1.8033654242396517e-15,2.1735392307336082e-13
2010,5.57121455605103e-12,7.257167291782639e-14,3.1541108293062505e-13,4.431050662513461e-13,5.880949806247247e-16,0.0,,2.0503654646920696e-15,2.4173691992636445e-13,5.540947218671476e-12,7.090755629779898e-14,3.1441582792557597e-13,4.4303429360020093e-13,5.674944061729902e-16,0.0,,2.0135359909996803e-15,2.417367864560181e-13
2020,6.169742570588426e-12,6.851300235270027e-14,3.2739625288548305e-13,4.596016006475706e-13,7.657173566327567e-16,0.0,,2.8107976432599344e-15,2.954827256217949e-13,6.043260731585551e-12,6.333004432520373e-14,3.2421271818465087e-13,4.725911683262018e-13,6.905536744693763e-16,0.0,,2.6600637418138127e-15,2.946571447945268e-13
2030,5.717964134085884e-12,6.344131688456563e-14,2.71746142339895e-13,3.0445693803363454e-13,9.40326874188072e-16,0.0,,3.556147412007438e-15,2.528155926564875e-13,6.387737017853857e-12,5.6534856274818285e-14,3.299064964242177e-13,5.140251687617008e-13,9.421365443917283e-16,0.0,,3.648476827507467e-15,3.546457589991816e-13
2040,5.1048328620150555e-12,5.760579313718879e-14,2.1150662056791975e-13,2.483826086760073e-13,1.219866307298369e-15,0.0,,4.1081260207608775e-15,2.1879950702695118e-13,6.497838842072861e-12,5.0716954784106286e-14,3.304120153609694e-13,5.706263723114937e-13,1.3150029013619348e-15,0.0,,4.823974932703835e-15,4.154994946212068e-13
2050,4.1325691918853376e-12,5.078415293253869e-14,1.3952859038301413e-13,1.7373911728147362e-13,1.4998644143820648e-15,0.0,,4.373585505411828e-15,1.5569898164606742e-13,6.379965840408728e-12,4.468741520453523e-14,3.243840273741745e-13,6.316803134530244e-13,1.7168319324608831e-15,0.0,,5.737980907157266e-15,4.682977275928171e-13
2060,3.596522383638029e-12,4.342719653631713e-14,1.0686929755916749e-13,1.259128799421292e-13,1.7499848455486526e-15,0.0,,4.261215204588162e-15,1.2419906230188454e-13,6.198627689061312e-12,3.9524119027433466e-14,3.135845412410021e-13,6.994220532384677e-13,2.1379386956824893e-15,0.0,,6.4298426952944525e-15,5.113237956870115e-13
2070,3.3114278552771693e-12,3.6750025468731977e-14,9.163366586668596e-14,1.1158402909886856e-13,1.9964202438718407e-15,0.0,,4.089346847304958e-15,1.1478189517813866e-13,5.886515826254206e-12,3.4092071966085326e-14,2.990523566669936e-13,7.81608821461761e-13,2.530854801241519e-15,0.0,,6.712832675747115e-15,5.440422158742852e-13
2080,3.118718030421834e-12,3.107457020514821e-14,8.234035922434093e-14,1.1081592393949195e-13,2.1982659888055e-15,0.0,,3.911813299461993e-15,1.1321960809046978e-13,5.493372514541701e-12,2.868471274786123e-14,2.822678933661333e-13,8.684998187768782e-13,2.8302001128058766e-15,0.0,,6.623218286921111e-15,5.650475787752962e-13
2090,2.9348431416719357e-12,2.6253129123550628e-14,7.433604245174623e-14,1.1105604543444902e-13,2.3344560541334718e-15,0.0,,3.6817411831207435e-15,1.122249286762893e-13,5.042578021432357e-12,2.181229541832652e-14,2.643341669643444e-13,9.615937169676652e-13,2.9779085126121766e-15,0.0,,5.687133397519701e-15,5.743746867828511e-13
2100,2.762188837997904e-12,2.2191680706841354e-14,6.70778874794007e-14,1.1140021540627247e-13,2.3964897864891446e-15,0.0,,3.421220883337075e-15,1.1131766399706298e-13,4.571490696865921e-12,1.5237108208187843e-14,2.464201941738132e-13,1.0537725424639647e-12,3.0504545988475165e-15,0.0,,4.251058945421575e-15,5.713822816179736e-13
