Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.8172957008765887e-11,3.4940053653375023e-16,8.024535027495752e-14,2.241881386872049e-12,2.009693765541356e-15,,,,0.0,2.8172957008765887e-11,3.4940053653375023e-16,8.024535027495752e-14,2.241881386872049e-12,2.009693765541356e-15,,,,0.0
2010,2.9470476701409984e-11,3.3596548837331915e-16,7.983501237893747e-14,2.1925580877349106e-12,2.1174567325736907e-15,,,,0.0,2.9499902107844845e-11,3.289630200930193e-16,7.974753925070677e-14,2.2027165157946258e-12,2.070780040917024e-15,,,,0.0
2020,3.1825134925182326e-11,3.090921009135456e-16,7.810958281856145e-14,2.209060761767067e-12,2.4699753788342466e-15,,,,0.0,3.1673724028771994e-11,2.8134763696493355e-16,7.828710672108641e-14,2.2339553838251674e-12,2.331175081908865e-15,,,,0.0
2030,3.379548397252552e-11,2.767222507878916e-16,7.64548925417441e-14,2.065018095826277e-12,2.765724290207069e-15,,,,0.0,3.3368908474581105e-11,2.4164804575052364e-16,7.760346326525122e-14,2.2921375102597357e-12,2.6966390483427683e-15,,,,0.0
2040,3.5033080818478125e-11,2.5072994357582527e-16,7.628409220791585e-14,1.9500396655631563e-12,2.9907977856674327e-15,,,,0.0,3.446657500943392e-11,2.0846912940680238e-16,7.803190307699328e-14,2.3632707982807777e-12,3.0884884338681807e-15,,,,0.0
2050,3.534475222914231e-11,2.1062572149578043e-16,7.586150840761937e-14,1.7104168825551849e-12,3.1337898856574627e-15,,,,0.0,3.4785581950332786e-11,1.7527766763257824e-16,7.908963888792136e-14,2.3787141181740567e-12,3.369691684332964e-15,,,,0.0
2060,3.502157460686109e-11,1.8421700374761994e-16,7.579161165562195e-14,1.4106119199727833e-12,3.180509199192306e-15,,,,0.0,3.435996743888202e-11,1.4164374318800786e-16,8.003391656256629e-14,2.409713139992229e-12,3.588992065945709e-15,,,,0.0
2070,3.4364024937410663e-11,1.508541746512799e-16,7.620096520783778e-14,1.2561504253265733e-12,3.2104868475270307e-15,,,,0.0,3.340242554795328e-11,1.1468946214064121e-16,8.11931315461938e-14,2.4296965871865095e-12,3.754362607110167e-15,,,,0.0
2080,3.352008659870743e-11,1.3086253421555803e-16,7.745095671076781e-14,1.2057529568421146e-12,3.2501314506531985e-15,,,,0.0,3.203702176939937e-11,9.389979383641792e-17,8.24692832370059e-14,2.3888952361926492e-12,3.89097941258844e-15,,,,0.0
2090,3.251001718603704e-11,1.0313072160043359e-16,7.934524294305353e-14,1.1304180223183816e-12,3.2733088891157573e-15,,,,0.0,3.0411434100984266e-11,7.272822307636685e-17,8.386335597880679e-14,2.383518783701499e-12,3.998630806753133e-15,,,,0.0
2100,3.1429520276537034e-11,8.999070286278952e-17,8.196918653307413e-14,1.0400059437965459e-12,3.279003276313779e-15,,,,0.0,2.8589847898380068e-11,5.808512327595978e-17,8.497276149756063e-14,2.3465899413362617e-12,4.09517757237629e-15,,,,0.0
