Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.053399192537673e-13,1.769425974571865e-14,3.5583377855192796e-13,9.147681318404995e-14,8.965182308720314e-14,0.0,,3.9242751024509914e-13,0.0,1.053399192537673e-13,1.769425974571865e-14,3.5583377855192796e-13,9.147681318404995e-14,8.965182308720314e-14,0.0,,3.9242751024509914e-13,0.0
2010,1.0918918735833556e-13,1.7974205455264037e-14,3.501774053769221e-13,9.202556817111825e-14,8.781046618913672e-14,0.0,,4.0064598018839175e-13,0.0,1.0794130635525698e-13,1.7761947980579006e-14,3.4676276677140726e-13,9.168212394430302e-14,8.821742561701515e-14,0.0,,3.939861435820371e-13,0.0
2020,1.1544862960947226e-13,1.9556842599800975e-14,3.355164219186983e-13,9.536341961800598e-14,9.22183911120921e-14,0.0,,3.9426613100106567e-13,0.0,1.1072092642048653e-13,1.7498875842474453e-14,3.2687161432161854e-13,8.669386995547397e-14,8.196937839669701e-14,0.0,,4.1182482241344077e-13,0.0
2030,1.1932092969068025e-13,2.0705899238787742e-14,3.2254113556712524e-13,8.474645418344946e-14,8.66280690747298e-14,0.0,,4.2948364995315523e-13,0.0,1.1103650871250393e-13,1.7067126383238085e-14,3.1070398422635524e-13,7.883493575762697e-14,7.451921381830057e-14,0.0,,4.010529646419601e-13,0.0
2040,1.1968654667878075e-13,1.7532189206730526e-14,3.1407214178375813e-13,6.357298538122713e-14,7.007234057990472e-14,0.0,,4.1858986702029563e-13,0.0,1.0878387962599307e-13,1.5173429297403005e-14,2.9822193753967077e-13,6.887057775243394e-14,6.198539315008244e-14,0.0,,4.3425347972020366e-13,0.0
2050,1.1621222180276335e-13,1.2895038348574943e-14,3.044368173789242e-13,4.073658450830115e-14,5.077038463212436e-14,0.0,,3.568875269362593e-13,0.0,1.0356606498336093e-13,1.1404940991744071e-14,2.88152701038895e-13,5.300914114451278e-14,4.231125097059277e-14,0.0,,4.128524773450632e-13,0.0
2060,1.1057873045025766e-13,1.1705834246504815e-14,2.9644407915887426e-13,2.725917437191136e-14,4.145596047841977e-14,0.0,,3.060549117551552e-13,0.0,9.637716026602272e-14,1.0777132978372254e-14,2.774913400303882e-13,5.3579551695274255e-14,4.059295373184916e-14,0.0,,4.3796725873944643e-13,0.0
2070,1.0419108158956755e-13,1.0534924966516596e-14,2.8943715291686997e-13,1.7262044183007184e-14,3.518074787167369e-14,0.0,,2.6550229943548654e-13,0.0,8.820623913361278e-14,9.803815076028201e-15,2.6776251964794525e-13,5.3183987298214365e-14,3.966030466112885e-14,0.0,,4.519597226004544e-13,0.0
2080,9.77306663644338e-14,9.513011345260875e-15,2.8549734186610537e-13,1.0915533385627166e-14,3.045230642483479e-14,0.0,,2.347019148602495e-13,0.0,7.969375904302957e-14,8.648893562330713e-15,2.582027561429315e-13,4.992103357036336e-14,3.59310847911942e-14,0.0,,4.5427426524387217e-13,0.0
2090,9.143184201923102e-14,8.590250550277395e-15,2.839160185702902e-13,7.670569479261937e-15,2.6125012189386148e-14,0.0,,2.0762169919708626e-13,0.0,7.124402669901813e-14,7.0778787652959025e-15,2.492780445457896e-13,4.479909651683279e-14,3.086596231024584e-14,0.0,,4.4364195071948717e-13,0.0
2100,8.548338567505974e-14,7.74856673427121e-15,2.8445623979708953e-13,5.623212050363586e-15,2.220351160175964e-14,0.0,,1.8663910967391925e-13,0.0,6.303551280937268e-14,5.576435386289301e-15,2.3978950415433994e-13,3.896997517513183e-14,2.555581538458669e-14,0.0,,4.2599543581922215e-13,0.0
