Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.229812540341718e-13,1.099899827422888e-12,5.0212090686241313e-14,3.584438245421362e-13,0.0,1.0770125993736974e-13,1.3666733651720625e-13,1.0882131388719229e-14,,3.229812540341718e-13,1.099899827422888e-12,5.0212090686241313e-14,3.584438245421362e-13,0.0,1.0770125993736974e-13,1.3666733651720625e-13,1.0882131388719229e-14
2010,,3.050436069409592e-13,1.0856030178046451e-12,4.812844340008986e-14,3.726802388286618e-13,0.0,1.1288413871684814e-13,1.3395597819223144e-13,1.1553895983730418e-14,,2.9789126475662073e-13,1.0743429922414364e-12,4.81629830231529e-14,3.724362884031442e-13,0.0,1.1286702114493041e-13,1.3139645072811175e-13,1.1263270561003903e-14
2020,,2.728408160691719e-13,1.0467152311662186e-12,4.619367394338078e-14,3.8849717558892447e-13,0.0,1.2113720250553194e-13,1.3333561636435337e-13,1.3244832844212015e-14,,2.2114903558490282e-13,1.0171784437273412e-12,4.28521562329171e-14,4.033591320211454e-13,0.0,1.2597658700681525e-13,1.3136439281930094e-13,1.2330908203250885e-14
2030,,2.3712083131450315e-13,1.0074359092668124e-12,3.764255835848133e-14,4.22558674503802e-13,0.0,1.4034106609065126e-13,1.5121080767737684e-13,1.474110111908681e-14,,1.559393450560272e-13,9.671899951192328e-13,3.7211791157575035e-14,4.4371339072236404e-13,0.0,1.4554599250296518e-13,1.160330879141857e-13,1.3687085794062864e-14
2040,,1.9103627355020122e-13,9.796572599650601e-13,3.8797464752491153e-14,2.4613268236400985e-13,0.0,8.482903061834891e-14,1.2284598998209905e-13,1.5879907652569724e-14,,9.682451949935803e-14,9.259891673787849e-13,4.3836049574734196e-14,5.016150292241055e-13,0.0,1.7694347335633435e-13,1.0690696956442113e-13,1.488972139247024e-14
2050,,1.4913342515560659e-13,9.448861659538816e-13,3.90199306231968e-14,3.7606642322471686e-14,0.0,8.46545212687244e-15,7.568445165130657e-14,1.6822885034074947e-14,,5.3090370363103865e-14,8.885658841155416e-13,5.151205015008127e-14,5.433525745947616e-13,0.0,2.092295830918225e-13,7.326929739244036e-14,1.5600900406397018e-14
2060,,1.1043011956150797e-13,9.11968174231247e-13,4.294737481218364e-14,3.322944894676043e-14,0.0,9.158891576212817e-15,6.208011955744686e-14,1.76612216640519e-14,,3.984657087133889e-14,8.480510272200931e-13,5.1269446940872014e-14,4.687165241720363e-13,0.0,1.9592605979102e-13,6.72762953201791e-14,1.5974592350450918e-14
2070,,8.003064653908102e-14,8.825736661815654e-13,4.891310722430892e-14,3.0979774977136464e-14,0.0,9.83882914446299e-15,4.9413587655486405e-14,1.8423764863839758e-14,,2.9382975377568656e-14,8.097703971871541e-13,4.8267607090887884e-14,3.7784260488428747e-13,0.0,1.6988229141854403e-13,5.608325518703846e-14,1.609109840722114e-14
2080,,5.679498580888095e-14,8.621791970557393e-13,5.725218848025863e-14,2.9359084185574317e-14,0.0,1.046269665440662e-14,3.8610422745893e-14,1.913689066789632e-14,,2.126110668291175e-14,7.726023759612809e-13,4.038784734806396e-14,2.700035034467382e-13,0.0,1.2916341675682257e-13,4.191433101532791e-14,1.6007482363452202e-14
2090,,3.947688303767511e-14,8.48054230508405e-13,6.545187247230418e-14,2.7759782017012686e-14,0.0,1.0993302802584292e-14,2.9079776631122346e-14,1.982121815925648e-14,,1.512530802386308e-14,7.380236127191741e-13,2.6899895139787703e-14,1.5082854860546741e-13,0.0,7.257223182490168e-14,2.5671490379903544e-14,1.580524037842785e-14
2100,,2.682854689777389e-14,8.413546864740153e-13,7.322695392506494e-14,2.6200977671193566e-14,0.0,1.1455823433073842e-14,2.1310340556916846e-14,2.04761654906292e-14,,1.0756765194973801e-14,7.031929241983559e-13,6.535885928196347e-15,2.7309113136183044e-14,0.0,2.1403935594548638e-15,1.1975004311057646e-14,1.5498374325668524e-14
