Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.4047469784617127e-11,9.14956131692346e-12,2.4509555626370256e-14,2.0478913703714238e-11,0.0,,4.270614070711609e-11,0.0,,1.4047469784617127e-11,9.14956131692346e-12,2.4509555626370256e-14,2.0478913703714238e-11,0.0,,4.270614070711609e-11,0.0
2010,,1.2786594699720766e-11,9.926249058822558e-12,2.1183414790630798e-14,2.1490021567815987e-11,0.0,,4.2265382166339904e-11,0.0,,1.270852346968443e-11,9.817696135228092e-12,2.1241885474979766e-14,2.160222521696565e-11,0.0,,4.159241007162251e-11,0.0
2020,,1.0940522793267961e-11,1.1640254732325775e-11,2.0505969697878074e-14,2.419378239415515e-11,0.0,,4.140881387781903e-11,0.0,,9.230542545590747e-12,1.1212000945726164e-11,2.0575866856685505e-14,2.340276236689753e-11,0.0,,4.042686671534845e-11,0.0
2030,,9.838165004882883e-12,1.4351211191643289e-11,2.1405803290932412e-14,3.345130422660603e-11,0.0,,4.728067937165292e-11,0.0,,7.212529618688679e-12,1.3485441929805829e-11,1.98013602585069e-14,2.769550561110279e-11,0.0,,3.6632769734312725e-11,0.0
2040,,7.859749309724329e-12,1.7876471136712986e-11,1.8384614644995246e-14,2.6004084302533315e-11,0.0,,3.4924754060972057e-11,0.0,,5.4634421986499165e-12,1.6519844520113125e-11,2.254577072453336e-14,3.012914223665675e-11,0.0,,3.063104977996112e-11,0.0
2050,,5.861769403203709e-12,2.1701234559357022e-11,1.2466747808235512e-14,1.4210543332338066e-11,0.0,,1.6716159706442465e-11,0.0,,3.791430711053145e-12,1.9867121836547606e-11,2.35346681379256e-14,3.0938956258053096e-11,0.0,,1.5827610055918484e-11,0.0
2060,,4.711509828114746e-12,2.545784069662993e-11,1.1024283733346385e-14,1.7703397775514773e-11,0.0,,1.3825328035177445e-11,0.0,,3.832862846553375e-12,2.320395958710364e-11,2.571810054144679e-14,3.219861877123975e-11,0.0,,1.4304467332859615e-11,0.0
2070,,4.0374773836726615e-12,2.9270585955032396e-11,1.0993418699781383e-14,2.2348279477002467e-11,0.0,,1.1592754534106574e-11,0.0,,3.931602873125106e-12,2.627185448356162e-11,2.6984968757139477e-14,3.145982085950294e-11,0.0,,1.2957886499909144e-11,0.0
2080,,3.5162549955058968e-12,3.318861158119191e-11,1.234057462744546e-14,2.8170717494835348e-11,0.0,,9.741444630118057e-12,0.0,,3.957301500379097e-12,2.8880273172937614e-11,2.678827754239166e-14,2.7967250043614552e-11,0.0,,1.125562924114698e-11,0.0
2090,,3.104690116106924e-12,3.7156420301664994e-11,1.4532969486581553e-14,3.526429148692501e-11,0.0,,8.090363448620685e-12,0.0,,4.023541482628402e-12,3.0992847177557785e-11,2.5877488425197527e-14,1.9972369244558585e-11,0.0,,1.0155973284575737e-11,0.0
2100,,2.7343210161345777e-12,4.0882561225252794e-11,1.6683020321651458e-14,4.371458056651178e-11,0.0,,6.649104877798351e-12,0.0,,4.1347454973750245e-12,3.270460638415962e-11,2.2800012745849412e-14,8.324931022318793e-12,0.0,,7.490958374434253e-12,0.0
