Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.2648200629211681e-12,1.1062845331786607e-15,1.1567618607780106e-13,0.0,3.5375389141438526e-14,,,,0.0,1.2648200629211681e-12,1.1062845331786607e-15,1.1567618607780106e-13,0.0,3.5375389141438526e-14,,,,0.0
2010,1.288420758971398e-12,1.2356789802671225e-15,1.2561167926118663e-13,0.0,3.9096418431253804e-14,,,,0.0,1.2897849021448191e-12,1.2356789802671225e-15,1.26115101434926e-13,0.0,3.9096418431253804e-14,,,,0.0
2020,1.3238899993633924e-12,1.5478387851758282e-15,1.4854857253131235e-13,0.0,5.0217459585197993e-14,,,,0.0,1.323276124093331e-12,1.5478387851758282e-15,1.4838664693685166e-13,0.0,5.0415946509793994e-14,,,,0.0
2030,1.351446949141022e-12,2.605526285313431e-15,1.8397477009705896e-13,0.0,6.826168048781195e-14,,,,0.0,1.3524700023109792e-12,2.605526285313431e-15,1.838363445846869e-13,0.0,7.322187832187883e-14,,,,0.0
2040,1.3594275444922532e-12,3.579176258622146e-15,2.306665871764507e-13,0.0,9.567006746275667e-14,,,,0.0,1.382141471585607e-12,3.579176258622146e-15,2.327587992137503e-13,0.0,1.1141325221338677e-13,,,,0.0
2050,1.3276415557206267e-12,3.8758347253213895e-15,2.826085448558863e-13,0.0,1.3510560400477325e-13,,,,0.0,1.399603306515007e-12,4.8447934066517364e-15,2.900002286920777e-13,0.0,1.65998670972195e-13,,,,0.0
2060,1.2616823818339953e-12,3.823987415103479e-15,3.36503828274326e-13,0.0,1.8915633490969308e-13,,,,0.0,1.400353574418367e-12,6.3733126408501125e-15,3.5153059933443203e-13,0.0,2.4596004486593376e-13,,,,0.0
2070,1.207659948605777e-12,4.884678070555572e-15,3.9405962217256563e-13,0.0,2.6898952900158984e-13,,,,0.0,1.38950808324656e-12,8.14113011759262e-15,4.15237776888594e-13,0.0,3.530005606398879e-13,,,,0.0
2080,1.1770337308980583e-12,4.052868846462272e-15,4.549429409583805e-13,0.0,3.757260073813245e-13,,,,0.0,1.370818606197255e-12,8.105737692924544e-15,4.782578413159433e-13,0.0,4.876225291605696e-13,,,,0.0
2090,1.1585487343784837e-12,4.934946087843325e-15,5.200579008234063e-13,0.0,5.063877919417313e-13,,,,0.0,1.3447623006465625e-12,9.869892175686651e-15,5.365090966977237e-13,0.0,6.202579682507149e-13,,,,0.0
2100,1.1354255209650166e-12,5.9005860940863285e-15,5.846443663394538e-13,0.0,6.664424871336003e-13,,,,0.0,1.312771722924988e-12,8.850879352887732e-15,5.935788969721467e-13,0.0,8.069264657503681e-13,,,,0.0
