Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.691552252221293e-13,4.7456456082548e-13,3.5726451094383877e-13,0.0,6.253827750796193e-13,0.0,,1.9204564154218233e-12,0.0,8.691552252221293e-13,4.7456456082548e-13,3.5726451094383877e-13,0.0,6.253827750796193e-13,0.0,,1.9204564154218233e-12,0.0
2010,8.681137406152395e-13,6.02330251647798e-13,3.826933073821509e-13,0.0,6.57436236527198e-13,0.0,,1.9611803500629854e-12,0.0,8.582192031689195e-13,6.016119677085262e-13,3.784465958927424e-13,0.0,6.6706471076039e-13,0.0,,1.9373738724404173e-12,0.0
2020,8.675929983117947e-13,1.0688594107022276e-12,4.378018130316019e-13,0.0,7.993901222393127e-13,0.0,,2.0865134706810062e-12,0.0,8.327017460979523e-13,9.291039075251528e-13,4.2204784046935557e-13,0.0,7.324183035235798e-13,0.0,,2.078635874536161e-12,0.0
2030,8.613437654098056e-13,1.7868749015159668e-12,5.250051153364577e-13,0.0,1.057942253766819e-12,0.0,,2.388094496458271e-12,0.0,8.06142804420096e-13,1.51191819480756e-12,4.942966608939559e-13,0.0,9.268964719019725e-13,0.0,,2.268753761247577e-12,0.0
2040,8.472831811157099e-13,2.2542271868597474e-12,6.389769355991115e-13,0.0,1.1282153596775537e-12,0.0,,2.0550002671759767e-12,0.0,7.785422697151324e-13,2.060765186967517e-12,5.906853782142174e-13,0.0,1.0356337098657575e-12,0.0,,2.3441483129604812e-12,0.0
2050,8.186411075937482e-13,2.197204657800045e-12,7.622688287869939e-13,0.0,9.363150445945712e-13,0.0,,1.4279055368660032e-12,0.0,7.405265094705127e-13,2.2459970081684104e-12,6.975936213231282e-13,0.0,8.628856635294058e-13,0.0,,2.1189733995230497e-12,0.0
2060,7.801046050456841e-13,2.276085786859228e-12,8.841441034163067e-13,0.0,9.698380336667367e-13,0.0,,1.2723511480516873e-12,0.0,6.946992894135695e-13,2.7992747009264463e-12,8.044757893697906e-13,0.0,1.1613215814346154e-12,0.0,,2.3492282338194448e-12,0.0
2070,7.431303836180625e-13,2.3308278050693243e-12,1.0071687407686714e-12,0.0,1.0508664251285271e-12,0.0,,1.188804046522995e-12,0.0,6.447059682987422e-13,3.3025973449063435e-12,9.011641801705272e-13,0.0,1.448921928617897e-12,0.0,,2.5532976340864044e-12,0.0
2080,7.082391314042202e-13,2.368846004768832e-12,1.1335934361339506e-12,0.0,1.1632346561679663e-12,0.0,,1.1412982104525018e-12,0.0,5.900256954023686e-13,3.602167175653648e-12,9.8404726207868e-13,0.0,1.7030621704550166e-12,0.0,,2.688974477110806e-12,0.0
2090,6.743894722174848e-13,2.43851488480884e-12,1.2611165367201747e-12,0.0,1.2872179450812429e-12,0.0,,1.099386423911164e-12,0.0,5.343039378991055e-13,3.8701594012868776e-12,1.051051823700022e-12,0.0,1.7682992656947729e-12,0.0,,2.784858281479341e-12,0.0
2100,6.394983284238598e-13,2.4704578660550425e-12,1.3828476124605471e-12,0.0,1.3790523627557618e-12,0.0,,1.0593702564482e-12,0.0,4.822275391502817e-13,3.752042079807617e-12,1.1048703184995956e-12,0.0,2.018247981933064e-12,0.0,,2.759265906038255e-12,0.0
