Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.0138437500766472e-12,4.127830000116171e-14,2.132227894365035e-14,2.3984696033490467e-13,1.5772850210014216e-16,0.0,,1.7008366852276345e-15,1.2350017395568483e-13,3.0138437500766472e-12,4.127830000116171e-14,2.132227894365035e-14,2.3984696033490467e-13,1.5772850210014216e-16,0.0,,1.7008366852276345e-15,1.2350017395568483e-13
2010,3.127066205457676e-12,4.053904602490826e-14,2.1592801787946016e-14,2.563925574389007e-13,1.850550199724061e-16,0.0,,1.9979057761269783e-15,1.4226779513581257e-13,3.1252150471945126e-12,3.970480810351533e-14,2.1572169455169042e-14,2.562605341057917e-13,1.817972862502019e-16,0.0,,1.9621522219773163e-15,1.422673526983691e-13
2020,3.3211327182288804e-12,3.963224467581991e-14,2.1812200985657413e-14,2.683794855969644e-13,2.3986324007411425e-16,0.0,,2.7010391134144613e-15,1.7755235822151904e-13,3.3659024322010614e-12,3.7101380829305165e-14,2.2267190748019112e-14,2.8996556602274946e-13,2.3424081359821423e-16,0.0,,2.6023559764631207e-15,1.810272913977708e-13
2030,3.277651618058503e-12,3.803251255080152e-14,1.8751700806122888e-14,1.9022667193955552e-13,2.7848375141109694e-16,0.0,,3.339338543404322e-15,1.646452781645126e-13,3.6221199613873535e-12,3.541641681779547e-14,2.32451231335799e-14,3.4031067018578276e-13,3.2563078984119967e-16,0.0,,3.6176999044054604e-15,2.304733331799965e-13
2040,3.1649577279431827e-12,3.5774654728733495e-14,1.5468999325068797e-14,1.6882507317975126e-13,3.3719810940620313e-16,0.0,,3.7411233597084604e-15,1.5072989792192434e-13,3.831434166274442e-12,3.3610151207221743e-14,2.4453574644596073e-14,3.969554346345065e-13,4.415812002018608e-16,0.0,,4.659874667619497e-15,2.851490445348067e-13
2050,2.86129179152742e-12,3.215280651242387e-14,1.11847475946787e-14,1.291280814710692e-13,3.8101641096970266e-16,0.0,,3.805105344491378e-15,1.1203486479546882e-13,3.918864524421968e-12,3.099341393992278e-14,2.5575868837468516e-14,4.646091930122438e-13,5.689209757964518e-16,0.0,,5.265414370159999e-15,3.347980176244028e-13
2060,2.682966141142336e-12,2.753638473221377e-14,9.73983078331685e-15,9.937209132074757e-14,4.19288776462962e-16,0.0,,3.579593136103741e-15,9.34859478175685e-14,3.917693422005132e-12,2.854973607860766e-14,2.6594568146459444e-14,5.36851588098746e-13,7.110468609657849e-16,0.0,,5.5060643913244535e-15,3.766748396250314e-13
2070,2.611724038123689e-12,2.3501447422921287e-14,9.633770232433071e-15,9.615557848122533e-14,4.792082292054186e-16,0.0,,3.4065673738004866e-15,8.998125334929113e-14,3.8421187355741275e-12,2.6803680673611905e-14,2.7485657435839226e-14,6.316717134008288e-13,8.715579806156004e-16,0.0,,5.6884956362785385e-15,4.100569806957997e-13
2080,2.5606349016600143e-12,2.00664810957229e-14,1.0034473842234912e-14,1.0391767149231275e-13,5.579263477190506e-16,0.0,,3.2356505633107474e-15,9.155663298002932e-14,3.67890792808859e-12,2.4613333274937862e-14,2.8093118515152138e-14,7.547035968185096e-13,1.0443917895905483e-15,0.0,,5.625760311166852e-15,4.3018974260752177e-13
2090,2.486479082614149e-12,1.7324397613731515e-14,1.0519660881852976e-14,1.1614279322198535e-13,6.500199896068728e-16,0.0,,3.0553328788935446e-15,9.260182507443282e-14,3.4568611994638304e-12,2.3132292368067506e-14,2.842392161762098e-14,9.47942751570566e-13,1.1989290820098611e-15,0.0,,5.6152934395242095e-15,4.3708111873000845e-13
2100,2.409100431247277e-12,1.504610286875734e-14,1.1089443804137458e-14,1.3269218054007972e-13,7.567238030548368e-16,0.0,,2.8893895722271317e-15,9.285764240420366e-14,3.2112812822165647e-12,1.811920329798188e-14,2.8663425910155984e-14,1.1541328761740137e-12,1.4018713350982414e-15,0.0,,4.686425522946549e-15,4.315415659720701e-13
