Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.5348708257686904e-13,1.5503509215217414e-16,7.97766881189218e-15,2.1263680351025363e-16,1.0342134240307852e-15,,,,0.0,4.5348708257686904e-13,1.5503509215217414e-16,7.97766881189218e-15,2.1263680351025363e-16,1.0342134240307852e-15,,,,0.0
2010,4.7777683922758e-13,1.506109049476138e-16,8.23332207111108e-15,2.3224489072531664e-16,1.1318938179951816e-15,,,,0.0,4.786938350727601e-13,1.4966120548619155e-16,8.269573367384562e-15,2.3306489783069167e-16,1.1283843903680046e-15,,,,0.0
2020,5.327503109817952e-13,1.4479851265536034e-16,8.728999486860969e-15,2.724587385466809e-16,1.3687226313965654e-15,,,,0.0,5.302533710262527e-13,1.3554707658312619e-16,8.814737411178151e-15,2.748257500643216e-16,1.369114603319073e-15,,,,0.0
2030,5.906982896679529e-13,1.5292001937793528e-16,9.33372390623755e-15,3.1330913747882497e-16,1.6214401338296096e-15,,,,0.0,5.880600056971606e-13,1.3917713754447884e-16,9.442418803398875e-15,3.4791431298309273e-16,1.7300682045020882e-15,,,,0.0
2040,6.420067571202336e-13,1.4723929255142126e-16,9.954228594428542e-15,3.5475711500476274e-16,1.8675588661433558e-15,,,,0.0,6.44990142296874e-13,1.3030474016479876e-16,1.0162160366653955e-14,4.4327939954514077e-16,2.150727586490379e-15,,,,0.0
2050,6.841469768788301e-13,1.3233308252614303e-16,1.0573969156285006e-14,3.6624049819541374e-16,2.1053475614043557e-15,,,,0.0,6.908751525763633e-13,1.26118060638592e-16,1.0876806525352608e-14,5.664293847252513e-16,2.554014846612711e-15,,,,0.0
2060,7.112550600439657e-13,1.114118548052546e-16,1.1190164688126267e-14,3.519955103531985e-16,2.366099220849877e-15,,,,0.0,7.175889354919454e-13,1.2265806156954422e-16,1.154551385125678e-14,6.993400699098362e-16,3.009831413946755e-15,,,,0.0
2070,7.313085076700019e-13,1.0629817378021641e-16,1.1807842385402901e-14,3.919897237015234e-16,2.7381017754370015e-15,,,,0.0,7.291466993299161e-13,1.2423785992903022e-16,1.2191341630869403e-14,8.415148651559196e-16,3.5236430039716145e-15,,,,0.0
2080,7.469987552125976e-13,8.216663177990949e-17,1.2519897519823672e-14,4.742254215217909e-16,3.2110240804262944e-15,,,,0.0,7.244779814438968e-13,1.0356653303167902e-16,1.281835475820167e-14,1.0052508237648952e-15,4.0949530267443145e-15,,,,0.0
2090,7.557718767735012e-13,7.59462018435305e-17,1.340401841947e-14,5.956735779889685e-16,3.760982809576503e-15,,,,0.0,7.048793005180113e-13,1.0375984017247471e-16,1.3404875642016577e-14,1.2055203629536848e-15,4.586412538867173e-15,,,,0.0
2100,7.612054805116613e-13,7.3742159104885e-17,1.4319800326914587e-14,7.351820539391353e-16,4.428799269253506e-15,,,,0.0,6.755710644343625e-13,7.873734553143592e-17,1.3981720050246576e-14,1.467321659146427e-15,5.325335608782761e-15,,,,0.0
