Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.0843640308502133e-13,4.376214196489034e-15,3.320153810637455e-14,1.3372230210906758e-14,1.3508375586196709e-14,0.0,,6.688247782974799e-13,0.0,1.0843640308502133e-13,4.376214196489034e-15,3.320153810637455e-14,1.3372230210906758e-14,1.3508375586196709e-14,0.0,,6.688247782974799e-13,0.0
2010,1.0992996865851844e-13,5.333078264042169e-15,3.364677765357744e-14,1.4545236030494303e-14,1.3993047370542149e-14,0.0,,7.185379933038569e-13,0.0,1.0867576174189785e-13,5.287567120776304e-15,3.338085431520373e-14,1.4493418310170717e-14,1.4176779658103217e-14,0.0,,7.08028629231754e-13,0.0
2020,1.1235603013562904e-13,8.015454813047439e-15,3.430924661152975e-14,1.6560103521671257e-14,1.5564923449775466e-14,0.0,,7.719194276575896e-13,0.0,1.078935175940612e-13,7.061173934942454e-15,3.343617743052156e-14,1.4893777187464582e-14,1.412615375364278e-14,0.0,,7.757360700192899e-13,0.0
2030,1.1313955735205154e-13,1.180283270310113e-14,3.522731905448858e-14,1.816891667521532e-14,1.6875801072426867e-14,0.0,,8.722890753080019e-13,0.0,1.0594334920502333e-13,1.005164594550667e-14,3.366203805839587e-14,1.5085219869221476e-14,1.5010508776436236e-14,0.0,,8.266673448031619e-13,0.0
2040,1.1162361919183342e-13,1.389555535814545e-14,3.621994220665941e-14,1.4792923572242752e-14,1.4852949428885985e-14,0.0,,7.815946496697455e-13,0.0,1.02828051304635e-13,1.2591119809018812e-14,3.40001561265955e-14,1.471298434366806e-14,1.4029912548768343e-14,0.0,,8.752077466345883e-13,0.0
2050,1.0711738645690074e-13,1.305338674557968e-14,3.71311015645652e-14,9.705092070052973e-15,1.084978281500793e-14,0.0,,5.831001049817284e-13,0.0,9.760519526867857e-14,1.2978141040883673e-14,3.4296762501668626e-14,1.2079036259821044e-14,1.0555983152466334e-14,0.0,,8.035100510325643e-13,0.0
2060,1.0097440064387372e-13,1.29318685365173e-14,3.809835461633605e-14,7.285236238958302e-15,9.852942680954729e-15,0.0,,5.050435214682578e-13,0.0,9.109224326548483e-14,1.520879909937434e-14,3.4361520595466835e-14,1.288067115035914e-14,1.1602364297498979e-14,0.0,,8.549333752451501e-13,0.0
2070,9.481500040169667e-14,1.2668375838848246e-14,3.8970542609436146e-14,5.009746363026315e-15,9.564372997691936e-15,0.0,,4.5193120706342713e-13,0.0,8.39466352140662e-14,1.6932392508415747e-14,3.4313390775582883e-14,1.3668861473086079e-14,1.227656798689266e-14,0.0,,8.943558492681206e-13,0.0
2080,8.91147764861895e-14,1.2313113319717064e-14,4.007239619242376e-14,3.346119127660514e-15,9.760745169963985e-15,0.0,,4.162981802473029e-13,0.0,7.647534158660731e-14,1.7464512021586586e-14,3.420216937627083e-14,1.4418965305894126e-14,1.2797210857130768e-14,0.0,,9.130639331162822e-13,0.0
2090,8.388132407346374e-14,1.2038221405667879e-14,4.1747029289630165e-14,2.602584108269872e-15,1.0155577266194113e-14,0.0,,3.8605551628320455e-13,0.0,6.897748696462998e-14,1.765292953732426e-14,3.400164197900957e-14,1.5333738824665637e-14,1.2352435869243445e-14,0.0,,9.209383757421623e-13,0.0
2100,7.899073855749672e-14,1.1588308612969135e-14,4.335859661625936e-14,2.4193972631194873e-15,1.0474382018244895e-14,0.0,,3.641563966183029e-13,0.0,6.182833941366417e-14,1.6271778100747002e-14,3.362139649224137e-14,1.5683553832775025e-14,1.2816608973789605e-14,0.0,,8.999145743152727e-13,0.0
