Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.4707273631850383e-11,3.544276776829796e-13,6.024926192869732e-13,1.1378282443225933e-11,1.5872069283884293e-15,0.0,,2.1107798049107326e-14,1.328002549197801e-12,5.4707273631850383e-11,3.544276776829796e-13,6.024926192869732e-13,1.1378282443225933e-11,1.5872069283884293e-15,0.0,,2.1107798049107326e-14,1.328002549197801e-12
2010,5.657630046990953e-11,3.652608374490488e-13,6.427083468604369e-13,1.1935351754540793e-11,2.0371720493552896e-15,0.0,,2.4119364739576855e-14,1.6455936613368752e-12,5.655315200263951e-11,3.591428741702073e-13,6.419759168707628e-13,1.192426855668925e-11,1.9634755750849324e-15,0.0,,2.3712782729453805e-14,1.6455936613368752e-12
2020,5.960595318908547e-11,4.02904138623634e-13,7.293597472011828e-13,1.0845842319489358e-11,2.987262595027002e-15,0.0,,3.145393667747242e-14,2.2308320270423918e-12,6.061050328298734e-11,3.83238678886804e-13,7.329486224299283e-13,1.3160310936249125e-11,2.9135486186358607e-15,0.0,,3.0452460989379866e-14,2.3874461138210083e-12
2030,5.869849368471998e-11,4.399331296082006e-13,7.422175572559452e-13,8.758309633094539e-12,4.353901292077277e-15,0.0,,3.8549213424562566e-14,2.5095766734547656e-12,6.485537186660752e-11,4.3055019866804805e-13,8.51216398954437e-13,1.4929693037402106e-11,5.026725563572754e-15,0.0,,4.177815335745397e-14,3.5685905024657973e-12
2040,5.659467815023943e-11,4.727079838673374e-13,7.329628967259593e-13,7.745148649413682e-12,6.36299978480835e-15,0.0,,4.347292367360264e-14,2.7046333426840514e-12,6.826139399761035e-11,4.808710176083609e-13,9.826576060792801e-13,1.7166948497658394e-11,8.804737692903939e-15,0.0,,5.4167939974750616e-14,5.1607477021978626e-12
2050,5.11335938670397e-11,4.744555542097422e-13,6.586502771759634e-13,5.8308792714813396e-12,8.288060218289823e-15,0.0,,4.4442212806686654e-14,2.2863469847525916e-12,6.950410279062323e-11,5.131969452573263e-13,1.0986052543872559e-12,2.0067726528135868e-11,1.4015275795079393e-14,0.0,,6.211396972163487e-14,6.895767131912375e-12
2060,4.787028424451429e-11,4.4670441948621183e-13,6.411246930174539e-13,4.6407360494120955e-12,1.0066810976086925e-14,0.0,,4.2316279448760336e-14,2.113389939241626e-12,6.922576797511023e-11,5.40125602973721e-13,1.1925086315248533e-12,2.3430908007477607e-11,2.083812785023755e-14,0.0,,6.619545685402985e-14,8.621589156884315e-12
2070,4.650873717894553e-11,4.188687492095206e-13,6.623646472573138e-13,4.4755374010004994e-12,1.2482912768928068e-14,0.0,,4.0919876614126897e-14,2.208530659940168e-12,6.771939199877254e-11,5.760657427268866e-13,1.2672888135715051e-12,2.814275035234459e-11,2.9066855569296184e-14,0.0,,7.010383345258072e-14,1.0225082368110961e-11
2080,4.547737424737924e-11,3.9268691473129794e-13,6.980147412452962e-13,4.848848941410973e-12,1.549950024477236e-14,0.0,,3.956147909267571e-14,2.397019249755772e-12,6.468949566494432e-11,5.921564032768907e-13,1.3097694357660267e-12,3.417705229935564e-11,3.861166346969774e-14,0.0,,7.108741175075398e-14,1.146679576688062e-11
2090,4.4029689101015326e-11,3.726132497788066e-13,7.286974991669941e-13,5.483972641075394e-12,1.8977086767092897e-14,0.0,,3.8049660148832744e-14,2.5565606774437453e-12,6.066711831311166e-11,6.299562458979478e-13,1.3265705994009684e-12,4.399432944930074e-11,4.7884771544762634e-14,0.0,,7.393301248992402e-14,1.2313550813912244e-11
2100,4.254891803969128e-11,3.527315344571085e-13,7.595860448564704e-13,6.339459750798986e-12,2.2876935960671118e-14,0.0,,3.6489083084432854e-14,2.6818725018529213e-12,5.6288779351884183e-11,5.318053933730685e-13,1.3283066710049038e-12,5.4012220727729855e-11,5.973148563066998e-14,0.0,,6.282962245711992e-14,1.2762872663480655e-11
