Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,9.46046970920885e-13,1.2666179216580533e-12,1.4153209398110836e-11,1.0063803956850135e-13,0.0,1.4081421742925414e-12,3.5964203044207867e-12,1.7939822246785094e-13,,9.46046970920885e-13,1.2666179216580533e-12,1.4153209398110836e-11,1.0063803956850135e-13,0.0,1.4081421742925414e-12,3.5964203044207867e-12,1.7939822246785094e-13
2010,,8.906915681196534e-13,1.3108028947986636e-12,1.3305940476422097e-11,1.0170617324524652e-13,0.0,1.3789621825363188e-12,3.498209341249288e-12,2.1099055042788394e-13,,8.739854078549619e-13,1.29783065247072e-12,1.33142817406094e-11,1.0141215248512684e-13,0.0,1.3800487736708484e-12,3.440027310627361e-12,2.0561342311304588e-13
2020,,7.954021568374563e-13,1.4077753248845481e-12,1.3890927773120767e-11,1.0968442424160888e-13,0.0,1.30211468591617e-12,3.4819204662385672e-12,2.8881777921644205e-13,,6.832851744726603e-13,1.3582941121066078e-12,1.2078642847817331e-11,1.0757165000033604e-13,0.0,1.2757698072566166e-12,3.3246186755978416e-12,2.68749546426607e-13
2030,,7.112684251099821e-13,1.5438245919747422e-12,1.1812915090558814e-11,1.2377197481213843e-13,0.0,1.3913276879813048e-12,4.014448456197377e-12,4.0031133170208884e-13,,5.382958364766718e-13,1.4547322077110688e-12,1.0760192736825047e-11,1.2479489663874688e-13,0.0,1.147069978684507e-12,3.0127345063135635e-12,3.7513452661690805e-13
2040,,6.126103592661383e-13,1.7058781371608638e-12,1.1392937387150985e-11,1.2720049220276458e-13,0.0,8.837361001720216e-13,2.837721169157703e-12,5.339134689918978e-13,,4.079982383688372e-13,1.5789249273114237e-12,1.0824166959569733e-11,1.5372295698273017e-13,0.0,1.1611497477811587e-12,2.345157401606457e-12,5.071260078537422e-13
2050,,5.0866937646126e-13,1.8728923174243e-12,1.0493564112883695e-11,1.2360080221223465e-13,0.0,1.5245058192027626e-13,1.192044161792337e-12,6.727272707150535e-13,,2.932156898235608e-13,1.7079380766814112e-12,1.0695573950312925e-11,1.8111090008662446e-13,0.0,1.0567017102606057e-12,9.416776089058283e-13,6.293950281589998e-13
2060,,4.219173423334967e-13,2.029363344036029e-12,1.0040720635881176e-11,1.441332172661244e-13,0.0,1.7025593236828586e-13,1.0106671055609698e-12,8.182541945598944e-13,,2.6584972318793073e-13,1.8247061005029407e-12,9.200462613989655e-12,2.085466323441056e-13,0.0,1.0572157435210069e-12,8.735310887329563e-13,7.39846755288503e-13
2070,,3.465320490876016e-13,2.189269083479368e-12,1.0007044716685087e-11,1.7240514571525973e-13,0.0,1.9577260447688007e-13,8.620861167786741e-13,9.69164114041275e-13,,2.4052809347426976e-13,1.928445181320626e-12,7.573708009951068e-12,2.325851416224672e-13,0.0,9.988019934935109e-13,7.859648646199194e-13,8.397625452159575e-13
2080,,2.8022544602228953e-13,2.361073241680905e-12,1.0456453480855998e-11,2.069640292479136e-13,0.0,2.2713682125617498e-13,7.286525351344965e-13,1.1110845576922657e-12,,2.1277455987598973e-13,2.010488918204244e-12,5.6587731326171055e-12,2.570726171618227e-13,0.0,8.400995772055759e-13,6.510956060016124e-13,9.154307470790208e-13
2090,,2.2371243746377445e-13,2.5404603817439204e-12,1.119513751543114e-11,2.4733613966456044e-13,0.0,2.614381330471157e-13,6.046457778907666e-13,1.2449477956469731e-12,,1.872710320149906e-13,2.072036827830256e-12,3.5211909578590297e-12,2.7013484703099423e-13,0.0,5.290592963724806e-13,5.248823994489068e-13,9.783899087726207e-13
2100,,1.7556739792138182e-13,2.7148749914829294e-12,1.2156175748551893e-11,2.9349853896449523e-13,0.0,2.9990406983212586e-13,4.92357662576889e-13,1.3708225031296349e-12,,1.6535563592981866e-13,2.1158501934641954e-12,7.358767563557324e-13,2.933344242109623e-13,0.0,9.030764231659255e-14,3.272046324363588e-13,1.0228100905911624e-12
