Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.0137478985913853e-12,2.69671428277598e-16,4.212018878521232e-14,1.5404383188180209e-18,8.474871763358969e-15,,,,0.0,2.0137478985913853e-12,2.69671428277598e-16,4.212018878521232e-14,1.5404383188180209e-18,8.474871763358969e-15,,,,0.0
2010,2.051323132521009e-12,2.9765544464561116e-16,4.563125670970741e-14,1.9081830928709645e-18,9.249925560955455e-15,,,,0.0,2.0534952045670436e-12,2.9765544464561116e-16,4.58139974370196e-14,1.9327915427803846e-18,9.249869801986583e-15,,,,0.0
2020,2.107794362329752e-12,3.613276695868792e-16,5.370449868543784e-14,2.8629176658809134e-18,1.15396469661601e-14,,,,0.0,2.1068171017292668e-12,3.6119472574906247e-16,5.3708112692679467e-14,2.92892169992315e-18,1.1585175196816513e-14,,,,0.0
2030,2.1516682615524154e-12,5.811698597773622e-16,6.627465193706097e-14,4.527513116153542e-18,1.4969145714638366e-14,,,,0.0,2.1532973816716452e-12,5.809659910474287e-16,6.630966443921777e-14,5.1908523473936815e-18,1.605663353599325e-14,,,,0.0
2040,2.164374499730435e-12,7.610233179827125e-16,8.299883597866803e-14,7.277508937601645e-18,1.9781952200653443e-14,,,,0.0,2.2005377678776685e-12,7.607433614931743e-16,8.380363202328954e-14,9.741053341876687e-18,2.3036879943332573e-14,,,,0.0
2050,2.113767494371644e-12,7.886000002398813e-16,1.0191774672884703e-13,1.0111942851792882e-17,2.629385218153696e-14,,,,0.0,2.228339206277767e-12,9.850977042606614e-16,1.0454966918659906e-13,1.732084564997087e-17,3.230579866120298e-14,,,,0.0
2060,2.0087522914887958e-12,7.483199534567367e-16,1.2176007556705248e-13,1.277888154671364e-17,3.497857592196124e-14,,,,0.0,2.229533753384501e-12,1.2461200226449824e-15,1.2704564582894612e-13,2.712258789414577e-17,4.548182680342797e-14,,,,0.0
2070,1.922742124246416e-12,9.235169569387927e-16,1.4305790348630627e-13,1.7143523335953412e-17,4.783104715871162e-14,,,,0.0,2.2122666132857952e-12,1.5382535223687752e-15,1.505434335392577e-13,3.9218468457331135e-17,6.276863123182218e-14,,,,0.0
2080,1.873981129004879e-12,7.436819559847118e-16,1.6566909880981009e-13,2.484533779870748e-17,6.484149774650078e-14,,,,0.0,2.1825105215153176e-12,1.4862212403226365e-15,1.7394189593968774e-13,5.38903819211183e-17,8.415082453612434e-14,,,,0.0
2090,1.844550966993773e-12,8.815300016282631e-16,1.899069856396773e-13,3.7814479079335326e-17,8.541753613945856e-14,,,,0.0,2.141025716506122e-12,1.762128492889999e-15,1.9571127126323992e-13,7.170701813931336e-17,1.0462417969018627e-13,,,,0.0
2100,1.8077359714972042e-12,1.0292541610255032e-15,2.1396366821159673e-13,5.5430384622992015e-17,1.1046367193972324e-13,,,,0.0,2.0900926492185497e-12,1.5432253637597447e-15,2.170295689195103e-13,9.774156801176963e-17,1.3374760954838682e-13,,,,0.0
