Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,3.086716693996784e-13,7.713702970715586e-13,5.1150564708368966e-11,1.4991708097712727e-13,0.0,3.048236405700984e-12,4.540260119969809e-12,4.720743080765782e-13,,3.086716693996784e-13,7.713702970715586e-13,5.1150564708368966e-11,1.4991708097712727e-13,0.0,3.048236405700984e-12,4.540260119969809e-12,4.720743080765782e-13
2010,,2.888772832750426e-13,7.990995779313409e-13,4.796000522369844e-11,1.47358681230547e-13,0.0,2.9534631493459962e-12,4.41491121021609e-12,5.154177697284597e-13,,2.8650475545338706e-13,7.91164544070502e-13,4.798808857944514e-11,1.482314340891124e-13,0.0,2.9561118242761728e-12,4.343521921973e-12,5.022581835257669e-13
2020,,2.70767100609364e-13,8.553499039658364e-13,4.9762094751148146e-11,1.5289812718623042e-13,0.0,2.724975911861524e-12,4.35617623844265e-12,6.269940706977494e-13,,2.302663420562961e-13,8.276335617954384e-13,4.323082243062297e-11,1.5497012612178708e-13,0.0,2.651038397438103e-12,4.1692269241566965e-12,5.837162415912145e-13
2030,,2.678109405084726e-13,9.458538797637867e-13,4.186191911076846e-11,1.6983410639953326e-13,0.0,2.8622643102778084e-12,4.9843537818420265e-12,7.690846010726155e-13,,2.054926474039241e-13,8.943467659571793e-13,3.804228444373178e-11,1.7637235309101388e-13,0.0,2.266595432646104e-12,3.69170692345034e-12,7.207508051818823e-13
2040,,2.2826882753825917e-13,1.0638394231263637e-12,3.975384210068221e-11,1.6884864433948618e-13,0.0,1.7626304203456683e-12,3.44363551876231e-12,9.272042893983149e-13,,1.9542674704897005e-13,9.864632780918364e-13,3.7526161515431826e-11,2.1598009860657408e-13,0.0,2.3758085446058338e-12,2.844109242185649e-12,8.795012893965102e-13
2050,,1.7230546563486276e-13,1.191478272212641e-12,3.573424485860375e-11,1.5819888562604626e-13,0.0,2.723961929034553e-13,1.3361009597503754e-12,1.0846346794814695e-12,,1.7693520346996118e-13,1.0889878528309697e-12,3.602097289340259e-11,2.541574928795063e-13,0.0,2.289146037861072e-12,1.1326774244238926e-12,1.0127389041555294e-12
2060,,1.484350967119411e-13,1.3157664876881963e-12,3.2982240720245985e-11,1.8949381885401404e-13,0.0,2.9813682850808566e-13,1.1130991700622587e-12,1.254762375873198e-12,,1.9471339745236768e-13,1.1885121124526148e-12,2.9821694542925865e-11,2.973192563772323e-13,0.0,2.2017574341281487e-12,1.0292943746003672e-12,1.1321237041685031e-12
2070,,1.3289227870464086e-13,1.4391520556720515e-12,3.1440581132732124e-11,2.326385046730092e-13,0.0,3.382755298376312e-13,9.416694658790577e-13,1.4390101474658969e-12,,2.1132538770970622e-13,1.2782835219177129e-12,2.3411973557257146e-11,3.364394880762305e-13,0.0,2.0015782403834642e-12,9.173159308174587e-13,1.2449238242901885e-12
2080,,1.1997397123383482e-13,1.5676900045448754e-12,3.1137725647680837e-11,2.848443772692379e-13,0.0,3.875981963678731e-13,8.003235362094289e-13,1.617249080407773e-12,,2.1896126655065805e-13,1.3510098080638914e-12,1.6490483720954993e-11,3.683804514564347e-13,0.0,1.6183869894451675e-12,7.568691565993542e-13,1.3313685993264876e-12
2090,,1.1107694407816996e-13,1.7001480980498877e-12,3.1318388706685505e-11,3.4546638037030995e-13,0.0,4.3932759824936683e-13,6.747357476420157e-13,1.7924706553348536e-12,,2.2378139789568126e-13,1.4068796253299214e-12,9.52987285298111e-12,3.778715018414799e-13,0.0,9.724119309828667e-13,6.157620361805737e-13,1.4091345745508644e-12
2100,,1.0271886376844257e-13,1.8213342279640308e-12,3.1705616689586144e-11,4.130571198362896e-13,0.0,4.948339148628168e-13,5.653836491156684e-13,1.965945507194996e-12,,2.269153084592088e-13,1.4455288817790308e-12,1.6524132382645442e-12,4.0825015325990096e-13,0.0,1.3837175279158333e-13,3.758082330431155e-13,1.4686720233175425e-12
