Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.0788949265752397e-12,5.491167285186268e-12,4.3916535496563663e-13,4.515261901745631e-12,0.0,,4.4264107530848784e-11,0.0,,2.0788949265752397e-12,5.491167285186268e-12,4.3916535496563663e-13,4.515261901745631e-12,0.0,,4.4264107530848784e-11,0.0
2010,,1.9612001416808247e-12,5.768971579906027e-12,3.808237658301214e-13,4.6820914149126365e-12,0.0,,4.390627928569991e-11,0.0,,1.9387748982004704e-12,5.708902206188437e-12,3.8197917051618896e-13,4.705655478071281e-12,0.0,,4.319014169875813e-11,0.0
2020,,1.7650270975417555e-12,6.385048634597357e-12,3.6964880861632393e-13,5.125809709343108e-12,0.0,,4.346528524307001e-11,0.0,,1.4948982708272818e-12,6.1516953147650534e-12,3.693812669456881e-13,4.9550166158703855e-12,0.0,,4.228993586295791e-11,0.0
2030,,1.6268245168490989e-12,7.288662098112944e-12,3.803621453996882e-13,6.724175088788626e-12,0.0,,5.010808266630971e-11,0.0,,1.197892164249804e-12,6.854003896425852e-12,3.561631208814584e-13,5.567020750109637e-12,0.0,,3.8983873368482755e-11,0.0
2040,,1.2816149656687386e-12,8.402596800168153e-12,3.269746636746725e-13,4.8321292253712125e-12,0.0,,3.709310636423879e-11,0.0,,8.642434936892681e-13,7.768200224492459e-12,3.9878685370755024e-13,5.5849588421987964e-12,0.0,,3.2572136906852926e-11,0.0
2050,,9.314481004678172e-13,9.583565422725352e-12,2.2492776790948277e-13,2.3877082970735093e-12,0.0,,1.7654251797823275e-11,0.0,,5.590100667716349e-13,8.747706263060687e-12,4.090093688819693e-13,5.148393916574717e-12,0.0,,1.643223604324276e-11,0.0
2060,,7.455762648681227e-13,1.0711352680246909e-11,1.9903988495263325e-13,2.651217629273168e-12,0.0,,1.4752344127433652e-11,0.0,,5.302245385176785e-13,9.681982488468126e-12,4.4836645970066275e-13,4.7805189941310244e-12,0.0,,1.5015584735196668e-11,0.0
2070,,6.168040615299002e-13,1.1855966545215926e-11,1.992934962680833e-13,3.003227296479357e-12,0.0,,1.2478597280064745e-11,0.0,,5.088473834210819e-13,1.0521239603450585e-11,4.746332746022571e-13,4.198953474483581e-12,0.0,,1.3665328128335354e-11,0.0
2080,,5.113842850862529e-13,1.3049161078292785e-11,2.254933403300293e-13,3.436318149222213e-12,0.0,,1.0553054221730491e-11,0.0,,4.810528028109323e-13,1.121075118259648e-11,4.783953641478702e-13,3.3965351575064795e-12,0.0,,1.1867379133262244e-11,0.0
2090,,4.2500827667818986e-13,1.4270741154443945e-11,2.682652868785612e-13,3.9584985121448985e-12,0.0,,8.805678408663198e-12,0.0,,4.599993576284288e-13,1.1741893652669839e-11,4.713506521119284e-13,2.239258652240879e-12,0.0,,1.0639452282153651e-11,0.0
2100,,3.5069506221566715e-13,1.5418720172686846e-11,3.1216280612611164e-13,4.578316681997997e-12,0.0,,7.255709501232799e-12,0.0,,4.462996155301036e-13,1.2147174680262909e-11,4.267236027916626e-13,8.751270962101686e-13,0.0,,7.905498646282485e-12,0.0
