Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.574741259211873e-13,3.8543521278673737e-13,2.1970468636729534e-13,7.079218314247895e-13,4.046497985173273e-13,0.0,,1.2929559569461382e-12,0.0,4.574741259211873e-13,3.8543521278673737e-13,2.1970468636729534e-13,7.079218314247895e-13,4.046497985173273e-13,0.0,,1.2929559569461382e-12,0.0
2010,4.579470220542141e-13,4.032089529683944e-13,2.28792600395514e-13,6.78693212741166e-13,3.984113123586903e-13,0.0,,1.3275821940089523e-12,0.0,4.527390667750636e-13,4.0266611593885887e-13,2.265067342442681e-13,6.810417129233702e-13,4.040819131321463e-13,0.0,,1.3082775603597463e-12,0.0
2020,4.594527620313622e-13,5.152382098413366e-13,2.4860966084604857e-13,4.949081969156934e-13,4.2027392719166994e-13,0.0,,1.4107282261558136e-12,0.0,4.4101160013416746e-13,4.4792626047678913e-13,2.398968807695099e-13,5.432554658649477e-13,3.8505883035982846e-13,0.0,,1.373529446745504e-12,0.0
2030,4.576248365940852e-13,6.13013112493732e-13,2.7767758105494285e-13,4.697080266823126e-13,4.4783379445878174e-13,0.0,,1.6207174491356111e-12,0.0,4.283260141770626e-13,5.188450679195388e-13,2.617707187377053e-13,3.872525196136463e-13,3.9320125438441716e-13,0.0,,1.4297908395964323e-12,0.0
2040,4.5103966857714306e-13,5.807646556427013e-13,3.135061654724325e-13,3.8707471045735854e-13,3.6863341714171877e-13,0.0,,1.355485694226442e-12,0.0,4.145813269704959e-13,5.308332687556122e-13,2.901847007635345e-13,3.545363708000165e-13,3.393830092798895e-13,0.0,,1.3939490344833607e-12,0.0
2050,4.3624773406486683e-13,4.5331289227396553e-13,3.5126720555847113e-13,2.621141939859486e-13,2.362483104768172e-13,0.0,,8.938821904891371e-13,0.0,3.94907039518772e-13,4.62849560866837e-13,3.2071257476328657e-13,2.756530273400329e-13,2.1892896271110985e-13,0.0,,1.128825568372995e-12,0.0
2060,4.15924186926725e-13,3.958143261803969e-13,3.874583208987508e-13,1.91685025386138e-13,1.9472606134874792e-13,0.0,,7.785068885842369e-13,0.0,3.7076171257723007e-13,4.854790811783325e-13,3.4971423379213645e-13,2.9639548391393395e-13,2.3211380734133874e-13,0.0,,1.2198469296965228e-12,0.0
2070,3.961784078408398e-13,3.546469462797655e-13,4.2380451000430724e-13,1.2630543969722807e-13,1.7602386299395229e-13,0.0,,7.034558121195763e-13,0.0,3.4421573861444865e-13,5.001891157155913e-13,3.7495180571500697e-13,3.18455042428815e-13,2.3899863569691127e-13,0.0,,1.2979171609526752e-12,0.0
2080,3.775331793820167e-13,3.237229770863321e-13,4.616531273421937e-13,8.16594792627052e-14,1.6921870049982946e-13,0.0,,6.516519226586148e-13,0.0,3.1516645354107647e-13,4.889958387705401e-13,3.9572249097092626e-13,3.361289571595364e-13,2.4187386100727576e-13,0.0,,1.3409748900520302e-12,0.0
2090,3.594621443937417e-13,3.0469621459755014e-13,5.005085151046833e-13,6.378019035682607e-14,1.6789711718986996e-13,0.0,,6.059077377035091e-13,0.0,2.854836789947044e-13,4.794510748014473e-13,4.114320942019941e-13,3.654795847276369e-13,2.2427756201025991e-13,0.0,,1.3715049718816608e-12,0.0
2100,3.4102442565980995e-13,2.861220046664858e-13,5.375645740835606e-13,5.882014283260584e-14,1.6561786138641513e-13,0.0,,5.661972889694971e-13,0.0,2.575599403366619e-13,4.305291918426203e-13,4.229839858001701e-13,3.708248459982801e-13,2.328080384196869e-13,0.0,,1.3322114875904199e-12,0.0
