Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.589278087613566e-13,2.9657157405219427e-13,2.2043396464011101e-13,1.9341921022459277e-12,4.1061108426233085e-13,0.0,,2.4788062696836447e-12,0.0,3.589278087613566e-13,2.9657157405219427e-13,2.2043396464011101e-13,1.9341921022459277e-12,4.1061108426233085e-13,0.0,,2.4788062696836447e-12,0.0
2010,3.599992005768385e-13,3.0644349708938105e-13,2.205942098696235e-13,1.8395237420920754e-12,4.0981496848426897e-13,0.0,,2.4330664489003306e-12,0.0,3.5587002202022784e-13,3.0598905415693654e-13,2.184497734425758e-13,1.845516818687564e-12,4.1501633675791917e-13,0.0,,2.3931593644947104e-12,0.0
2020,3.6270636657630955e-13,3.748717816505919e-13,2.1922556172857166e-13,1.3969041909207433e-12,4.440730998376588e-13,0.0,,2.497030645224897e-12,0.0,3.4795179894247693e-13,3.253166235900439e-13,2.1269131790037477e-13,1.4949968405979115e-12,4.008814726672637e-13,0.0,,2.3795565867571297e-12,0.0
2030,3.6288543848305354e-13,4.1784425185979453e-13,2.184110372217133e-13,1.361703053912043e-12,4.861627489661917e-13,0.0,,2.8550340280386453e-12,0.0,3.3912100445454637e-13,3.468960611956516e-13,2.076260678329436e-13,1.1051489786429341e-12,4.1141179747317794e-13,0.0,,2.2343158580425496e-12,0.0
2040,3.597341452784201e-13,3.5782157524452016e-13,2.1753680308161747e-13,1.1261931382892358e-12,4.092960665045528e-13,0.0,,2.3041489622820967e-12,0.0,3.295595601116008e-13,3.2215898516826094e-13,2.0289736124397286e-13,1.0232844308001803e-12,3.6297639926063566e-13,0.0,,1.9799345067104767e-12,0.0
2050,3.502137358727296e-13,2.5075325495372314e-13,2.1581031508957584e-13,7.561947113814391e-13,2.7501257792458963e-13,0.0,,1.4185948028100625e-12,0.0,3.152274813525909e-13,2.517260109385436e-13,1.977550756809076e-13,7.836686657424984e-13,2.388429024107313e-13,0.0,,1.3221283524981905e-12,0.0
2060,3.361585099565989e-13,2.0243978369826576e-13,2.1353848038047598e-13,5.387756557725564e-13,2.297644924727157e-13,0.0,,1.2118131427970803e-12,0.0,2.9704921312278166e-13,2.415235856775477e-13,1.9144652400761399e-13,8.16180190585998e-13,2.4961658719175577e-13,0.0,,1.4195460534481362e-12,0.0
2070,3.2215081617612207e-13,1.6819704044634667e-13,2.1128959483998905e-13,3.377243727660053e-13,2.0177064825382113e-13,0.0,,1.0636115153876683e-12,0.0,2.766821299411897e-13,2.2821682941788834e-13,1.8486165142581305e-13,8.313233742737615e-13,2.4495338452114416e-13,0.0,,1.506283120136815e-12,0.0
2080,3.085016081669438e-13,1.4298932598465494e-13,2.1018782577234475e-13,2.045599221231147e-13,1.8194374442681832e-13,0.0,,9.505621630153737e-13,0.0,2.5403635389663245e-13,2.0608307820152577e-13,1.7836697971534878e-13,8.16012555268248e-13,2.2744157306626437e-13,0.0,,1.5519316001894247e-12,0.0
2090,2.948470428187348e-13,1.2452066908196914e-13,2.1103286051495853e-13,1.450094132534602e-13,1.6342689996934188e-13,0.0,,8.485192167117767e-13,0.0,2.3047527077941194e-13,1.822168737290948e-13,1.716663544147073e-13,7.829631687842082e-13,2.0880312461185745e-13,0.0,,1.5676552762580996e-12,0.0
2100,2.804621125803528e-13,1.0853999272107792e-13,2.1104617787191033e-13,1.2014562285963813e-13,1.4286645864359124e-13,0.0,,7.56746403315647e-13,0.0,2.0790882894688128e-13,1.488607510890725e-13,1.6464434576520228e-13,7.039295756683116e-13,1.9622804408064454e-13,0.0,,1.481045569856161e-12,0.0
