Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,6.92515829873407e-13,2.0441227500126172e-16,1.2675919801595585e-14,1.0047970779887834e-15,9.258915464008214e-15,,,,0.0,6.92515829873407e-13,2.0441227500126172e-16,1.2675919801595585e-14,1.0047970779887834e-15,9.258915464008214e-15,,,,0.0
2010,7.072018251784411e-13,2.0416890140515883e-16,1.279978314348822e-14,1.1889347191652449e-15,9.912821095537045e-15,,,,0.0,7.079200381498179e-13,2.0416890140515883e-16,1.2848149413042662e-14,1.1898586849813257e-15,9.912821095537045e-15,,,,0.0
2020,7.303406053517758e-13,2.1040029753223167e-16,1.310679855592692e-14,1.4772522724695435e-15,1.1734063692080908e-14,,,,0.0,7.297176710884493e-13,2.1040029753223167e-16,1.3149948738405416e-14,1.5023888454869654e-15,1.1749690673580153e-14,,,,0.0
2030,7.491233671985609e-13,2.6000859834626593e-16,1.3517607121426045e-14,1.806560434994736e-15,1.373947638138736e-14,,,,0.0,7.489002330715314e-13,2.6000859834626593e-16,1.3583316369794532e-14,2.050487623237373e-15,1.469665559787678e-14,,,,0.0
2040,7.573080751530154e-13,2.6063666953607765e-16,1.3829881180397908e-14,2.0655945281694807e-15,1.5641540238366686e-14,,,,0.0,7.68066779079675e-13,2.6729251644986165e-16,1.406529200845506e-14,2.914698897405629e-15,1.8252140748530948e-14,,,,0.0
2050,7.43803394189934e-13,2.1195068535915732e-16,1.4133981270017563e-14,2.133686893344578e-15,1.7181486102465294e-14,,,,0.0,7.799139700649721e-13,2.6833008941703894e-16,1.449830299159274e-14,4.088187831960713e-15,2.143495486329402e-14,,,,0.0
2060,7.113837378726696e-13,1.6302253787069855e-16,1.4360384814550282e-14,1.9858085265307093e-15,1.8255722552449947e-14,,,,0.0,7.818042364404122e-13,2.6940474231131244e-16,1.4744807367766873e-14,5.169052491811622e-15,2.4319847670435528e-14,,,,0.0
2070,6.845433063488304e-13,1.6354552710068687e-16,1.4508648344451927e-14,2.058383892131273e-15,1.9700040720948898e-14,,,,0.0,7.765928343095122e-13,2.702465417753126e-16,1.503589192418183e-14,6.015046403117404e-15,2.6660691019383097e-14,,,,0.0
2080,6.693879993972237e-13,1.1390664997661163e-16,1.4809994837189938e-14,2.4200858663177422e-15,2.108602008787941e-14,,,,0.0,7.663360732164593e-13,2.2077022847795835e-16,1.527782371227307e-14,6.48378009226087e-15,2.8213162982928462e-14,,,,0.0
2090,6.599966457118839e-13,1.1393868926799432e-16,1.5233381424673608e-14,2.891974913618935e-15,2.207244786574347e-14,,,,0.0,7.512567604316509e-13,2.2081423761668203e-16,1.544517260516703e-14,8.205003708409908e-15,2.9598798469444684e-14,,,,0.0
2100,6.477095601768393e-13,1.1381578553546322e-16,1.561833511991621e-14,3.31318628724448e-15,2.2791568204747985e-14,,,,0.0,7.320646106540482e-13,1.7072368495310998e-16,1.5576325530891005e-14,9.859176602099123e-15,3.1031012728312444e-14,,,,0.0
