Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.0436158219506994e-12,3.528367233249887e-12,2.418047897758107e-12,7.780736400679957e-12,0.0,,1.2035194199694167e-11,0.0,,1.0436158219506994e-12,3.528367233249887e-12,2.418047897758107e-12,7.780736400679957e-12,0.0,,1.2035194199694167e-11,0.0
2010,,9.47668916249505e-13,3.547982088729828e-12,2.0743852258221146e-12,8.045639537405079e-12,0.0,,1.1910982604621087e-11,0.0,,9.418828104579165e-13,3.509884177567135e-12,2.080111112803004e-12,8.087647552061213e-12,0.0,,1.1721329835278125e-11,0.0
2020,,7.999711023174177e-13,3.5732237741893454e-12,1.9865652115069193e-12,8.790598402318648e-12,0.0,,1.1669589519281033e-11,0.0,,6.74937285095314e-13,3.4461620836131182e-12,1.9933367873472214e-12,8.503187945675227e-12,0.0,,1.139286309580109e-11,0.0
2030,,6.993067295239555e-13,3.6059965378833936e-12,2.0491266712495028e-12,1.1549558325815872e-11,0.0,,1.332436320681138e-11,0.0,,5.126739237299542e-13,3.396404084557171e-12,1.895537123416505e-12,9.562282650034182e-12,0.0,,1.0323632800606722e-11,0.0
2040,,5.367100070224914e-13,3.6293422134920234e-12,1.7307841457641662e-12,8.249096733529142e-12,0.0,,9.842289527553672e-12,0.0,,3.7307607925628144e-13,3.360124899169093e-12,2.122528301527931e-12,9.55766129765606e-12,0.0,,8.632262552979137e-12,0.0
2050,,3.8270378228842276e-13,3.6163573117633773e-12,1.1415956519323204e-12,3.964737058486681e-12,0.0,,4.710850476884869e-12,0.0,,2.475352814361174e-13,3.3072437603608347e-12,2.155098635864841e-12,8.631958124333517e-12,0.0,,4.4604437928827e-12,0.0
2060,,2.9406470878291e-13,3.5701375111028683e-12,9.712153539192122e-13,4.2163967645173496e-12,0.0,,3.896173136769442e-12,0.0,,2.392247668117915e-13,3.2326332423614232e-12,2.2657084296664396e-12,7.668706659091213e-12,0.0,,4.0312017563859816e-12,0.0
2070,,2.4099663666326103e-13,3.5312824513756778e-12,9.221183887136153e-13,4.482363047672411e-12,0.0,,3.267002098767729e-12,0.0,,2.346770206509827e-13,3.140042995937419e-12,2.263476018316041e-12,6.3098525226933754e-12,0.0,,3.651715757420431e-12,0.0
2080,,2.0070211197737574e-13,3.5117625336950167e-12,9.758197391079998e-13,4.7193909557704135e-12,0.0,,2.745276718947435e-12,0.0,,2.2587632098451222e-13,3.0272129522390467e-12,2.1182588466950698e-12,4.685304362779731e-12,0.0,,3.1719954499691043e-12,0.0
2090,,1.6936070969277945e-13,3.5059050284014906e-12,1.0741176303324529e-12,4.921067087395607e-12,0.0,,2.27997871858243e-12,0.0,,2.194840059601312e-13,2.8970524448177634e-12,1.912580223759368e-12,2.7871076079160717e-12,0.0,,2.862097092502688e-12,0.0
2100,,1.4240923664103265e-13,3.4766445709758045e-12,1.1441452418394012e-12,5.087960677038712e-12,0.0,,1.8738120595798647e-12,0.0,,2.153463165542656e-13,2.7553354180115295e-12,1.5636573308248997e-12,9.68942633234615e-13,0.0,,2.1110580892332348e-12,0.0
