Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.012592225864892e-13,9.079562978108948e-16,4.42094124608566e-14,0.0,3.3958903857367445e-14,,,,0.0,5.012592225864892e-13,9.079562978108948e-16,4.42094124608566e-14,0.0,3.3958903857367445e-14,,,,0.0
2010,5.106124102258809e-13,9.087908078399468e-16,4.490204218455364e-14,0.0,3.5885856761636237e-14,,,,0.0,5.111530554929522e-13,9.087908078399468e-16,4.5082094834806655e-14,0.0,3.5885856761636237e-14,,,,0.0
2020,5.246691871697326e-13,9.123969293943857e-16,4.6317754304133766e-14,0.0,4.185141755139716e-14,,,,0.0,5.244259090590804e-13,9.123969293943857e-16,4.6326164341621535e-14,0.0,4.2016838452755636e-14,,,,0.0
2030,5.355902215645713e-13,1.1501647644823067e-15,4.7725874709844634e-14,0.0,4.8705766672469016e-14,,,,0.0,5.359957668125239e-13,1.1501647644823067e-15,4.779931235862182e-14,0.0,5.2244942765415473e-14,,,,0.0
2040,5.38752984117408e-13,1.165380948152163e-15,4.8955781394782325e-14,0.0,5.5077782980275195e-14,,,,0.0,5.477547645927333e-13,1.165380948152163e-15,4.948295650341376e-14,0.0,6.414121050152953e-14,,,,0.0
2050,5.261559739137083e-13,9.48578824685892e-16,4.959540091134068e-14,0.0,5.985131903238299e-14,,,,0.0,5.546749749731254e-13,1.1857235308573652e-15,5.083227100924201e-14,0.0,7.353683450355095e-14,,,,0.0
2060,5.000158120294045e-13,7.260279394884438e-16,4.9823848055738e-14,0.0,6.39250566007049e-14,,,,0.0,5.549723421295444e-13,1.210046629665791e-15,5.1744318733590377e-14,0.0,8.312177016575635e-14,,,,0.0
2070,4.786062594533842e-13,7.421529565871617e-16,5.017139040301431e-14,0.0,7.030861219099704e-14,,,,0.0,5.506742490349179e-13,1.2369216262377956e-15,5.2431042428774685e-14,0.0,9.22674591324086e-14,,,,0.0
2080,4.66468736429046e-13,5.061174505357908e-16,5.071661766937277e-14,0.0,7.699880314228658e-14,,,,0.0,5.432674333951021e-13,1.0122349010715815e-15,5.282654712176753e-14,0.0,9.993013729028373e-14,,,,0.0
2090,4.591429808007011e-13,5.178589194869542e-16,5.153911872270063e-14,0.0,8.249867956033922e-14,,,,0.0,5.329410842749819e-13,1.0357178389739085e-15,5.269881508009826e-14,0.0,1.0104995952679359e-13,,,,0.0
2100,4.499790803024336e-13,5.298707685381996e-16,5.2042108843789773e-14,0.0,8.747308800929428e-14,,,,0.0,5.202629650216917e-13,7.948062006960878e-16,5.235563406057162e-14,0.0,1.0591213810959437e-13,,,,0.0
