Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.2002522386755127e-13,8.907022155563689e-13,1.4082617580902268e-13,3.4472295453975733e-12,1.0191567848778001e-12,0.0,,2.062129422853633e-12,0.0,4.2002522386755127e-13,8.907022155563689e-13,1.4082617580902268e-13,3.4472295453975733e-12,1.0191567848778001e-12,0.0,,2.062129422853633e-12,0.0
2010,4.195218966093909e-13,8.96897201188034e-13,1.415617108223667e-13,3.289773243768738e-12,9.941551900511707e-13,0.0,,2.088161406646403e-12,0.0,4.147402876568665e-13,8.958276798025625e-13,1.4003396498911013e-13,3.3013552629758087e-12,1.0087150000244662e-12,0.0,,2.058128304610469e-12,0.0
2020,4.1927023298031065e-13,1.061091144278503e-12,1.4216538233247678e-13,2.381413087927688e-12,1.0331961042511234e-12,0.0,,2.210374796427636e-12,0.0,4.0240881887005496e-13,9.22351319781061e-13,1.3728201928206833e-13,2.6258573250606826e-12,9.46636369606108e-13,0.0,,2.1311205646676282e-12,0.0
2030,4.162502694313479e-13,1.1306228823214492e-12,1.4297067407075586e-13,2.27858623214218e-12,1.0788697183370608e-12,0.0,,2.5490383263131695e-12,0.0,3.895740228250829e-13,9.56647403618086e-13,1.3500555944086227e-13,1.8680169307742944e-12,9.452316236359926e-13,0.0,,2.198261400158073e-12,0.0
2040,4.094553759652415e-13,9.402223797329249e-13,1.4353029709005895e-13,1.895580669266588e-12,8.527436707291872e-13,0.0,,2.0806795626838103e-12,0.0,3.76235850483831e-13,8.59530840691478e-13,1.3302293601147395e-13,1.7183614170370357e-12,7.827674021333156e-13,0.0,,2.0822564324532374e-12,0.0
2050,3.9561390088488893e-13,6.406172706559914e-13,1.4286313347477513e-13,1.2784016091506494e-12,5.063094623574274e-13,0.0,,1.3060726430483249e-12,0.0,3.578645036372134e-13,6.548431800738684e-13,1.3055964093511674e-13,1.3221679346182223e-12,4.666027085714168e-13,0.0,,1.6082163084554605e-12,0.0
2060,3.7699086589013137e-13,4.913145371501436e-13,1.4120689550899764e-13,9.112475203149871e-13,3.7950281904052494e-13,0.0,,1.1381576874530617e-12,0.0,3.357181533162731e-13,6.042497676147621e-13,1.2733083629489426e-13,1.389218638045096e-12,4.5443130020653005e-13,0.0,,1.7509029169597013e-12,0.0
2070,3.5912282178261457e-13,3.904028160821143e-13,1.396180849574807e-13,5.744386121075146e-13,3.0674812415310196e-13,0.0,,1.0323801099432715e-12,0.0,3.1155854300081035e-13,5.531697008581124e-13,1.2336340723980154e-13,1.4330289997439462e-12,4.22940589107701e-13,0.0,,1.879384947628032e-12,0.0
2080,3.422614076723589e-13,3.1934748818653584e-13,1.3874253385354214e-13,3.496321557753104e-13,2.595430986344782e-13,0.0,,9.600331915382373e-13,0.0,2.851339600236256e-13,4.856132673052246e-13,1.1889524994687994e-13,1.4243427795673605e-12,3.799904050623381e-13,0.0,,1.955107061719413e-12,0.0
2090,3.2590332082026364e-13,2.722291375440615e-13,1.385391605126024e-13,2.544316347713911e-13,2.2418646738784341e-13,0.0,,8.957869781634088e-13,0.0,2.582060252692208e-13,4.320539803429224e-13,1.1393477445361717e-13,1.4414015721084514e-12,3.079733415678661e-13,0.0,,2.0146507155902903e-12,0.0
2100,3.090419067100081e-13,2.335620654478294e-13,1.3764009563038162e-13,2.154612128681656e-13,1.9090460219706646e-13,0.0,,8.367048710729105e-13,0.0,2.330397359183773e-13,3.547256226485548e-13,1.0854196663964532e-13,1.3428137675217375e-12,2.793895856716991e-13,0.0,,1.9540856957672544e-12,0.0
