Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,8.718322284351651e-13,5.0545194313390334e-12,1.6454018921566752e-12,4.530758003164385e-12,0.0,,9.29075175603589e-12,0.0,,8.718322284351651e-13,5.0545194313390334e-12,1.6454018921566752e-12,4.530758003164385e-12,0.0,,9.29075175603589e-12,0.0
2010,,8.110293940729833e-13,5.101336951159667e-12,1.412316153447528e-12,4.6884701611982946e-12,0.0,,9.198594582060804e-12,0.0,,8.015602783388621e-13,5.050862762485854e-12,1.416298974061262e-12,4.712400520755502e-12,0.0,,9.051077934141056e-12,0.0
2020,,7.140500830360462e-13,5.164524675282617e-12,1.353457919167493e-12,5.140222265627634e-12,0.0,,9.044377384831038e-12,0.0,,6.067133258640387e-13,4.995135493918384e-12,1.3571124602831855e-12,4.970964092100118e-12,0.0,,8.817375759485586e-12,0.0
2030,,6.439855873447552e-13,5.229220053396572e-12,1.3936832523087128e-12,6.804948877568996e-12,0.0,,1.0359742267782086e-11,0.0,,4.769743046038328e-13,4.9442989819467335e-12,1.2925345636747802e-12,5.633901741206784e-12,0.0,,8.045059333144096e-12,0.0
2040,,5.008004050241596e-13,5.263905214064602e-12,1.179246068807037e-12,4.921649216394387e-12,0.0,,7.658585606900236e-12,0.0,,3.366299557912858e-13,4.885624492996852e-12,1.4444214324122017e-12,5.691368283188874e-12,0.0,,6.724954458996332e-12,0.0
2050,,3.644443861456261e-13,5.253434313927082e-12,7.814197991996676e-13,2.4084435107910083e-12,0.0,,3.658361316370088e-12,0.0,,2.1450031271301776e-13,4.793608357620923e-12,1.4619883370698778e-12,5.198202504231657e-12,0.0,,3.4456854435641514e-12,0.0
2060,,2.982991069153234e-13,5.197809176759004e-12,6.649823288413398e-13,2.591831685009208e-12,0.0,,3.037728863798481e-12,0.0,,2.0275656961434424e-13,4.659045983448874e-12,1.5370132727596942e-12,4.6730556149902775e-12,0.0,,3.126789875767043e-12,0.0
2070,,2.5424802578130685e-13,5.132108898626047e-12,6.309964339003882e-13,2.78135959772827e-12,0.0,,2.5563130591711516e-12,0.0,,1.9446036917009877e-13,4.499078423678421e-12,1.5349328014408592e-12,3.884082955635678e-12,0.0,,2.83816076580183e-12,0.0
2080,,2.1829606340677442e-13,5.0822158862487635e-12,6.67069259363262e-13,2.949327754413482e-12,0.0,,2.153984801003146e-12,0.0,,1.839559381694988e-13,4.314283814981114e-12,1.4365260065218147e-12,2.909758828287095e-12,0.0,,2.4661213067093374e-12,0.0
2090,,1.8770607549087123e-13,5.055632542007391e-12,7.332385516309214e-13,3.091499221802627e-12,0.0,,1.7927332749337802e-12,0.0,,1.7538890713936936e-13,4.111808315689311e-12,1.2984642640893968e-12,1.746599062809069e-12,0.0,,2.221541378112527e-12,0.0
2100,,1.59338699357018e-13,4.9967361604338335e-12,7.803880744901991e-13,3.2090056522764517e-12,0.0,,1.4750746825230398e-12,0.0,,1.6870938823469564e-13,3.8934322341548905e-12,1.0668413449027706e-12,6.15224427794502e-13,0.0,,1.6431586489200615e-12,0.0
