Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.1972567502636865e-12,7.304468175651581e-16,7.577867244645172e-14,9.414686447460578e-17,2.3658978039292592e-14,,,,0.0,2.1972567502636865e-12,7.304468175651581e-16,7.577867244645172e-14,9.414686447460578e-17,2.3658978039292592e-14,,,,0.0
2010,2.24806438579801e-12,7.26789991387638e-16,7.732124412943451e-14,1.1281863845414654e-16,2.5000255307265566e-14,,,,0.0,2.250699284713538e-12,7.26789991387638e-16,7.758238116127471e-14,1.143174681822939e-16,2.499477923288419e-14,,,,0.0
2020,2.335867448967829e-12,7.250117068798168e-16,8.026948563586542e-14,1.7267047582664768e-16,2.9139908696528573e-14,,,,0.0,2.3333896986638636e-12,7.166393804527247e-16,8.04374249161133e-14,1.771689315653383e-16,2.924698423592871e-14,,,,0.0
2030,2.41352606772318e-12,8.875589922166388e-16,8.30323337654729e-14,2.9230548814453903e-16,3.390145035942444e-14,,,,0.0,2.4134409582236875e-12,8.74630196700525e-16,8.336140166624368e-14,3.3652180925902094e-16,3.634112936049156e-14,,,,0.0
2040,2.4574115652863084e-12,8.899465374935296e-16,8.493974593573175e-14,4.97151963937117e-16,3.8335911751322815e-14,,,,0.0,2.493672619526185e-12,8.718221798624223e-16,8.595400230038267e-14,6.628681473690435e-16,4.4609992177556447e-14,,,,0.0
2050,2.435368508880343e-12,7.368674316625876e-16,8.580912617468467e-14,7.021440946108752e-16,4.167072231423607e-14,,,,0.0,2.548561711504905e-12,8.770521752291634e-16,8.764526863794693e-14,1.1772155132360242e-15,5.115883570449428e-14,,,,0.0
2060,2.3522367413826507e-12,5.777576831521771e-16,8.56940668702931e-14,8.728973284644053e-16,4.45227834370612e-14,,,,0.0,2.5662523288993428e-12,8.850351239150488e-16,8.808685015718694e-14,1.81431979629042e-15,5.779671174691647e-14,,,,0.0
2070,2.2828177860468837e-12,5.848098208969612e-16,8.525206740261809e-14,1.1298378077478588e-15,4.893174997442421e-14,,,,0.0,2.55698360044215e-12,9.004368799510741e-16,8.780539038269458e-14,2.5535518424652648e-15,6.408413802658609e-14,,,,0.0
2080,2.2461409111094885e-12,4.188019937594996e-16,8.492458580613472e-14,1.5529285223802046e-15,5.358632295973571e-14,,,,0.0,2.525775162828375e-12,7.370017510282412e-16,8.683712734355046e-14,3.4263038685440635e-15,6.935885625057991e-14,,,,0.0
2090,2.2235721515629093e-12,4.219277760803251e-16,8.491006209801824e-14,2.2120323138696106e-15,5.753825813400558e-14,,,,0.0,2.4741541236489045e-12,7.507532341065848e-16,8.509156570474768e-14,4.476285325559938e-15,7.033229615102128e-14,,,,0.0
2100,2.1919070102956093e-12,4.323244660298835e-16,8.437746280822757e-14,3.0489275997631998e-15,6.132036851065597e-14,,,,0.0,2.407525848008984e-12,5.733555329144683e-16,8.299753955825862e-14,5.9254336597837794e-15,7.401203765757943e-14,,,,0.0
