Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.3523279773453606e-11,6.763417330165732e-13,3.494856320962752e-13,2.092025108172471e-10,2.3300504427985407e-16,0.0,,1.4738876962219772e-13,1.1793939080959266e-11,2.3523279773453606e-11,6.763417330165732e-13,3.494856320962752e-13,2.092025108172471e-10,2.3300504427985407e-16,0.0,,1.4738876962219772e-13,1.1793939080959266e-11
2010,2.4329234617034272e-11,6.839723541118167e-13,3.575079862956965e-13,2.1578236247812361e-10,2.9205456859084347e-16,0.0,,1.686447748805477e-13,1.2231805393677974e-11,2.431951690020696e-11,6.759267231776778e-13,3.5718663497706237e-13,2.1558250680115902e-10,2.8178117126054456e-16,0.0,,1.6595699598161342e-13,1.223180680572634e-11
2020,2.5629832825921443e-11,7.427699155261033e-13,3.6957069625043376e-13,1.8679309997728938e-10,4.472610614044333e-16,0.0,,2.2004878488161784e-13,1.1900142062362266e-11,2.6066559615612014e-11,7.252699589106823e-13,3.7548033927797457e-13,2.2986954434958785e-10,4.3525752992770336e-16,0.0,,2.1408495449818524e-13,1.3245705539289073e-11
2030,2.52406468804828e-11,7.652375465320747e-13,3.3344579967693266e-13,1.4404657788067626e-10,6.881881934183787e-16,0.0,,2.674507850657025e-13,9.814404720822892e-12,2.7886927178359188e-11,8.004095531570357e-13,3.949779030605172e-13,2.4593985212619733e-10,7.999957237023184e-16,0.0,,2.925665803950773e-13,1.4376094026572001e-11
2040,2.4334950588803658e-11,7.536641333980272e-13,2.8712686264976025e-13,1.1729131144517413e-10,1.0429769792917029e-15,0.0,,2.9794507260594826e-13,7.846008598166e-12,2.934546017243972e-11,8.395776566464667e-13,4.110350110090386e-13,2.591689830418132e-10,1.4398061784184105e-15,0.0,,3.745287510615183e-13,1.5307892032222777e-11
2050,2.1985881054258454e-11,6.721505528455903e-13,2.1870639021772136e-13,7.820368906418415e-11,1.3689098708581322e-15,0.0,,2.979641352588353e-13,5.063610015301293e-12,2.9875147753994426e-11,8.162883899998542e-13,4.15277819198257e-13,2.682916062074377e-10,2.2518087947965627e-15,0.0,,4.2208243612824e-13,1.5554537343710627e-11
2060,2.0581576365472302e-11,5.562832476939731e-13,1.8540331785289432e-13,5.353078729270879e-11,1.6672878245400567e-15,0.0,,2.7736482074183945e-13,3.692662144970746e-12,2.9752432279046164e-11,7.791533713926407e-13,4.085668828517907e-13,2.69936608660011e-10,3.209038827041077e-15,0.0,,4.437948860196075e-13,1.53763368404258e-11
2070,1.99943760541332e-11,4.652831732335072e-13,1.6917281477817e-13,4.3362960281335883e-11,2.0663242110783193e-15,0.0,,2.6276675588986937e-13,3.1543056455096097e-12,2.910582144492413e-11,7.587564210565245e-13,3.934068227517432e-13,2.726209012997925e-10,4.235999606418153e-15,0.0,,4.697153282827678e-13,1.4934874040529064e-11
2080,1.954853872841097e-11,3.9634776647770567e-13,1.5800474777704003e-13,3.860241997103183e-11,2.566628183172053e-15,0.0,,2.511971376357947e-13,2.8810665211959648e-12,2.780692051816808e-11,7.132026818620241e-13,3.694153268041022e-13,2.715116864776978e-10,5.300201437651219e-15,0.0,,4.764678759294019e-13,1.4111644197287648e-11
2090,1.8924359694567728e-11,3.486286952465844e-13,1.4618690686520413e-13,3.5112031282833426e-11,3.153789332232369e-15,0.0,,2.39452910776456e-13,2.654943391083332e-12,2.608379225382191e-11,7.038554070971862e-13,3.4032280614872395e-13,2.813433386632384e-10,6.2452265250265465e-15,0.0,,5.044066648200008e-13,1.3101284056920091e-11
2100,1.828702601818405e-11,3.1010347090046703e-13,1.3461928533576637e-13,3.211016331824389e-11,3.818435256204141e-15,0.0,,2.2880191823488715e-13,2.4631227988167566e-12,2.4206699884276338e-11,5.471974225086624e-13,3.1109603058267713e-13,2.731784005858852e-10,7.398327418589509e-15,0.0,,4.283846727269289e-13,1.2009877988766994e-11
