Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.3802499165339385e-13,4.642766475104666e-13,4.3032862205629433e-13,8.217182454698932e-12,5.919459411247306e-13,0.0,,1.5798549538015438e-12,0.0,4.3802499165339385e-13,4.642766475104666e-13,4.3032862205629433e-13,8.217182454698932e-12,5.919459411247306e-13,0.0,,1.5798549538015438e-12,0.0
2010,4.3826014183217875e-13,4.692640905780851e-13,4.3266600336052315e-13,7.770947637362805e-12,5.812058130303102e-13,0.0,,1.5878476770486184e-12,0.0,4.3328174469937933e-13,4.685715691095451e-13,4.287103705069272e-13,7.798306780400802e-12,5.892614606825169e-13,0.0,,1.5628551270653396e-12,0.0
2020,4.396328734726026e-13,5.58122617191528e-13,4.352750715949036e-13,5.495315561016586e-12,6.139979003941373e-13,0.0,,1.6717845973493211e-12,0.0,4.2194440840085406e-13,4.851508701929397e-13,4.2165109948015935e-13,6.051245002342853e-12,5.62396446318199e-13,0.0,,1.5861306262404223e-12,0.0
2030,4.382554202954683e-13,6.009541477766425e-13,4.367206561055046e-13,5.011872563317488e-12,6.589900856056736e-13,0.0,,1.936080160350127e-12,0.0,4.1009335125762774e-13,5.083698874335424e-13,4.1398177943449455e-13,4.119511303357019e-12,5.785484262660423e-13,0.0,,1.5799373821246752e-12,0.0
2040,4.3282856542819883e-13,5.082749713077091e-13,4.345258034328156e-13,3.8987534275018636e-12,5.453411966837863e-13,0.0,,1.5472717613422704e-12,0.0,3.975825145172552e-13,4.642727643774713e-13,4.0417029377064786e-13,3.549902290511752e-12,5.020547217670389e-13,0.0,,1.4180894579081196e-12,0.0
2050,4.199784399423436e-13,3.54809628065675e-13,4.27694004571864e-13,2.4284901946660813e-12,3.4674546399678495e-13,0.0,,9.281203256919338e-13,0.0,3.795946069397393e-13,3.6174207949893046e-13,3.903107743385169e-13,2.5288252325947292e-12,3.212312283335129e-13,0.0,,9.664833851089774e-13,0.0
2060,4.018191008683784e-13,2.8012550766909006e-13,4.1601654112414125e-13,1.5950071152560659e-12,2.7582259917146393e-13,0.0,,7.997842804917364e-13,0.0,3.571907166793588e-13,3.423827420130747e-13,3.714072857777758e-13,2.44595511483152e-12,3.267752611515729e-13,0.0,,1.0361199621295358e-12,0.0
2070,3.8408968639413177e-13,2.298891513471185e-13,4.023402349669802e-13,9.28457452238362e-13,2.349459171640091e-13,0.0,,7.11292930578926e-13,0.0,3.323385993183324e-13,3.221951278466255e-13,3.497167005727637e-13,2.327000983707541e-12,3.1479025798325707e-13,0.0,,1.0978787213384778e-12,0.0
2080,3.671816207382026e-13,1.946858148991253e-13,3.890815421128816e-13,5.235805165155541e-13,2.0859713885553733e-13,0.0,,6.448208421906394e-13,0.0,3.0480645829273496e-13,2.9123230500926253e-13,3.268964766781488e-13,2.143712870174416e-12,2.9195465599944984e-13,0.0,,1.1265905184542507e-12,0.0
2090,3.505130737856779e-13,1.717734217540063e-13,3.7809907121833254e-13,3.538274822401347e-13,1.8826514274407336e-13,0.0,,5.847098992936442e-13,0.0,2.7644323855307567e-13,2.6642969759392884e-13,3.039924344752956e-13,2.01632792779905e-12,2.4548919689146403e-13,0.0,,1.1503714426899082e-12,0.0
2100,3.332199381287791e-13,1.5260850567699367e-13,3.6639985340053273e-13,2.800283410911797e-13,1.6757779583700891e-13,0.0,,5.294324861928093e-13,0.0,2.4963947178645965e-13,2.255594139306143e-13,2.813755455448092e-13,1.7564077731539571e-12,2.264452095187035e-13,0.0,,1.0911065373943097e-12,0.0
