Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.0322091176849224e-12,9.659342748022032e-13,8.032699183432206e-11,2.1121578254287264e-13,0.0,3.827434747870068e-12,3.8911661386407286e-12,6.742732145457719e-13,,1.0322091176849224e-12,9.659342748022032e-13,8.032699183432206e-11,2.1121578254287264e-13,0.0,3.827434747870068e-12,3.8911661386407286e-12,6.742732145457719e-13
2010,,9.090674688903997e-13,9.689368191379585e-13,7.519646096401245e-11,2.0419496777071358e-13,0.0,3.688107229967014e-12,3.779123631236666e-12,7.009697538898983e-13,,8.999005391772962e-13,9.601891795353474e-13,7.524111558141244e-11,2.051690384446837e-13,0.0,3.691364119513976e-12,3.717554086508232e-12,6.830816163544603e-13
2020,,7.475408739292222e-13,9.677605828524094e-13,7.776074643760402e-11,2.0508347713924853e-13,0.0,3.3689585302716432e-12,3.730541048305668e-12,7.728328664182683e-13,,6.369250648889183e-13,9.393349902890101e-13,6.757680513032397e-11,2.0695413233332383e-13,0.0,3.281800904163257e-12,3.571000764124716e-12,7.194296386324137e-13
2030,,6.149657271667567e-13,9.654073160041082e-13,6.50496734732334e-11,2.1533763996458314e-13,0.0,3.4653191815793885e-12,4.273657562795118e-12,8.26437664107799e-13,,4.704763782233763e-13,9.174418864603283e-13,5.915107301689566e-11,2.2312716062706345e-13,0.0,2.770776365809148e-12,3.1711651499398397e-12,7.744689009516944e-13
2040,,4.388100905426677e-13,9.576243701918134e-13,6.110938640822368e-11,1.9791386777094334e-13,0.0,2.0641799522087566e-12,2.971159442836866e-12,8.495550138663373e-13,,3.55540539599057e-13,8.926002491457388e-13,5.77922475817529e-11,2.5179763326499233e-13,0.0,2.776498162278031e-12,2.4485358097191262e-12,8.061446758323355e-13
2050,,2.869481282156885e-13,9.424217280083492e-13,5.393216486370496e-11,1.6683907391112456e-13,0.0,3.171553286733345e-13,1.1800644369112282e-12,8.422601955221826e-13,,2.552458333017489e-13,8.614507270390124e-13,5.454437255153514e-11,2.650710864371249e-13,0.0,2.487889421062115e-12,9.774115803946121e-13,7.869753250409358e-13
2060,,2.1099724599559696e-13,9.195274818910074e-13,4.846026282959085e-11,1.7417339651453186e-13,0.0,3.1917034374916887e-13,9.872784448301558e-13,8.294909539315635e-13,,2.268173283886028e-13,8.210198993018599e-13,4.398817011048339e-11,2.7085651333532067e-13,0.0,2.197047348855645e-12,8.927410127168259e-13,7.490590906774437e-13
2070,,1.6189534918458898e-13,8.927917582048355e-13,4.448281912398335e-11,1.848943185449034e-13,0.0,3.2527518039950106e-13,8.368723484909135e-13,8.174812178536569e-13,,2.0213589237333345e-13,7.773117955695202e-13,3.328228489486583e-11,2.654039327119559e-13,0.0,1.7966742737629814e-12,7.977581675983068e-13,7.07726493555107e-13
2080,,1.2651742619458755e-13,8.688208252114658e-13,4.186332255943743e-11,1.950315461152596e-13,0.0,3.285666210048196e-13,7.103989715862436e-13,7.985678890808931e-13,,1.7543769828503284e-13,7.320544100249955e-13,2.2313825050188653e-11,2.5166081901666753e-13,0.0,1.2846943964389547e-12,6.594384992136325e-13,6.576782485508611e-13
2090,,1.0145328094670404e-13,8.512763890726421e-13,3.9413997591189993e-11,2.0358738983645027e-13,0.0,3.241869765040208e-13,5.967472585676324e-13,7.783064071345066e-13,,1.5258627694691995e-13,6.872719581217282e-13,1.2112052396193195e-11,2.25519567690899e-13,0.0,6.7688859287127e-13,5.349631707411973e-13,6.117413588586335e-13
2100,,8.171629222959312e-14,8.320926530385546e-13,3.673498601228235e-11,2.099259646172052e-13,0.0,3.1504502239632044e-13,4.968149191812234e-13,7.58802489134335e-13,,1.3350663535301898e-13,6.428783490361471e-13,2.0066545139891007e-12,2.1112841205047366e-13,0.0,8.856655803552898e-14,3.280588131126341e-13,5.664176511676053e-13
