Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.1087740021140675e-11,8.12017770732143e-13,3.813081035815291e-13,2.3877042010234106e-10,1.6609982576433848e-16,0.0,,1.9966588603835544e-13,1.3695303571759075e-11,3.1087740021140675e-11,8.12017770732143e-13,3.813081035815291e-13,2.3877042010234106e-10,1.6609982576433848e-16,0.0,,1.9966588603835544e-13,1.3695303571759075e-11
2010,3.187825697859027e-11,8.233374377240865e-13,3.833705000590853e-13,2.463225456939e-10,5.828017605121503e-16,0.0,,2.284465477030151e-13,1.4203583621752449e-11,3.1872834233004355e-11,8.140986799617944e-13,3.8322112410477116e-13,2.4609439486233953e-10,5.828017605121503e-16,0.0,,2.2484897515932798e-13,1.4203583621752449e-11
2020,3.284986518914401e-11,9.006974311352722e-13,3.8009791711660084e-13,2.1240242897846429e-10,1.2724674211113895e-15,0.0,,2.979998517914363e-13,1.3772990560545484e-11,3.359267031211033e-11,8.819442029982251e-13,3.898457077988749e-13,2.6237970129905364e-10,1.4744463449115586e-15,0.0,,2.902050615875146e-13,1.5381513771006716e-11
2030,3.187446140362482e-11,9.336232958609414e-13,3.3434732304819803e-13,1.6417442405547433e-10,2.211216990015267e-15,0.0,,3.6155713839525205e-13,1.1383083711735686e-11,3.5221964234111176e-11,9.837068225965197e-13,3.9666281869375764e-13,2.8042385080695453e-10,3.2623461258005173e-15,0.0,,3.963337904394625e-13,1.6709723882346594e-11
2040,3.032107551148577e-11,9.235759943285182e-13,2.8233546143369153e-13,1.3363722628501051e-10,3.5082681659921733e-15,0.0,,4.017301628075204e-13,9.107078806358523e-12,3.6331833375147227e-11,1.0398417153376083e-12,4.021205026946695e-13,2.9503094411964526e-10,6.187309287830753e-15,0.0,,5.060600918350977e-13,1.780718454635899e-11
2050,2.7092857471378015e-11,8.23420921291368e-13,2.1203075102962927e-13,8.895653658136381e-11,4.3186207749821e-15,0.0,,3.999313629831498e-13,5.87095302928553e-12,3.632857903390629e-11,1.0153790785602525e-12,4.0102345272644e-13,3.049137886623754e-10,9.732774482185125e-15,0.0,,5.68418196626036e-13,1.8088785677661253e-11
2060,2.509324865951345e-11,6.7761849733769e-13,1.806087831374148e-13,6.080604075808793e-11,4.681948781443253e-15,0.0,,3.7055108330699693e-13,4.2685416833110335e-12,3.5649750512733996e-11,9.70420033392927e-13,3.949584528786104e-13,3.065277476288486e-10,1.3699035056823593e-14,0.0,,5.959997035828726e-13,1.7846609606797514e-11
2070,2.413573507720201e-11,5.616428004097397e-13,1.676609968481041e-13,4.918919091490004e-11,5.237101374853774e-15,0.0,,3.495651847412045e-13,3.6258587278459324e-12,3.448186874921433e-11,9.435929685178146e-13,3.853788761633976e-13,3.092705813667607e-10,1.7723454607686435e-14,0.0,,6.307763556270829e-13,1.7257906909096115e-11
2080,2.334901369471787e-11,4.72493409415381e-13,1.6068033405550186e-13,4.3743737798695997e-11,5.827176713163114e-15,0.0,,3.333760676370312e-13,3.280409147446428e-12,3.261238501472974e-11,8.814189612557646e-13,3.688130530143941e-13,3.074086263321618e-10,2.1344115575449782e-14,0.0,,6.397702463287189e-13,1.6172101852118814e-11
2090,2.2366017024544327e-11,4.093068928495008e-13,1.5320682006034203e-13,3.9714807831270355e-11,6.344731631627385e-15,0.0,,3.1718695053285784e-13,2.9812283284386117e-12,3.033192100265758e-11,8.628408859796822e-13,3.48144744369977e-13,3.181502006288639e-10,2.356061783929768e-14,0.0,,6.811424796589196e-13,1.4827351152435494e-11
2100,2.1416635825888264e-11,3.573422482396061e-13,1.4708015621395237e-13,3.623265576457868e-11,6.767282911211139e-15,0.0,,3.027966061480009e-13,2.7158904465640617e-12,2.7965789406447786e-11,6.601932000215027e-13,3.2793551403044463e-13,3.081671584581613e-10,2.5933973664318124e-14,0.0,,5.792109413621516e-13,1.3367413079223846e-11
