Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.3347981534249662e-12,9.436152380304378e-12,1.2074966027064704e-11,6.0183906469557505e-12,0.0,,4.212272891601643e-11,0.0,,2.3347981534249662e-12,9.436152380304378e-12,1.2074966027064704e-11,6.0183906469557505e-12,0.0,,4.212272891601643e-11,0.0
2010,,2.0668770514542523e-12,9.493060851295532e-12,1.029285510989464e-11,6.2681921285390185e-12,0.0,,4.1687993335148825e-11,0.0,,2.0542575886878245e-12,9.394218909719587e-12,1.0321265543622447e-11,6.300919421636798e-12,0.0,,4.102421527485411e-11,0.0
2020,,1.6544623743924847e-12,9.556832755719393e-12,9.666025792276488e-12,6.9360515594918396e-12,0.0,,4.0843127491196896e-11,0.0,,1.3958734342012222e-12,9.22970987832228e-12,9.698973395255717e-12,6.709276363647821e-12,0.0,,3.987459321064257e-11,0.0
2030,,1.3402078925806029e-12,9.649244077369893e-12,9.59218555279806e-12,9.281411576800293e-12,0.0,,4.663477590205468e-11,0.0,,9.825298127180693e-13,9.105004944442996e-12,8.873216397753403e-12,7.684405195496069e-12,0.0,,3.613232976706904e-11,0.0
2040,,9.406328797464949e-13,9.738177278451056e-12,7.641699772964474e-12,6.7705862617784004e-12,0.0,,3.4447646124480264e-11,0.0,,6.538494789001814e-13,9.026213804164133e-12,9.371315355666264e-12,7.844612112672955e-12,0.0,,3.021259631363904e-11,0.0
2050,,6.111455200415172e-13,9.769568834472332e-12,4.673249200809472e-12,3.3219538231321617e-12,0.0,,1.6487798973341405e-11,0.0,,3.952928750387136e-13,8.929528991230562e-12,8.822138332365004e-12,7.232501923748468e-12,0.0,,1.5611387182978828e-11,0.0
2060,,4.2923688691950956e-13,9.736317654884806e-12,3.6474356521210005e-12,3.5954932607606964e-12,0.0,,1.3636460016730466e-11,0.0,,3.491887226418633e-13,8.78858531089266e-12,8.508953958097365e-12,6.5394187460932055e-12,0.0,,1.4109054202737779e-11,0.0
2070,,3.236939796064099e-13,9.72350585465298e-12,3.16326305427328e-12,3.872723322584371e-12,0.0,,1.1434384689090749e-11,0.0,,3.152058150081294e-13,8.61193494988699e-12,7.764696004219918e-12,5.4516582220776044e-12,0.0,,1.2780869244888304e-11,0.0
2080,,2.4993887710357543e-13,9.765394222427393e-12,3.051133781392656e-12,4.11216677029258e-12,0.0,,9.608366186020234e-12,0.0,,2.8128890818164554e-13,8.38705667416395e-12,6.6232423191758816e-12,4.082466135979512e-12,0.0,,1.1101865086959872e-11,0.0
2090,,1.970166515824143e-13,9.865176384127317e-12,3.0592041486837696e-12,4.305532059351025e-12,0.0,,7.979840746519251e-12,0.0,,2.55324895340886e-13,8.124599951142564e-12,5.447236845618209e-12,2.4384914660419144e-12,0.0,,1.0017232703052326e-11,0.0
2100,,1.558497661436828e-13,9.92114203290928e-12,2.967844936821451e-12,4.453087638217612e-12,0.0,,6.558271720830123e-12,0.0,,2.356706138833403e-13,7.838786043878887e-12,4.0560345880569234e-12,8.48038490559172e-13,0.0,,7.388624434501169e-12,0.0
