Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,7.088108854198805e-13,5.771916690260058e-13,4.069466660351628e-13,2.1143359632547213e-11,7.452760739275199e-13,0.0,,5.644045994457336e-12,0.0,7.088108854198805e-13,5.771916690260058e-13,4.069466660351628e-13,2.1143359632547213e-11,7.452760739275199e-13,0.0,,5.644045994457336e-12,0.0
2010,7.079615214379553e-13,5.849517376553537e-13,4.090584479216758e-13,1.9948497714805672e-11,7.318224802196904e-13,0.0,,5.6696158184932336e-12,0.0,6.998923467692321e-13,5.84254216187685e-13,4.048120887979733e-13,2.0018729729454066e-11,7.425403065856873e-13,0.0,,5.575876566021876e-12,0.0
2020,7.075368394469926e-13,7.005493190756495e-13,4.102460016662535e-13,1.3956505222345594e-11,7.699579363841523e-13,0.0,,5.97219452710962e-12,0.0,6.790824955311967e-13,6.089509864241893e-13,3.967451367437036e-13,1.5389094512596735e-11,7.054518644591944e-13,0.0,,5.5725337538836675e-12,0.0
2030,7.024405471352246e-13,7.590605119282835e-13,4.121818446452264e-13,1.2510909842833318e-11,8.190534838900532e-13,0.0,,6.937408980611793e-12,0.0,6.574231718910195e-13,6.422595203066372e-13,3.8993957260195777e-13,1.0256621073290171e-11,7.175984524480926e-13,0.0,,5.4026600901369015e-12,0.0
2040,6.909738081185833e-13,6.437055749541898e-13,4.13991323860996e-13,9.470867666505624e-12,6.621384213492675e-13,0.0,,5.369786646586272e-12,0.0,6.349144842689167e-13,5.88461625348341e-13,3.8417186098982375e-13,8.585428375174066e-12,6.078031957942875e-13,0.0,,4.576743931755668e-12,0.0
2050,6.676157565145557e-13,4.477238621080487e-13,4.1371463546657767e-13,5.689642767342518e-12,4.024499104197249e-13,0.0,,2.988332671594041e-12,0.0,6.039119941972371e-13,4.576662399752297e-13,3.778642709059005e-13,5.884428361246918e-12,3.708882159725313e-13,0.0,,2.6797884657842053e-12,0.0
2060,6.361885844519135e-13,3.503091642719641e-13,4.1145770601422337e-13,3.5808472072934587e-12,3.081790465181422e-13,0.0,,2.5264642808386917e-12,0.0,5.665390574206841e-13,4.3083242594159365e-13,3.6979116600430174e-13,5.459087609044344e-12,3.690255024300926e-13,0.0,,2.8004391340596957e-12,0.0
2070,6.060354583621586e-13,2.8343321613333305e-13,4.0935356775302644e-13,1.9947283842053354e-12,2.5348598003613327e-13,0.0,,2.1954781742605797e-12,0.0,5.257686647164306e-13,4.0160228116127567e-13,3.601780603369047e-13,4.976169216269755e-12,3.4950338521737295e-13,0.0,,2.9181245093934383e-12,0.0
2080,5.775811144463627e-13,2.354134411280268e-13,4.0940710023529276e-13,1.0765878206281387e-12,2.172934548223468e-13,0.0,,1.942388741169032e-12,0.0,4.811760256732965e-13,3.5797959648670174e-13,3.4945240061021167e-13,4.3858380469052874e-12,3.18133757185035e-13,0.0,,2.944780920846601e-12,0.0
2090,5.499760803023834e-13,2.0315883307239768e-13,4.1228633462959963e-13,6.980193333061545e-13,1.8932530781827487e-13,0.0,,1.7168768576963922e-12,0.0,4.35733968438129e-13,3.224327272191574e-13,3.377915894046957e-13,3.95440624689769e-12,2.600832689405448e-13,0.0,,2.9956905012173962e-12,0.0
2100,5.215217363865876e-13,1.759500206123532e-13,4.1381248471264443e-13,5.291042669101911e-13,1.619827861253087e-13,0.0,,1.5135750725675525e-12,0.0,3.932647664548622e-13,2.672265078489111e-13,3.2522850515123713e-13,3.2975239292604157e-12,2.3706240421215996e-13,0.0,,2.744523358577667e-12,0.0
