Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.086498295846394e-12,9.340992606146623e-13,1.1803658050979493e-10,2.136971426636852e-13,0.0,4.1327930661028126e-12,6.176817737846285e-12,7.30068945836021e-13,,1.086498295846394e-12,9.340992606146623e-13,1.1803658050979493e-10,2.136971426636852e-13,0.0,4.1327930661028126e-12,6.176817737846285e-12,7.30068945836021e-13
2010,,9.483981525462706e-13,9.384873520673631e-13,1.1050766551834457e-10,2.0676839960261792e-13,0.0,3.9835430960810674e-12,6.006286180221253e-12,7.606537470207508e-13,,9.406090272987e-13,9.29267079952112e-13,1.105723637651046e-10,2.0799299240391311e-13,0.0,3.98711575907984e-12,5.9091642169717415e-12,7.412328129757784e-13
2020,,7.728236453563575e-13,9.391955529264304e-13,1.1425201063008927e-10,2.074781590023084e-13,0.0,3.6326800942343418e-12,5.9263800464282035e-12,8.422361115825728e-13,,6.572263891967134e-13,9.096207944855883e-13,9.925643640329441e-11,2.102897798386336e-13,0.0,3.5341141905315117e-12,5.672043997678733e-12,7.841014079343345e-13
2030,,6.311756130771009e-13,9.414298767634888e-13,9.54744408532271e-11,2.1850408852067127e-13,0.0,3.7372665726009835e-12,6.780987230059487e-12,9.056668175827508e-13,,4.843041115712433e-13,8.920323789525508e-13,8.676300650156676e-11,2.2691596594359007e-13,0.0,2.959500049540265e-12,5.0224000305854055e-12,8.487494019236709e-13
2040,,4.336921175917413e-13,9.430193171483525e-13,8.960564928939262e-11,2.003714441546276e-13,0.0,2.218210858051517e-12,4.6849095783341185e-12,9.367048152755797e-13,,3.7129481889226773e-13,8.762419500922548e-13,8.458442973813263e-11,2.563019783387299e-13,0.0,2.989874840764184e-12,3.8692811975271635e-12,8.885130587006628e-13
2050,,2.634555713778436e-13,9.409422026263048e-13,7.895836068305684e-11,1.6756534311143656e-13,0.0,3.223419252872117e-13,1.8177047323916784e-12,9.338640971634504e-13,,2.705344086771644e-13,8.588984016198731e-13,7.959190945205918e-11,2.6920533944402303e-13,0.0,2.7088767427102534e-12,1.5409561647528047e-12,8.719622788568029e-13
2060,,1.846963337479024e-13,9.350034852265152e-13,7.073323177175794e-11,1.7564859885587508e-13,0.0,3.238302638194912e-13,1.5143207868217878e-12,9.23884233006156e-13,,2.422799374318663e-13,8.373996483214409e-13,6.395517448964938e-11,2.7559589809919566e-13,0.0,2.391505179652476e-12,1.4003082547675572e-12,8.335850456078764e-13
2070,,1.366139325146079e-13,9.285832736419253e-13,6.470018271143019e-11,1.870159300858265e-13,0.0,3.304760436660671e-13,1.2810984911793002e-12,9.129488614742496e-13,,2.1724354086483105e-13,8.141245923937168e-13,4.817846468996301e-11,2.704605745092181e-13,0.0,1.955428440697516e-12,1.2479666822509672e-12,7.898150449631158e-13
2080,,1.0343824050334376e-13,9.272140347182933e-13,6.064680702078107e-11,1.9746591785763795e-13,0.0,3.3455345698624184e-13,1.0888038517661847e-12,8.916580039423916e-13,,1.8878232581776705e-13,7.883453004980945e-13,3.2118439852180096e-11,2.553765846794593e-13,0.0,1.396902667323563e-12,1.0296862104283708e-12,7.340399447129665e-13
2090,,8.143307669893422e-14,9.33411117495786e-13,5.683821815982704e-11,2.0605927717170375e-13,0.0,3.3045875064141583e-13,9.179473587500595e-13,8.660526180752358e-13,,1.6405930433616156e-13,7.616066523101481e-13,1.7295300608344274e-11,2.253878507441076e-13,0.0,7.314406242145409e-13,8.377162895659153e-13,6.808394993618183e-13
2100,,6.480630105904632e-14,9.360447529929705e-13,5.269792588413758e-11,2.1198357468259907e-13,0.0,3.21217932894996e-13,7.691788287030044e-13,8.387608099388877e-13,,1.4316301507992513e-13,7.326996539873398e-13,2.7464768740520507e-12,2.0951659461185268e-13,0.0,8.98230464617053e-14,5.112700627446508e-13,6.266016893720363e-13
