Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,6.604887286594608e-13,4.598051711594973e-13,5.6762476337760056e-11,1.4919666644832025e-13,4.237681476146451e-17,2.665864324889616e-12,2.996547250723754e-12,4.666118607749261e-13,,6.604887286594608e-13,4.598051711594973e-13,5.6762476337760056e-11,1.4919666644832025e-13,4.237681476146451e-17,2.665864324889616e-12,2.996547250723754e-12,4.666118607749261e-13
2010,,5.804688793296461e-13,4.610439510931908e-13,5.316355176641267e-11,1.450037659436755e-13,3.727877476181136e-17,2.580392345631933e-12,2.8901134874865083e-12,4.858118472266902e-13,,5.751919444376325e-13,4.568371860158811e-13,5.3194517549412e-11,1.457579805730284e-13,3.786819815346045e-17,2.5827300515310425e-12,2.8427881128632587e-12,4.734205137829979e-13
2020,,4.785238847653532e-13,4.598390925431634e-13,5.497604566297402e-11,1.4654921270521568e-13,2.6389854766544652e-17,2.374353317534228e-12,2.828799574607348e-12,5.370564556261629e-13,,4.072203207357387e-13,4.4636263729463846e-13,4.781563847839706e-11,1.4819560805465672e-13,3.385594953570765e-17,2.312717770734072e-12,2.718245465775132e-12,5.000035211060701e-13
2030,,3.96297212310628e-13,4.590512887965918e-13,4.605214699583664e-11,1.539122975896852e-13,2.0195684305642607e-17,2.4559765639145966e-12,3.2306447908189128e-12,5.764108790026091e-13,,3.032803682157565e-13,4.362312896074266e-13,4.189628296341981e-11,1.6054465304141848e-13,2.351510030195664e-17,1.977264223661538e-12,2.3808285260594043e-12,5.401169920783754e-13
2040,,2.8035603736213596e-13,4.5674623562744e-13,4.319860504920016e-11,1.4095956977722227e-13,1.613173107299497e-17,1.4785711916296991e-12,2.2566635753037468e-12,5.952739472768011e-13,,2.3338272924585247e-13,4.257716626702725e-13,4.094958601866779e-11,1.8167833959840438e-13,1.8220580922072704e-17,2.0119905378994447e-12,1.836052433444767e-12,5.646446595704697e-13
2050,,1.790825079787955e-13,4.5209507927987353e-13,3.804817450537945e-11,1.1844558043451946e-13,9.606651998581174e-18,2.605894459995865e-13,9.153694746217748e-13,5.931763794009738e-13,,1.7069490971008644e-13,4.134028327268754e-13,3.865911560100397e-11,1.922925006395983e-13,6.494055383661696e-18,1.8515408828559165e-12,7.344020643964508e-13,5.539404845280955e-13
2060,,1.3097798363962516e-13,4.449999823881799e-13,3.418599244887265e-11,1.2284511291184015e-13,7.031779691307182e-18,2.6527965875773223e-13,7.649107091763678e-13,5.870620122375764e-13,,1.5447261964401242e-13,3.978733031004223e-13,3.117191482038883e-11,1.9636457698158487e-13,5.925308307079309e-18,1.6359407971187458e-12,6.712659419081618e-13,5.297994543565074e-13
2070,,1.0065593667591326e-13,4.3684779489738987e-13,3.137779339399852e-11,1.2970362099002884e-13,5.615082922248298e-18,2.721010889210052e-13,6.478786128632354e-13,5.810009889419925e-13,,1.4013242266268485e-13,3.813257694914928e-13,2.3580907718777602e-11,1.9210747353750768e-13,5.056677229552481e-18,1.3367463396116003e-12,6.01024210826028e-13,5.027208867302928e-13
2080,,7.917234334386937e-14,4.306362851072152e-13,2.952800446150115e-11,1.3624865077820099e-13,4.5499747690286925e-18,2.762815445368962e-13,5.50586405772705e-13,5.693193464237137e-13,,1.2359955408649802e-13,3.641783137089249e-13,1.5803121927189678e-11,1.8119679489813032e-13,3.908842153408738e-18,9.554867817612442e-13,4.991690792327121e-13,4.687268273301757e-13
2090,,6.416034891514213e-14,4.279046320257583e-13,2.7800961279144854e-11,1.417402448981973e-13,3.505548922674623e-18,2.7461773540501197e-13,4.63494083875654e-13,5.558594138794322e-13,,1.0918038341185302e-13,3.469888715298333e-13,8.548682613079022e-12,1.633871320860737e-13,2.492145384349854e-18,5.082458132161623e-13,4.035729111194549e-13,4.3693560385760166e-13
2100,,5.238194134559451e-14,4.2375559069215843e-13,2.591815351947625e-11,1.4574150317784588e-13,2.4301003073836525e-18,2.6914693814401324e-13,3.873377683830781e-13,5.421745671563624e-13,,9.669210368064804e-14,3.2922403448212296e-13,1.3781724744930647e-12,1.5259575220430092e-13,1.6545364420119755e-19,6.745033045224248e-14,2.4689272830253564e-13,4.0487968485068414e-13
