Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.140421495439107e-12,5.986579033301474e-15,3.342577824833451e-13,0.0,2.134384154924309e-13,,,,0.0,2.140421495439107e-12,5.986579033301474e-15,3.342577824833451e-13,0.0,2.134384154924309e-13,,,,0.0
2010,2.1803603608584807e-12,6.127238944933379e-15,3.548363042604591e-13,0.0,2.2685795975246811e-13,,,,0.0,2.182668900691206e-12,6.127238944933379e-15,3.562572187737237e-13,0.0,2.2685795975246811e-13,,,,0.0
2020,2.240383804400873e-12,6.447166971863273e-15,3.952356256285645e-13,0.0,2.6782101596842606e-13,,,,0.0,2.239345182716242e-12,6.447166971863273e-15,3.943673336765382e-13,0.0,2.6887962468441085e-13,,,,0.0
2030,2.2870179984917587e-12,8.717789190567841e-15,4.393818742820199e-13,0.0,3.18196329792155e-13,,,,0.0,2.2887491016752643e-12,8.717789190567841e-15,4.3861210959524516e-13,0.0,3.413178556213713e-13,,,,0.0
2040,2.3005228961749977e-12,9.64594088732151e-15,4.748566676747064e-13,0.0,3.7237111542391216e-13,,,,0.0,2.3389613514922507e-12,9.64594088732151e-15,4.790088414485967e-13,0.0,4.336473310069995e-13,,,,0.0
2050,2.2467325906319093e-12,8.675154118615471e-15,4.959276749325583e-13,0.0,4.2673493563271087e-13,,,,0.0,2.3685113854096382e-12,1.0843943433923088e-14,5.089303073172021e-13,0.0,5.243114215738502e-13,,,,0.0
2060,2.1351117331474216e-12,7.373718684758777e-15,5.076768816125893e-13,0.0,4.892722700419135e-13,,,,0.0,2.369781303557733e-12,1.2289529831841714e-14,5.30247192772084e-13,0.0,6.362008846469948e-13,,,,0.0
2070,2.0436909008903257e-12,8.367719950415976e-15,5.183670521809965e-13,0.0,5.863180311630838e-13,,,,0.0,2.3514278286182182e-12,1.3946199393590795e-14,5.458324512986583e-13,0.0,7.694373519971111e-13,,,,0.0
2080,1.9918627938668467e-12,6.3124929561387345e-15,5.277048926657402e-13,0.0,7.075576537717432e-13,,,,0.0,2.31979994794949e-12,1.2624985912277469e-14,5.541057749512308e-13,0.0,9.182785369458364e-13,,,,0.0
2090,1.9605812545112347e-12,7.103169388728739e-15,5.3629403655462e-13,0.0,8.405762499096446e-13,,,,0.0,2.2757055901547947e-12,1.4206338777457474e-14,5.524908228178562e-13,0.0,1.0295947870443103e-12,,,,0.0
2100,1.9214505188224673e-12,7.940823987191042e-15,5.392631791997339e-13,0.0,9.90837042043798e-13,,,,0.0,2.221568742171229e-12,1.1911235195132809e-14,5.465959307554478e-13,0.0,1.1997023744806754e-12,,,,0.0
