Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,4.809344549015066e-12,1.9206860337288805e-12,5.217571946150862e-10,1.3113084491042366e-12,0.0,2.7445833045871748e-11,2.6420881585613306e-11,4.53486201891245e-12,,4.809344549015066e-12,1.9206860337288805e-12,5.217571946150862e-10,1.3113084491042366e-12,0.0,2.7445833045871748e-11,2.6420881585613306e-11,4.53486201891245e-12
2010,,4.3182068227134795e-12,2.013672843607304e-12,4.887780228866335e-10,1.2759226042863039e-12,0.0,2.649044912574765e-11,2.569144253217032e-11,4.8151997687058064e-12,,4.28274163315221e-12,1.991504586039517e-12,4.890641965478911e-10,1.283479361438698e-12,0.0,2.6514203071417996e-11,2.5276013166544345e-11,4.6922590611720515e-12
2020,,3.736630167924039e-12,2.173847454702065e-12,5.062258116720552e-10,1.3020095267635627e-12,0.0,2.427020420385687e-11,2.5349651524435643e-11,5.5520732938666e-12,,3.177712923714368e-12,2.0950214188263194e-12,4.397837327801888e-10,1.3196536255060023e-12,0.0,2.3611679439347647e-11,2.4261748809662077e-11,5.168844820756669e-12
2030,,3.341128501080652e-12,2.349604206849328e-12,4.2453430143288404e-10,1.4150764899630963e-12,0.0,2.521948833342104e-11,2.900516541924093e-11,6.354065824223567e-12,,2.5636642567282366e-12,2.211708674497457e-12,3.857982661195596e-10,1.4695536454389928e-12,0.0,1.9971034487977963e-11,2.148294424800688e-11,5.954738715001852e-12
2040,,2.5745609348130448e-12,2.4791972017996544e-12,4.010433981684269e-10,1.3680260628016565e-12,0.0,1.527471386090749e-11,2.003935503848319e-11,7.128017982623809e-12,,2.204147090288434e-12,2.293059462117426e-12,3.7857014141852983e-10,1.7498890822677149e-12,0.0,2.058842951197201e-11,1.655056446159908e-11,6.761295227401357e-12
2050,,1.7828476215471168e-12,2.5390786494262163e-12,3.5733868682088366e-10,1.2367546600360226e-12,0.0,2.3017642542380394e-12,7.775096991356696e-12,7.824275848800397e-12,,1.830751331531378e-12,2.3229477922535495e-12,3.6020590696978985e-10,1.9869321566478817e-12,0.0,1.934342058510073e-11,6.591325713897313e-12,7.30563838088451e-12
2060,,1.4365995309615e-12,2.551277627164004e-12,3.2558700341275875e-10,1.4277136236536283e-12,0.0,2.44079796631751e-12,6.477395109815942e-12,8.608415107961012e-12,,1.8844943721449767e-12,2.3144690672850542e-12,2.9438740656145904e-10,2.24010906442775e-12,0.0,1.8025432998077427e-11,5.989714762824738e-12,7.76704063384322e-12
2070,,1.2235265135995017e-12,2.5524894195051933e-12,3.0506737876597373e-10,1.6953216206073884e-12,0.0,2.6757605792906616e-12,5.479803808784289e-12,9.509587159596443e-12,,1.9456527773772168e-12,2.277303748153648e-12,2.271659446702303e-10,2.4517573961384933e-12,0.0,1.5832489908479168e-11,5.338084241945606e-12,8.226984311190593e-12
2080,,1.0645641976643292e-12,2.552607883519959e-12,2.9545862696852345e-10,2.012764954706369e-12,0.0,2.957159477032918e-12,4.657277784037822e-12,1.0402995695153883e-11,,1.942907187792225e-12,2.2067008043724314e-12,1.5647435682108218e-10,2.6030466027437807e-12,0.0,1.234739605246328e-11,4.404406388717084e-12,8.564062502636677e-12
2090,,9.584783651142046e-13,2.5472007755862597e-12,2.8891802959724766e-10,2.3687658115194483e-12,0.0,3.228603576115061e-12,3.9264517563234814e-12,1.1307122709955575e-11,,1.9310004481078393e-12,2.1122958454819365e-12,8.791487344880174e-11,2.590958446181096e-12,0.0,7.146222422189909e-12,3.583269349515556e-12,8.888991797057496e-12
2100,,8.671777064544304e-13,2.5185099577488e-12,2.825801428600797e-10,2.7483832440163143e-12,0.0,3.50010559987675e-12,3.290105506877385e-12,1.2223948101728785e-11,,1.915674141056664e-12,2.0012425694060525e-12,1.4727332075276504e-11,2.7163987645391336e-12,0.0,9.787440584244844e-13,2.1869195263075882e-12,9.131979391676038e-12
